words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pressure,Sergio Gómez Martín,3946627,Real Sociedad,Lost,0,3,Second half,1.0383904390955243,0.7803588133377195
Pressure-Foul Committed,Aihen Muñoz Capellán-Aihen Muñoz Capellán,3946627,Real Sociedad,Lost,0,3,Second half,1.0383904390955243,0.7803588133377195
Pressure,Sheraldo Becker,3946627,Real Sociedad,Lost,0,3,Second half,1.0383904390955243,0.7803588133377195
Pass,Nayef Aguerd,3946627,Real Sociedad,Lost,0,3,Second half,1.0383904390955243,0.7803588133377195
Ball Receipt-Carry-Pass-Pressure-Ball Receipt,Luka Sučić-Luka Sučić-Luka Sučić-Sergio Gómez Martín-Sergio Gómez Martín,3946627,Real Sociedad,Lost,0,3,Second half,1.0383904390955243,0.7803588133377195
Pass-Ball Receipt-Pass-Ball Receipt,Nayef Aguerd-Aihen Muñoz Capellán-Aihen Muñoz Capellán-Luka Sučić,3946627,Real Sociedad,Lost,0,3,Second half,1.0383904390955243,0.7803588133377195
Pass,Aihen Muñoz Capellán,3946627,Real Sociedad,Lost,0,3,Second half,1.0383904390955243,0.7803588133377195
Pressure,Luka Sučić,3946627,Real Sociedad,Lost,0,3,Second half,1.0383904390955243,0.7803588133377195
Pressure,Mikel Oyarzabal Ugarte,3946627,Real Sociedad,Lost,0,3,Second half,1.0383904390955243,0.7803588133377195
Pressure,Brais Méndez Portela,3946627,Real Sociedad,Lost,0,3,Second half,1.0383904390955243,0.7803588133377195
Pressure,Jon Mikel Aramburu Mejías,3946627,Real Sociedad,Lost,0,3,Second half,1.0383904390955243,0.7803588133377195
Foul Committed,Jon Mikel Aramburu Mejías,3946627,Real Sociedad,Lost,0,3,Second half,1.0383904390955243,0.7803588133377195
Pressure,Nayef Aguerd,3946627,Real Sociedad,Lost,0,3,Second half,1.0383904390955243,0.7803588133377195
Foul Committed,Nayef Aguerd,3946627,Real Sociedad,Lost,0,3,Second half,1.0383904390955243,0.7803588133377195
