words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Ibrahim Akitunde Alani-Joseph Aidoo-Joseph Aidoo-Joseph Aidoo-Henrique Silva Milagres-Henrique Silva Milagres-Henrique Silva Milagres-Raul Moro Prescoli-Raul Moro Prescoli-Raul Moro Prescoli,3946769,Real Valladolid,Lost,0,3,Second half,1.5024896313467833,0.7258136477287281
Pressure,Henrique Silva Milagres,3946769,Real Valladolid,Lost,0,3,Second half,1.5024896313467833,0.7258136477287281
Pressure-Foul Committed,Eray Ervin Cömert-Eray Ervin Cömert,3946769,Real Valladolid,Lost,0,3,Second half,1.5024896313467833,0.7258136477287281
Clearance,Joseph Aidoo,3946769,Real Valladolid,Lost,0,3,Second half,1.5024896313467833,0.7258136477287281
Pressure,Juan Miguel Latasa Fernandez Layos,3946769,Real Valladolid,Lost,0,3,Second half,1.5024896313467833,0.7258136477287281
Block-Goal Keeper-Duel,Eray Ervin Cömert-Karl Jakob Hein-Juan Miguel Latasa Fernandez Layos,3946769,Real Valladolid,Lost,0,3,Second half,1.5024896313467833,0.7258136477287281
Pressure,Anuar Mohamed Tuhami,3946769,Real Valladolid,Lost,0,3,Second half,1.5024896313467833,0.7258136477287281
Pressure-Pressure-Pressure,Ibrahim Akitunde Alani-Mamadou Sylla Diallo-Tamás Nikitscher,3946769,Real Valladolid,Lost,0,3,Second half,1.5024896313467833,0.7258136477287281
Pressure,Tamás Nikitscher,3946769,Real Valladolid,Lost,0,3,Second half,1.5024896313467833,0.7258136477287281
Dribbled Past-Pressure,Tamás Nikitscher-Antonio Candela,3946769,Real Valladolid,Lost,0,3,Second half,1.5024896313467833,0.7258136477287281
Block,Antonio Candela,3946769,Real Valladolid,Lost,0,3,Second half,1.5024896313467833,0.7258136477287281
Pressure,Juan Miguel Latasa Fernandez Layos,3946769,Real Valladolid,Lost,0,3,Second half,1.5024896313467833,0.7258136477287281
Goal Keeper-Pass,Karl Jakob Hein-Karl Jakob Hein,3946769,Real Valladolid,Lost,0,3,Second half,1.5024896313467833,0.7258136477287281
Duel-Ball Recovery-Carry,Anuar Mohamed Tuhami-Tamás Nikitscher-Tamás Nikitscher,3946769,Real Valladolid,Lost,0,3,Second half,1.5024896313467833,0.7258136477287281
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Tamás Nikitscher-Antonio Candela-Antonio Candela-Antonio Candela-Anuar Mohamed Tuhami-Anuar Mohamed Tuhami,3946769,Real Valladolid,Lost,0,3,Second half,1.5024896313467833,0.7258136477287281
Pass-Ball Receipt-Carry,Anuar Mohamed Tuhami-Tamás Nikitscher-Tamás Nikitscher,3946769,Real Valladolid,Lost,0,3,Second half,1.5024896313467833,0.7258136477287281
Dispossessed,Tamás Nikitscher,3946769,Real Valladolid,Lost,0,3,Second half,1.5024896313467833,0.7258136477287281
Pass,Antonio Candela,3946769,Real Valladolid,Lost,0,3,Second half,1.5024896313467833,0.7258136477287281
