words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Duel-Block,Adrià Giner Pedrosa-Adrià Giner Pedrosa,3946405,Sevilla,Lost,1,2,First half,1.2297599610459569,0.7927527959167296
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Lucien Agoume-José Ángel Carmona Navarro-José Ángel Carmona Navarro-José Ángel Carmona Navarro-Ørjan Håskjold Nyland-Ørjan Håskjold Nyland-Ørjan Håskjold Nyland,3946405,Sevilla,Lost,1,2,First half,1.2297599610459569,0.7927527959167296
Duel,Enrique Jesús Salas Valiente,3946405,Sevilla,Lost,1,2,First half,1.2297599610459569,0.7927527959167296
Pressure,Isaac Romero Bernal,3946405,Sevilla,Lost,1,2,First half,1.2297599610459569,0.7927527959167296
Pressure,Dodi Lukebakio,3946405,Sevilla,Lost,1,2,First half,1.2297599610459569,0.7927527959167296
Pressure,Enrique Jesús Salas Valiente,3946405,Sevilla,Lost,1,2,First half,1.2297599610459569,0.7927527959167296
Goal Keeper-Pass-Ball Receipt-Pass-Pressure,Ørjan Håskjold Nyland-Isaac Romero Bernal-Lucien Agoume-Lucien Agoume-Juan Luis Sánchez Velasco,3946405,Sevilla,Lost,1,2,First half,1.2297599610459569,0.7927527959167296
Pass-Ball Receipt-Carry,Lucien Agoume-Dodi Lukebakio-Dodi Lukebakio,3946405,Sevilla,Lost,1,2,First half,1.2297599610459569,0.7927527959167296
Pass,Dodi Lukebakio,3946405,Sevilla,Lost,1,2,First half,1.2297599610459569,0.7927527959167296
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,José Ángel Carmona Navarro-Lucien Agoume-Lucien Agoume-Loïc Badé-Loïc Badé-Loïc Badé-Enrique Jesús Salas Valiente-Enrique Jesús Salas Valiente-Enrique Jesús Salas Valiente-Ørjan Håskjold Nyland-Ørjan Håskjold Nyland-Ørjan Håskjold Nyland-Enrique Jesús Salas Valiente-Enrique Jesús Salas Valiente-Enrique Jesús Salas Valiente-Loïc Badé-Loïc Badé-Loïc Badé-Lucien Agoume-Lucien Agoume,3946405,Sevilla,Lost,1,2,First half,1.2297599610459569,0.7927527959167296
Dispossessed,Lucien Agoume,3946405,Sevilla,Lost,1,2,First half,1.2297599610459569,0.7927527959167296
