words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Pass,Domingos André Ribeiro Almeida-César Tárrega Requeni-César Tárrega Requeni-César Tárrega Requeni,3946518,Valencia,Drawn,1,1,First half,1.5590090094327067,0.7413706788743145
Pass-Pressure-Ball Receipt,Dimitri Foulquier-Domingos André Ribeiro Almeida-Domingos André Ribeiro Almeida,3946518,Valencia,Drawn,1,1,First half,1.5590090094327067,0.7413706788743145
Pressure,Dimitri Foulquier,3946518,Valencia,Drawn,1,1,First half,1.5590090094327067,0.7413706788743145
Pressure,Francisco Perez Martinez,3946518,Valencia,Drawn,1,1,First half,1.5590090094327067,0.7413706788743145
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Francisco Perez Martinez-Enzo Barrenechea-Enzo Barrenechea-Enzo Barrenechea-Francisco Perez Martinez-Francisco Perez Martinez-César Tárrega Requeni-César Tárrega Requeni-César Tárrega Requeni-Cristhian Andrey Mosquera Ibargüen-Cristhian Andrey Mosquera Ibargüen,3946518,Valencia,Drawn,1,1,First half,1.5590090094327067,0.7413706788743145
Pass-Ball Receipt-Carry,Cristhian Andrey Mosquera Ibargüen-Stole Dimitrievski-Stole Dimitrievski,3946518,Valencia,Drawn,1,1,First half,1.5590090094327067,0.7413706788743145
Pass-Ball Receipt,Stole Dimitrievski-Daniel Gómez Alcón,3946518,Valencia,Drawn,1,1,First half,1.5590090094327067,0.7413706788743145
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Miscontrol,Enzo Barrenechea-Cristhian Andrey Mosquera Ibargüen-Cristhian Andrey Mosquera Ibargüen-Cristhian Andrey Mosquera Ibargüen-César Tárrega Requeni-César Tárrega Requeni-César Tárrega Requeni-Dimitri Foulquier-Dimitri Foulquier-Dimitri Foulquier-Francisco Perez Martinez-Francisco Perez Martinez,3946518,Valencia,Drawn,1,1,First half,1.5590090094327067,0.7413706788743145
Pass,Dimitri Foulquier,3946518,Valencia,Drawn,1,1,First half,1.5590090094327067,0.7413706788743145
Ball Receipt-Carry-Pass-Ball Receipt,Stole Dimitrievski-Stole Dimitrievski-Stole Dimitrievski-Daniel Gómez Alcón,3946518,Valencia,Drawn,1,1,First half,1.5590090094327067,0.7413706788743145
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Enzo Barrenechea-Enzo Barrenechea-Enzo Barrenechea-Dimitri Foulquier-Dimitri Foulquier-Dimitri Foulquier-César Tárrega Requeni-César Tárrega Requeni-César Tárrega Requeni-Cristhian Andrey Mosquera Ibargüen-Cristhian Andrey Mosquera Ibargüen-Cristhian Andrey Mosquera Ibargüen-Luis Jesús Rioja González-Luis Jesús Rioja González-Luis Jesús Rioja González-José Luis García Vayá-José Luis García Vayá,3946518,Valencia,Drawn,1,1,First half,1.5590090094327067,0.7413706788743145
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,José Luis García Vayá-Luis Jesús Rioja González-Luis Jesús Rioja González-Luis Jesús Rioja González-César Tárrega Requeni-César Tárrega Requeni-César Tárrega Requeni-Cristhian Andrey Mosquera Ibargüen-Cristhian Andrey Mosquera Ibargüen,3946518,Valencia,Drawn,1,1,First half,1.5590090094327067,0.7413706788743145
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Cristhian Andrey Mosquera Ibargüen-José Luis García Vayá-José Luis García Vayá-José Luis García Vayá-Luis Jesús Rioja González-Luis Jesús Rioja González,3946518,Valencia,Drawn,1,1,First half,1.5590090094327067,0.7413706788743145
Pass-Ball Receipt-Carry,Luis Jesús Rioja González-José Luis García Vayá-José Luis García Vayá,3946518,Valencia,Drawn,1,1,First half,1.5590090094327067,0.7413706788743145
Pass,José Luis García Vayá,3946518,Valencia,Drawn,1,1,First half,1.5590090094327067,0.7413706788743145
Ball Receipt-Carry-Pass-Ball Receipt-Duel,Stole Dimitrievski-Stole Dimitrievski-Stole Dimitrievski-Daniel Gómez Alcón-Daniel Gómez Alcón,3946518,Valencia,Drawn,1,1,First half,1.5590090094327067,0.7413706788743145
Block-Ball Recovery-Carry,Daniel Gómez Alcón-Daniel Gómez Alcón-Daniel Gómez Alcón,3946518,Valencia,Drawn,1,1,First half,1.5590090094327067,0.7413706788743145
Dribble-Carry,Daniel Gómez Alcón-Daniel Gómez Alcón,3946518,Valencia,Drawn,1,1,First half,1.5590090094327067,0.7413706788743145
Pass,Daniel Gómez Alcón,3946518,Valencia,Drawn,1,1,First half,1.5590090094327067,0.7413706788743145
Pass,Dimitri Foulquier,3946518,Valencia,Drawn,1,1,First half,1.5590090094327067,0.7413706788743145
Ball Receipt-Carry-Pass-Duel,Stole Dimitrievski-Stole Dimitrievski-Stole Dimitrievski-Daniel Gómez Alcón,3946518,Valencia,Drawn,1,1,First half,1.5590090094327067,0.7413706788743145
Pass,Enzo Barrenechea,3946518,Valencia,Drawn,1,1,First half,1.5590090094327067,0.7413706788743145
Ball Receipt-Carry-Pass,José Luis García Vayá-José Luis García Vayá-José Luis García Vayá,3946518,Valencia,Drawn,1,1,First half,1.5590090094327067,0.7413706788743145
Pressure,Domingos André Ribeiro Almeida,3946518,Valencia,Drawn,1,1,First half,1.5590090094327067,0.7413706788743145
Pressure,Francisco Perez Martinez,3946518,Valencia,Drawn,1,1,First half,1.5590090094327067,0.7413706788743145
Dribbled Past,Francisco Perez Martinez,3946518,Valencia,Drawn,1,1,First half,1.5590090094327067,0.7413706788743145
Pressure,Diego López Noguerol,3946518,Valencia,Drawn,1,1,First half,1.5590090094327067,0.7413706788743145
Pass-Duel,Stole Dimitrievski-Daniel Gómez Alcón,3946518,Valencia,Drawn,1,1,First half,1.5590090094327067,0.7413706788743145
Ball Recovery-Carry,Luis Jesús Rioja González-Luis Jesús Rioja González,3946518,Valencia,Drawn,1,1,First half,1.5590090094327067,0.7413706788743145
Pass,Luis Jesús Rioja González,3946518,Valencia,Drawn,1,1,First half,1.5590090094327067,0.7413706788743145
Pass,Luis Jesús Rioja González,3946518,Valencia,Drawn,1,1,First half,1.5590090094327067,0.7413706788743145
Ball Receipt-Carry-Foul Committed,Daniel Gómez Alcón-Daniel Gómez Alcón-Daniel Gómez Alcón,3946518,Valencia,Drawn,1,1,First half,1.5590090094327067,0.7413706788743145
Pressure,Domingos André Ribeiro Almeida,3946518,Valencia,Drawn,1,1,First half,1.5590090094327067,0.7413706788743145
Pressure,José Luis García Vayá,3946518,Valencia,Drawn,1,1,First half,1.5590090094327067,0.7413706788743145
