words,possession,word_players,match_id,team_name
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Block-Ball Recovery-Carry-Pass-Ball Receipt-Carry-Dribble-Ball Recovery-Carry-Dribble-Carry-Pressure-Pass-Ball Receipt-Pass,2,Tom Krauß-Timo Horn-Timo Horn-Timo Horn-Ibrahima Sissoko-Ibrahima Sissoko-Tim Oermann-Tim Oermann-Tim Oermann-Myron Boadu-Myron Boadu-Myron Boadu-Matúš Bero-Matúš Bero-Matúš Bero-Matúš Bero-Matúš Bero-Ivan Ordets-Bernardo Fernandes da Silva Junior-Bernardo Fernandes da Silva Junior,3949778,Bochum
Block-Goal Keeper,4,Ivan Ordets-Timo Horn,3949778,Bochum
Pass-Ball Receipt-Pass-Ball Receipt,6,Bernardo Fernandes da Silva Junior-Matúš Bero-Matúš Bero-Giorgos Masouras,3949778,Bochum
Pass-Ball Receipt-Carry-Pass-Ball Receipt,8,Tom Krauß-Giorgos Masouras-Giorgos Masouras-Giorgos Masouras-Myron Boadu,3949778,Bochum
Duel-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,10,Bernardo Fernandes da Silva Junior-Maximilian Wittek-Tom Krauß-Tom Krauß-Tom Krauß-Ibrahima Sissoko-Ibrahima Sissoko-Ibrahima Sissoko-Maximilian Wittek-Maximilian Wittek-Maximilian Wittek-Myron Boadu,3949778,Bochum
Pass-Ball Receipt-Carry-Pass-Ball Receipt,13,Felix Passlack-Ibrahima Sissoko-Ibrahima Sissoko-Ibrahima Sissoko-Giorgos Masouras,3949778,Bochum
Ball Recovery-Carry-Pass-Ball Receipt,15,Timo Horn-Timo Horn-Timo Horn-Myron Boadu,3949778,Bochum
Pass-Ball Receipt-Carry-Pass-Interception-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Miscontrol,17,Ivan Ordets-Tom Krauß-Tom Krauß-Tom Krauß-Ibrahima Sissoko-Ibrahima Sissoko-Ibrahima Sissoko-Matúš Bero-Matúš Bero-Matúš Bero-Myron Boadu-Myron Boadu-Myron Boadu,3949778,Bochum
Pass-Ball Receipt-Duel,19,Timo Horn-Ibrahima Sissoko-Ibrahima Sissoko,3949778,Bochum
Pass-Ball Receipt,20,Maximilian Wittek-Matúš Bero,3949778,Bochum
Pass-Ball Receipt-Carry-Pass-Ball Receipt,22,Tom Krauß-Ibrahima Sissoko-Ibrahima Sissoko-Ibrahima Sissoko-Giorgos Masouras,3949778,Bochum
Ball Recovery-Carry-Pass-Ball Receipt,24,Ibrahima Sissoko-Ibrahima Sissoko-Ibrahima Sissoko-Matúš Bero,3949778,Bochum
Ball Recovery-Carry-Pass-Ball Receipt,27,Bernardo Fernandes da Silva Junior-Bernardo Fernandes da Silva Junior-Bernardo Fernandes da Silva Junior-Tom Krauß,3949778,Bochum
Pass-Ball Receipt-Pass-Ball Receipt-Duel-Pass-Ball Receipt-Pass-Foul Committed,32,Timo Horn-Myron Boadu-Myron Boadu-Giorgos Masouras-Giorgos Masouras-Tom Krauß-Giorgos Masouras-Giorgos Masouras-Ibrahima Sissoko,3949778,Bochum
Pass-Ball Receipt-Carry-Pass-Ball Receipt,34,Tim Oermann-Ibrahima Sissoko-Ibrahima Sissoko-Ibrahima Sissoko-Myron Boadu,3949778,Bochum
