words,possession,word_players,match_id,team_name
Ball Recovery-Carry-Pass,3,Omar Haktab Traorè-Omar Haktab Traorè-Omar Haktab Traorè,3949704,FC Heidenheim
Ball Recovery-Carry-Pass-Ball Receipt,5,Tim Siersleben-Tim Siersleben-Tim Siersleben-Adrian Beck,3949704,FC Heidenheim
Pass-Ball Receipt-Carry-Pass-Block,6,Marnon Busch-Marvin Pieringer-Marvin Pieringer-Marvin Pieringer-Marvin Pieringer,3949704,FC Heidenheim
Duel-Ball Recovery-Carry-Pass-Ball Receipt,9,Mathias Honsak-Omar Haktab Traorè-Omar Haktab Traorè-Omar Haktab Traorè-Mathias Honsak,3949704,FC Heidenheim
Pass-Ball Receipt-Foul Committed-Injury Stoppage,10,Omar Haktab Traorè-Adrian Beck-Adrian Beck-Adrian Beck,3949704,FC Heidenheim
Pass-Ball Receipt-Pass-Ball Receipt,12,Benedikt Gimber-Mathias Honsak-Mathias Honsak-Marvin Pieringer,3949704,FC Heidenheim
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,14,Patrick Mainka-Omar Haktab Traorè-Omar Haktab Traorè-Omar Haktab Traorè-Benedikt Gimber-Benedikt Gimber-Benedikt Gimber-Omar Haktab Traorè-Omar Haktab Traorè-Omar Haktab Traorè,3949704,FC Heidenheim
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,16,Omar Haktab Traorè-Jan Schöppner-Jan Schöppner-Jan Schöppner-Tim Siersleben-Tim Siersleben-Tim Siersleben-Marnon Busch-Marnon Busch-Marnon Busch-Omar Haktab Traorè-Omar Haktab Traorè-Niklas Dorsch-Niklas Dorsch-Niklas Dorsch-Omar Haktab Traorè-Omar Haktab Traorè-Omar Haktab Traorè-Patrick Mainka-Patrick Mainka-Patrick Mainka-Tim Siersleben-Tim Siersleben-Tim Siersleben-Marnon Busch-Marnon Busch-Marnon Busch-Mathias Honsak-Mathias Honsak-Mathias Honsak-Adrian Beck-Adrian Beck-Adrian Beck-Jan Schöppner-Jan Schöppner-Marnon Busch-Marnon Busch-Marnon Busch-Tim Siersleben-Tim Siersleben-Tim Siersleben-Patrick Mainka-Patrick Mainka-Patrick Mainka-Niklas Dorsch-Niklas Dorsch-Niklas Dorsch-Tim Siersleben-Tim Siersleben-Marnon Busch-Marnon Busch-Marnon Busch-Adrian Beck-Adrian Beck-Adrian Beck-Marnon Busch,3949704,FC Heidenheim
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,17,Marnon Busch-Jan Schöppner-Jan Schöppner-Jan Schöppner-Marnon Busch-Marnon Busch-Marnon Busch,3949704,FC Heidenheim
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,18,Marnon Busch-Marvin Pieringer-Marvin Pieringer-Marvin Pieringer-Adrian Beck-Adrian Beck-Adrian Beck-Marvin Pieringer,3949704,FC Heidenheim
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt,20,Patrick Mainka-Patrick Mainka-Patrick Mainka-Benedikt Gimber-Benedikt Gimber-Benedikt Gimber-Omar Haktab Traorè-Omar Haktab Traorè-Omar Haktab Traorè-Niklas Dorsch-Niklas Dorsch-Niklas Dorsch-Omar Haktab Traorè-Omar Haktab Traorè-Omar Haktab Traorè-Kevin Müller-Kevin Müller-Kevin Müller-Patrick Mainka-Patrick Mainka-Omar Haktab Traorè-Omar Haktab Traorè-Omar Haktab Traorè-Mathias Honsak,3949704,FC Heidenheim
Pass-Ball Receipt-Carry-Pass-Ball Receipt,24,Kevin Müller-Tim Siersleben-Tim Siersleben-Tim Siersleben-Mathias Honsak,3949704,FC Heidenheim
Pass-Ball Receipt-Duel-Ball Recovery-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Miscontrol,26,Kevin Müller-Marvin Pieringer-Marvin Pieringer-Niklas Dorsch-Niklas Dorsch-Niklas Dorsch-Omar Haktab Traorè-Omar Haktab Traorè-Adrian Beck-Adrian Beck-Adrian Beck-Niklas Dorsch-Niklas Dorsch-Niklas Dorsch-Omar Haktab Traorè-Omar Haktab Traorè-Omar Haktab Traorè-Patrick Mainka-Patrick Mainka-Patrick Mainka-Tim Siersleben-Tim Siersleben-Tim Siersleben-Marvin Pieringer-Marvin Pieringer-Marvin Pieringer-Marnon Busch-Marnon Busch-Marnon Busch-Kevin Müller-Kevin Müller-Mathias Honsak-Mathias Honsak-Mathias Honsak,3949704,FC Heidenheim
Pass-Ball Receipt,28,Marnon Busch-Marvin Pieringer,3949704,FC Heidenheim
Pass-Ball Receipt-Carry-Pass-Ball Receipt,31,Kevin Müller-Tim Siersleben-Tim Siersleben-Tim Siersleben-Marvin Pieringer,3949704,FC Heidenheim
Pass-Pass-Ball Receipt,33,Kevin Müller-Patrick Mainka-Marvin Pieringer,3949704,FC Heidenheim
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,35,Omar Haktab Traorè-Omar Haktab Traorè-Omar Haktab Traorè-Benedikt Gimber-Benedikt Gimber-Benedikt Gimber-Omar Haktab Traorè-Omar Haktab Traorè-Omar Haktab Traorè-Niklas Dorsch-Niklas Dorsch-Niklas Dorsch-Jan Schöppner,3949704,FC Heidenheim
Pass-Duel-Block-50/50-Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Shot,38,Kevin Müller-Marvin Pieringer-Marvin Pieringer-Marvin Pieringer-Jan Schöppner-Jan Schöppner-Jan Schöppner-Marnon Busch-Marnon Busch-Marnon Busch-Jan Schöppner-Jan Schöppner-Jan Schöppner-Marnon Busch-Marnon Busch-Marnon Busch,3949704,FC Heidenheim
Pass-Ball Receipt,40,Marnon Busch-Jan Schöppner,3949704,FC Heidenheim
Pass-Ball Receipt-Carry-Miscontrol-Pressure,42,Tim Siersleben-Niklas Dorsch-Niklas Dorsch-Niklas Dorsch-Jan Schöppner,3949704,FC Heidenheim
