words,possession,word_players,match_id,team_name
Pass-Ball Receipt-Carry-Pass-Ball Receipt,3,Dominik Kohr-Robin Zentner-Robin Zentner-Robin Zentner-Armindo Sieb,3949615,FSV Mainz 05
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Dispossessed,5,Nadiem Amiri-Nadiem Amiri-Nadiem Amiri-Stefan Bell-Stefan Bell-Stefan Bell-Danny Vieira da Costa-Danny Vieira da Costa-Danny Vieira da Costa,3949615,FSV Mainz 05
Pass-Ball Receipt-Carry-Dribble,9,Stefan Bell-Anthony Caci-Anthony Caci-Anthony Caci,3949615,FSV Mainz 05
Duel-Ball Recovery-Injury Stoppage,11,Stefan Bell-Robin Zentner-Robin Zentner,3949615,FSV Mainz 05
Referee Ball-Drop-Ball Recovery-Carry-Pass-Ball Receipt,12,Unknown-Robin Zentner-Robin Zentner-Robin Zentner-Anthony Caci,3949615,FSV Mainz 05
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt,14,Armindo Sieb-Armindo Sieb-Armindo Sieb-Jae-Sung Lee-Jae-Sung Lee-Jae-Sung Lee-Paul Nebel-Armindo Sieb-Paul Nebel,3949615,FSV Mainz 05
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,16,Robin Zentner-Robin Zentner-Robin Zentner-Dominik Kohr-Dominik Kohr-Dominik Kohr-Armindo Sieb-Armindo Sieb-Armindo Sieb-Dominik Kohr-Dominik Kohr-Dominik Kohr-Danny Vieira da Costa-Danny Vieira da Costa-Danny Vieira da Costa-Anthony Caci-Anthony Caci-Anthony Caci-Danny Vieira da Costa-Danny Vieira da Costa-Danny Vieira da Costa,3949615,FSV Mainz 05
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Block,18,Anthony Caci-Danny Vieira da Costa-Danny Vieira da Costa-Danny Vieira da Costa-Robin Zentner-Robin Zentner-Robin Zentner-Jae-Sung Lee-Jae-Sung Lee,3949615,FSV Mainz 05
Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt,21,Robin Zentner-Stefan Bell-Stefan Bell-Kaishu Sano-Kaishu Sano-Paul Nebel-Paul Nebel-Armindo Sieb,3949615,FSV Mainz 05
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,23,Kaishu Sano-Paul Nebel-Paul Nebel-Paul Nebel-Anthony Caci-Anthony Caci-Anthony Caci-Kaishu Sano-Kaishu Sano-Kaishu Sano-Jae-Sung Lee-Jae-Sung Lee-Jae-Sung Lee-Danny Vieira da Costa-Danny Vieira da Costa-Danny Vieira da Costa-Anthony Caci-Anthony Caci-Anthony Caci-Danny Vieira da Costa-Danny Vieira da Costa-Danny Vieira da Costa-Paul Nebel-Paul Nebel-Paul Nebel-Danny Vieira da Costa,3949615,FSV Mainz 05
Duel-Pass-Pressure-Pressure-Ball Receipt,26,Dominik Kohr-Philipp Mwene-Dominik Kohr-Armindo Sieb-Dominik Kohr,3949615,FSV Mainz 05
Interception-Ball Recovery-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt,28,Dominik Kohr-Nadiem Amiri-Nadiem Amiri-Nadiem Amiri-Paul Nebel-Kaishu Sano-Paul Nebel-Stefan Bell-Nadiem Amiri-Nadiem Amiri-Armindo Sieb,3949615,FSV Mainz 05
