words,possession,word_players,match_id,team_name
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt,2,Vincenzo Grifo-Noah Atubolu-Noah Atubolu-Matthias Ginter-Matthias Ginter-Matthias Ginter-Vincenzo Grifo,3949586,Freiburg
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,4,Noah Atubolu-Noah Atubolu-Noah Atubolu-Philipp Lienhart-Philipp Lienhart-Philipp Lienhart-Noah Atubolu-Noah Atubolu-Noah Atubolu-Maximilian Eggestein-Maximilian Eggestein-Maximilian Eggestein-Lukas Kübler-Lukas Kübler-Lukas Kübler-Matthias Ginter-Matthias Ginter-Matthias Ginter-Lukas Kübler-Lukas Kübler-Lukas Kübler-Noah Atubolu-Noah Atubolu-Noah Atubolu-Philipp Lienhart-Philipp Lienhart-Philipp Lienhart-Matthias Ginter-Matthias Ginter-Matthias Ginter-Christian Günter-Christian Günter-Christian Günter-Lucas Höler-Lucas Höler-Lucas Höler-Vincenzo Grifo-Vincenzo Grifo-Vincenzo Grifo,3949586,Freiburg
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Shot,5,Christian Günter-Vincenzo Grifo-Vincenzo Grifo-Vincenzo Grifo-Ritsu Doan-Lucas Höler-Ritsu Doan-Ritsu Doan-Ritsu Doan-Lucas Höler-Lucas Höler-Lucas Höler-Maximilian Eggestein-Maximilian Eggestein,3949586,Freiburg
Block-Ball Recovery-Carry-Pass-Ball Receipt,8,Lukas Kübler-Lucas Höler-Lucas Höler-Lucas Höler-Vincenzo Grifo,3949586,Freiburg
Interception-Pass-Ball Receipt-Carry-Dribble-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Pressure-Ball Receipt,10,Lukas Kübler-Philipp Lienhart-Lucas Höler-Lucas Höler-Lucas Höler-Lucas Höler-Lucas Höler-Ritsu Doan-Ritsu Doan-Ritsu Doan-Vincenzo Grifo-Vincenzo Grifo-Vincenzo Grifo-Christian Günter-Christian Günter-Christian Günter-Vincenzo Grifo-Vincenzo Grifo-Vincenzo Grifo-Philipp Lienhart-Philipp Lienhart-Philipp Lienhart-Christian Günter-Christian Günter-Christian Günter-Philipp Lienhart-Philipp Lienhart-Philipp Lienhart-Vincenzo Grifo-Vincenzo Grifo,3949586,Freiburg
Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Foul Won,11,Vincenzo Grifo-Christian Günter-Christian Günter-Philipp Lienhart-Philipp Lienhart-Matthias Ginter-Matthias Ginter-Matthias Ginter-Lukas Kübler-Lukas Kübler-Lukas Kübler-Ritsu Doan-Ritsu Doan-Ritsu Doan-Michael Gregoritsch-Ritsu Doan,3949586,Freiburg
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,12,Lukas Kübler-Maximilian Eggestein-Maximilian Eggestein-Maximilian Eggestein-Lukas Kübler-Lukas Kübler-Lukas Kübler-Ritsu Doan-Ritsu Doan-Ritsu Doan,3949586,Freiburg
Goal Keeper-Carry-Pass-Ball Receipt-Carry-Dispossessed,14,Noah Atubolu-Noah Atubolu-Noah Atubolu-Nicolas Höfler-Nicolas Höfler-Nicolas Höfler,3949586,Freiburg
Pass-Ball Receipt-Pass,16,Matthias Ginter-Noah Atubolu-Noah Atubolu,3949586,Freiburg
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,19,Lukas Kübler-Ritsu Doan-Ritsu Doan-Ritsu Doan-Christian Günter-Christian Günter-Christian Günter,3949586,Freiburg
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,21,Christian Günter-Maximilian Eggestein-Maximilian Eggestein-Maximilian Eggestein-Christian Günter-Christian Günter-Christian Günter-Lukas Kübler-Lukas Kübler-Lukas Kübler-Christian Günter-Christian Günter-Christian Günter-Philipp Lienhart-Philipp Lienhart-Philipp Lienhart-Vincenzo Grifo-Vincenzo Grifo-Vincenzo Grifo-Philipp Lienhart-Philipp Lienhart-Philipp Lienhart-Matthias Ginter-Matthias Ginter-Matthias Ginter-Lukas Kübler-Lukas Kübler-Lukas Kübler-Matthias Ginter-Matthias Ginter-Matthias Ginter-Lukas Kübler-Lukas Kübler-Lukas Kübler-Ritsu Doan-Ritsu Doan-Ritsu Doan-Lukas Kübler-Lukas Kübler-Lukas Kübler-Maximilian Eggestein-Maximilian Eggestein-Maximilian Eggestein-Lukas Kübler-Lukas Kübler-Lukas Kübler-Nicolas Höfler-Nicolas Höfler-Nicolas Höfler-Philipp Lienhart-Philipp Lienhart-Philipp Lienhart-Vincenzo Grifo-Vincenzo Grifo-Vincenzo Grifo-Philipp Lienhart-Philipp Lienhart-Philipp Lienhart-Christian Günter,3949586,Freiburg
Duel-Ball Recovery-Carry-Pass,23,Nicolas Höfler-Lucas Höler-Lucas Höler-Lucas Höler,3949586,Freiburg
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Foul Won,25,Maximilian Eggestein-Maximilian Eggestein-Maximilian Eggestein-Vincenzo Grifo-Vincenzo Grifo-Vincenzo Grifo-Nicolas Höfler-Nicolas Höfler-Nicolas Höfler,3949586,Freiburg
Pass-Ball Receipt-Shot,26,Christian Günter-Lucas Höler-Lucas Höler,3949586,Freiburg
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,28,Matthias Ginter-Philipp Lienhart-Philipp Lienhart-Philipp Lienhart-Ritsu Doan-Ritsu Doan-Ritsu Doan-Matthias Ginter-Matthias Ginter-Matthias Ginter-Ritsu Doan-Ritsu Doan-Ritsu Doan-Maximilian Eggestein-Maximilian Eggestein-Maximilian Eggestein-Philipp Lienhart-Philipp Lienhart-Philipp Lienhart-Christian Günter-Christian Günter-Christian Günter-Vincenzo Grifo-Vincenzo Grifo-Vincenzo Grifo,3949586,Freiburg
