words,possession,word_players,match_id,team_name
Pass-Ball Receipt,7,Timon Weiner-Phil Harres,3949633,Holstein Kiel
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Shot,9,Timo Becker-Timo Becker-Timo Becker-Shuto Machino-Shuto Machino-Shuto Machino-Finn-Dominik Porath-Finn-Dominik Porath-Finn-Dominik Porath,3949633,Holstein Kiel
Pass-Ball Receipt,10,Finn-Dominik Porath-Shuto Machino,3949633,Holstein Kiel
Duel-Pass-Block-Ball Recovery-Carry-Pass-Ball Receipt-Carry-Miscontrol,12,Nicolai Remberg-Lasse Rosenboom-Lasse Rosenboom-Lasse Rosenboom-Lasse Rosenboom-Lasse Rosenboom-Shuto Machino-Shuto Machino-Shuto Machino,3949633,Holstein Kiel
Pass,14,Finn-Dominik Porath,3949633,Holstein Kiel
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Miscontrol-Pressure-Foul Committed,20,Timon Weiner-Timo Becker-Timo Becker-Timo Becker-Lasse Rosenboom-Lasse Rosenboom-Alexander Bernhardsson-Alexander Bernhardsson,3949633,Holstein Kiel
Interception-Carry-Pass-Ball Receipt-Carry-Miscontrol,22,David Zec-David Zec-David Zec-Alexander Bernhardsson-Alexander Bernhardsson-Alexander Bernhardsson,3949633,Holstein Kiel
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,24,Finn-Dominik Porath-Timon Weiner-Timon Weiner-Timon Weiner-Marco Komenda-Marco Komenda-Marco Komenda-Phil Harres,3949633,Holstein Kiel
Block-Ball Recovery-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt,26,Timo Becker-Timon Weiner-Timon Weiner-David Zec-David Zec-Alexander Bernhardsson-Alexander Bernhardsson-Alexander Bernhardsson-Marco Komenda-Marco Komenda-Shuto Machino,3949633,Holstein Kiel
Pass-Ball Receipt-Pass-Ball Receipt,28,Timon Weiner-Alexander Bernhardsson-Alexander Bernhardsson-Magnus Knudsen,3949633,Holstein Kiel
Duel-Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Dribble-Carry-Pass-Ball Receipt-Carry-Dispossessed,30,Magnus Knudsen-Alexander Bernhardsson-Alexander Bernhardsson-Alexander Bernhardsson-Shuto Machino-Shuto Machino-Shuto Machino-Alexander Bernhardsson-Alexander Bernhardsson-Alexander Bernhardsson-Alexander Bernhardsson-Alexander Bernhardsson-Lasse Rosenboom-Lasse Rosenboom-Lasse Rosenboom,3949633,Holstein Kiel
Duel-Ball Recovery-Carry-Pass-Ball Receipt,33,Lasse Rosenboom-Alexander Bernhardsson-Alexander Bernhardsson-Alexander Bernhardsson-Phil Harres,3949633,Holstein Kiel
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt,34,Lasse Rosenboom-David Zec-David Zec-Timon Weiner-Timon Weiner-Timon Weiner-Finn-Dominik Porath,3949633,Holstein Kiel
Duel-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Dispossessed,36,Finn-Dominik Porath-Marco Komenda-Shuto Machino-Shuto Machino-Nicolai Remberg-Nicolai Remberg-Alexander Bernhardsson-Alexander Bernhardsson-Magnus Knudsen-Magnus Knudsen-Magnus Knudsen,3949633,Holstein Kiel
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Miscontrol,38,Timon Weiner-Alexander Bernhardsson-Alexander Bernhardsson-Lasse Rosenboom-Lasse Rosenboom-Lasse Rosenboom-Phil Harres-Phil Harres,3949633,Holstein Kiel
Pass-Ball Receipt-Carry-Pass,41,Alexander Bernhardsson-Finn-Dominik Porath-Finn-Dominik Porath-Finn-Dominik Porath,3949633,Holstein Kiel
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Clearance,42,Lasse Rosenboom-Magnus Knudsen-Magnus Knudsen-Magnus Knudsen-Shuto Machino-Nicolai Remberg,3949633,Holstein Kiel
Ball Recovery-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Pressure-Ball Receipt,44,David Zec-David Zec-David Zec-Shuto Machino-Shuto Machino-Phil Harres-Phil Harres-Shuto Machino-Shuto Machino,3949633,Holstein Kiel
Interception-Ball Recovery-Carry-Pass-Pressure-Ball Receipt,47,Magnus Knudsen-Finn-Dominik Porath-Finn-Dominik Porath-Finn-Dominik Porath-Phil Harres-Phil Harres,3949633,Holstein Kiel
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Pressure-Ball Receipt,50,Timon Weiner-Marco Komenda-Marco Komenda-Marco Komenda-Shuto Machino-Shuto Machino-Magnus Knudsen-Magnus Knudsen,3949633,Holstein Kiel
