words,possession,word_players,match_id,team_name
Duel-Ball Recovery-Carry-Pass-Ball Receipt-Pass-Clearance,3,Rani Khedira-Tim Skarke-Tim Skarke-Tim Skarke-Janik Haberer-Janik Haberer-Danilho Doekhi,3949782,Union Berlin
Pass-Ball Receipt-Duel-Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,5,Alexander Schwolow-Tim Skarke-Tim Skarke-András Schäfer-András Schäfer-András Schäfer-Danilho Doekhi-Danilho Doekhi-Danilho Doekhi-Alexander Schwolow-Alexander Schwolow-Alexander Schwolow-Tom Alexander Rothe-Tom Alexander Rothe-Tom Alexander Rothe,3949782,Union Berlin
Clearance-Pass-Ball Receipt-Carry-Dribble-Carry-Ball Recovery-Carry-Pass-Ball Receipt-Carry-Foul Won,7,Danilho Doekhi-David Preu-Tim Skarke-Tim Skarke-Tim Skarke-Tim Skarke-Tim Skarke-Tim Skarke-Tim Skarke-David Preu-David Preu-David Preu,3949782,Union Berlin
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,8,Tim Skarke-Josip Juranović-Josip Juranović-Josip Juranović-Alexander Schwolow-Alexander Schwolow-Alexander Schwolow-Leopold Querfeld-Leopold Querfeld-Leopold Querfeld-Danilho Doekhi-Danilho Doekhi-Danilho Doekhi-Janik Haberer,3949782,Union Berlin
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt,9,Danilho Doekhi-Benedict Hollerbach-Benedict Hollerbach-Benedict Hollerbach-Janik Haberer-Janik Haberer-Janik Haberer-David Preu-David Preu-Rani Khedira-Rani Khedira-Rani Khedira-Benedict Hollerbach,3949782,Union Berlin
Ball Recovery-Carry-Pass,11,Leopold Querfeld-Leopold Querfeld-Leopold Querfeld,3949782,Union Berlin
Ball Recovery-Carry-Pass,13,Danilho Doekhi-Danilho Doekhi-Danilho Doekhi,3949782,Union Berlin
Pass-Ball Receipt-Ball Recovery-Carry-Pass,15,Josip Juranović-Tim Skarke-Benedict Hollerbach-Benedict Hollerbach-Benedict Hollerbach,3949782,Union Berlin
Pass-Ball Receipt-Pass,16,Josip Juranović-Benedict Hollerbach-Benedict Hollerbach,3949782,Union Berlin
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,18,Josip Juranović-Josip Juranović-Josip Juranović-Leopold Querfeld-Leopold Querfeld-Leopold Querfeld-Janik Haberer-Janik Haberer-Janik Haberer-Alexander Schwolow-Alexander Schwolow-Alexander Schwolow-Tom Alexander Rothe-Tom Alexander Rothe-Tom Alexander Rothe-Josip Juranović-Josip Juranović-Josip Juranović-David Preu,3949782,Union Berlin
Pass-Pass-Ball Receipt-Pass,21,Alexander Schwolow-Leopold Querfeld-Alexander Schwolow-Alexander Schwolow,3949782,Union Berlin
Pass-Ball Receipt-Carry-Pass,23,Josip Juranović-Tom Alexander Rothe-Tom Alexander Rothe-Tom Alexander Rothe,3949782,Union Berlin
Pass-Pass,25,Josip Juranović-Rani Khedira,3949782,Union Berlin
Ball Recovery-Carry-Dispossessed-Ball Recovery-Carry-Foul Won,27,David Preu-David Preu-David Preu-András Schäfer-András Schäfer-András Schäfer,3949782,Union Berlin
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Miscontrol,28,Rani Khedira-Tom Alexander Rothe-Tom Alexander Rothe-David Preu-David Preu-David Preu,3949782,Union Berlin
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Shot,30,Josip Juranović-Tim Skarke-Tim Skarke-Tim Skarke-Rani Khedira-Rani Khedira,3949782,Union Berlin
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Dispossessed,32,Alexander Schwolow-Tim Skarke-Tim Skarke-Tim Skarke-Janik Haberer-Janik Haberer-Rani Khedira-Rani Khedira-Rani Khedira-Benedict Hollerbach-Benedict Hollerbach-Benedict Hollerbach,3949782,Union Berlin
Pass-Ball Receipt-Pass-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Pressure,33,Janik Haberer-Leopold Querfeld-Leopold Querfeld-Janik Haberer-Tom Alexander Rothe-Tom Alexander Rothe-Tom Alexander Rothe-Alexander Schwolow-Alexander Schwolow-Alexander Schwolow-David Preu,3949782,Union Berlin
Ball Recovery-Carry-Pass-Ball Receipt-Foul Committed,35,Leopold Querfeld-Leopold Querfeld-Leopold Querfeld-Benedict Hollerbach-Benedict Hollerbach,3949782,Union Berlin
Pass-Ball Receipt-Carry-Dribble-Ball Recovery-Carry-Pass,37,Tom Alexander Rothe-David Preu-David Preu-David Preu-Rani Khedira-Rani Khedira-Rani Khedira,3949782,Union Berlin
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt,39,Leopold Querfeld-Leopold Querfeld-Leopold Querfeld-Danilho Doekhi-Danilho Doekhi-Danilho Doekhi-Janik Haberer-Janik Haberer-Alexander Schwolow-Alexander Schwolow-David Preu,3949782,Union Berlin
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Dispossessed,41,Tim Skarke-Janik Haberer-Janik Haberer-Janik Haberer-Rani Khedira-Rani Khedira-Rani Khedira-Benedict Hollerbach-Benedict Hollerbach-Benedict Hollerbach,3949782,Union Berlin
Pass-Block-Pressure,43,Alexander Schwolow-Rani Khedira-Rani Khedira,3949782,Union Berlin
Duel-Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Pressure,45,Janik Haberer-Rani Khedira-Rani Khedira-Rani Khedira-Tim Skarke-Tim Skarke-Tim Skarke-David Preu,3949782,Union Berlin
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Miscontrol,47,Janik Haberer-Danilho Doekhi-Danilho Doekhi-Danilho Doekhi-Tom Alexander Rothe-Tom Alexander Rothe-Tom Alexander Rothe-Alexander Schwolow-Alexander Schwolow-Leopold Querfeld-Leopold Querfeld-Leopold Querfeld-Janik Haberer-Janik Haberer-Janik Haberer,3949782,Union Berlin
Pass-Ball Receipt-Pass,50,Rani Khedira-Alexander Schwolow-Alexander Schwolow,3949782,Union Berlin
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Miscontrol,52,Josip Juranović-Josip Juranović-Josip Juranović-David Preu-David Preu-David Preu,3949782,Union Berlin
Ball Recovery-Carry-Pass-Ball Receipt-Duel-Block,54,Josip Juranović-Josip Juranović-Josip Juranović-Tim Skarke-Tim Skarke-Tim Skarke,3949782,Union Berlin
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,56,Leopold Querfeld-David Preu-David Preu-David Preu-Benedict Hollerbach-Benedict Hollerbach-Tom Alexander Rothe-Tom Alexander Rothe-Alexander Schwolow-Alexander Schwolow-Alexander Schwolow-Danilho Doekhi-Danilho Doekhi-Danilho Doekhi,3949782,Union Berlin
Block-Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,60,Janik Haberer-Rani Khedira-Rani Khedira-Rani Khedira-Janik Haberer-Janik Haberer-Janik Haberer-Rani Khedira-Rani Khedira-Rani Khedira,3949782,Union Berlin
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,61,Janik Haberer-Leopold Querfeld-Leopold Querfeld-Leopold Querfeld-Tom Alexander Rothe-Tom Alexander Rothe-Tom Alexander Rothe-Josip Juranović-Josip Juranović-Josip Juranović-Leopold Querfeld-Leopold Querfeld-Leopold Querfeld,3949782,Union Berlin
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Dispossessed-Pass-Ball Receipt-Carry-Dispossessed,63,Josip Juranović-Josip Juranović-Josip Juranović-András Schäfer-András Schäfer-András Schäfer-David Preu-David Preu-David Preu-András Schäfer-David Preu-David Preu-David Preu,3949782,Union Berlin
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass,66,Danilho Doekhi-Janik Haberer-Janik Haberer-Rani Khedira-Rani Khedira-Rani Khedira,3949782,Union Berlin
Pass-Ball Receipt-Carry-Pass-Pressure-Ball Receipt,68,Leopold Querfeld-Josip Juranović-Josip Juranović-Josip Juranović-András Schäfer-Tom Alexander Rothe,3949782,Union Berlin
Duel-Carry-Pass-Ball Receipt-Carry-Miscontrol-Pressure,70,András Schäfer-András Schäfer-András Schäfer-Benedict Hollerbach-Benedict Hollerbach-Benedict Hollerbach-Benedict Hollerbach,3949782,Union Berlin
