words,possession,word_players,match_id,team_name
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,2,Sergi Darder Moll-Antonio José Raillo Arenas-Antonio José Raillo Arenas-Antonio José Raillo Arenas-Martin Valjent-Martin Valjent-Martin Valjent-Robert Navarro Muñoz,3946520,Mallorca
Ball Recovery-Carry-Dispossessed,4,Vedat Muriqi-Vedat Muriqi-Vedat Muriqi,3946520,Mallorca
Pass-Ball Receipt-Foul Committed,5,Pablo Maffeo Becerra-Vedat Muriqi-Vedat Muriqi,3946520,Mallorca
Pass-Ball Receipt-Carry-Dribble-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Duel-Block,7,Pablo Maffeo Becerra-Johan Andrés Mojica Palacio-Johan Andrés Mojica Palacio-Johan Andrés Mojica Palacio-Johan Andrés Mojica Palacio-Johan Andrés Mojica Palacio-Martin Valjent-Martin Valjent-Martin Valjent-Antonio José Raillo Arenas-Antonio José Raillo Arenas-Antonio José Raillo Arenas-Dominik Greif-Dominik Greif-Dominik Greif-Cyle Larin-Cyle Larin-Cyle Larin,3946520,Mallorca
Pass-Ball Receipt-Carry-Pass,10,Antonio José Raillo Arenas-Vedat Muriqi-Vedat Muriqi-Vedat Muriqi,3946520,Mallorca
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,13,Pablo Maffeo Becerra-Robert Navarro Muñoz-Robert Navarro Muñoz-Robert Navarro Muñoz-Pablo Maffeo Becerra-Pablo Maffeo Becerra-Pablo Maffeo Becerra,3946520,Mallorca
Duel-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,15,Johan Andrés Mojica Palacio-Johan Andrés Mojica Palacio-Johan Andrés Mojica Palacio-Cyle Larin-Cyle Larin-Cyle Larin-Sergi Darder Moll-Sergi Darder Moll-Sergi Darder Moll-Pablo Maffeo Becerra-Pablo Maffeo Becerra-Pablo Maffeo Becerra-Cyle Larin,3946520,Mallorca
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Miscontrol,19,Dominik Greif-Martin Valjent-Martin Valjent-Martin Valjent-Manuel Morlanes Ariño-Manuel Morlanes Ariño-Manuel Morlanes Ariño-Martin Valjent-Martin Valjent-Martin Valjent-Antonio José Raillo Arenas-Antonio José Raillo Arenas-Antonio José Raillo Arenas-Manuel Morlanes Ariño-Manuel Morlanes Ariño-Manuel Morlanes Ariño-Samuel Almeida Costa-Samuel Almeida Costa-Samuel Almeida Costa-Manuel Morlanes Ariño-Manuel Morlanes Ariño-Manuel Morlanes Ariño-Martin Valjent-Martin Valjent-Martin Valjent-Manuel Morlanes Ariño-Manuel Morlanes Ariño-Manuel Morlanes Ariño-Martin Valjent-Martin Valjent-Martin Valjent-Sergi Darder Moll-Sergi Darder Moll-Sergi Darder Moll-Antonio José Raillo Arenas-Antonio José Raillo Arenas-Antonio José Raillo Arenas-Johan Andrés Mojica Palacio-Johan Andrés Mojica Palacio-Johan Andrés Mojica Palacio-Sergi Darder Moll-Sergi Darder Moll-Sergi Darder Moll-Antonio José Raillo Arenas-Antonio José Raillo Arenas-Antonio José Raillo Arenas-Sergi Darder Moll-Sergi Darder Moll-Sergi Darder Moll-Pablo Maffeo Becerra-Pablo Maffeo Becerra-Pablo Maffeo Becerra,3946520,Mallorca
Pass-Ball Receipt-Carry-Pass,22,Johan Andrés Mojica Palacio-Samuel Almeida Costa-Samuel Almeida Costa-Samuel Almeida Costa,3946520,Mallorca
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Foul Won,24,Sergi Darder Moll-Sergi Darder Moll-Sergi Darder Moll-Manuel Morlanes Ariño-Manuel Morlanes Ariño-Manuel Morlanes Ariño-Antonio José Raillo Arenas-Antonio José Raillo Arenas-Antonio José Raillo Arenas-Martin Valjent-Martin Valjent-Martin Valjent-Pablo Maffeo Becerra-Pablo Maffeo Becerra-Pablo Maffeo Becerra-Martin Valjent-Martin Valjent-Martin Valjent-Manuel Morlanes Ariño-Manuel Morlanes Ariño-Manuel Morlanes Ariño-Sergi Darder Moll-Sergi Darder Moll-Sergi Darder Moll-Robert Navarro Muñoz-Robert Navarro Muñoz-Robert Navarro Muñoz,3946520,Mallorca
Shot,25,Samuel Almeida Costa,3946520,Mallorca
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Dispossessed,27,Robert Navarro Muñoz-Robert Navarro Muñoz-Robert Navarro Muñoz-Cyle Larin-Cyle Larin-Cyle Larin,3946520,Mallorca
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,30,Martin Valjent-Dominik Greif-Dominik Greif-Dominik Greif-Antonio José Raillo Arenas-Antonio José Raillo Arenas-Antonio José Raillo Arenas-Johan Andrés Mojica Palacio-Johan Andrés Mojica Palacio-Johan Andrés Mojica Palacio-Samuel Almeida Costa-Samuel Almeida Costa-Samuel Almeida Costa-Johan Andrés Mojica Palacio-Johan Andrés Mojica Palacio-Johan Andrés Mojica Palacio-Vedat Muriqi-Vedat Muriqi-Vedat Muriqi,3946520,Mallorca
Pass-Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,31,Sergi Darder Moll-Johan Andrés Mojica Palacio-Johan Andrés Mojica Palacio-Johan Andrés Mojica Palacio-Dominik Greif-Dominik Greif-Dominik Greif-Pablo Maffeo Becerra-Pablo Maffeo Becerra-Pablo Maffeo Becerra-Samuel Almeida Costa-Samuel Almeida Costa-Samuel Almeida Costa-Sergi Darder Moll-Sergi Darder Moll-Sergi Darder Moll-Robert Navarro Muñoz-Robert Navarro Muñoz-Robert Navarro Muñoz-Manuel Morlanes Ariño-Manuel Morlanes Ariño-Manuel Morlanes Ariño-Pablo Maffeo Becerra-Pablo Maffeo Becerra-Pablo Maffeo Becerra-Sergi Darder Moll-Sergi Darder Moll-Sergi Darder Moll-Robert Navarro Muñoz-Robert Navarro Muñoz-Robert Navarro Muñoz-Samuel Almeida Costa-Samuel Almeida Costa-Samuel Almeida Costa-Johan Andrés Mojica Palacio-Johan Andrés Mojica Palacio-Johan Andrés Mojica Palacio-Cyle Larin-Cyle Larin-Cyle Larin-Antonio José Raillo Arenas-Antonio José Raillo Arenas-Antonio José Raillo Arenas-Johan Andrés Mojica Palacio,3946520,Mallorca
Pass-Ball Receipt-Pass-Ball Receipt,33,Pablo Maffeo Becerra-Vedat Muriqi-Vedat Muriqi-Cyle Larin,3946520,Mallorca
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass,35,Pablo Maffeo Becerra-Manuel Morlanes Ariño-Manuel Morlanes Ariño-Manuel Morlanes Ariño-Robert Navarro Muñoz-Robert Navarro Muñoz-Robert Navarro Muñoz-Cyle Larin-Cyle Larin,3946520,Mallorca
Pass-Ball Receipt-Carry-Dispossessed-Pass-Ball Receipt-Carry-Pass,38,Johan Andrés Mojica Palacio-Sergi Darder Moll-Sergi Darder Moll-Sergi Darder Moll-Manuel Morlanes Ariño-Martin Valjent-Martin Valjent-Martin Valjent,3946520,Mallorca
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass,39,Pablo Maffeo Becerra-Martin Valjent-Martin Valjent-Martin Valjent-Samuel Almeida Costa-Samuel Almeida Costa-Samuel Almeida Costa-Antonio José Raillo Arenas-Antonio José Raillo Arenas-Antonio José Raillo Arenas-Martin Valjent-Martin Valjent-Martin Valjent-Antonio José Raillo Arenas-Antonio José Raillo Arenas-Antonio José Raillo Arenas-Samuel Almeida Costa-Samuel Almeida Costa-Samuel Almeida Costa-Martin Valjent-Martin Valjent-Martin Valjent-Antonio José Raillo Arenas-Antonio José Raillo Arenas-Antonio José Raillo Arenas-Samuel Almeida Costa-Samuel Almeida Costa-Samuel Almeida Costa-Johan Andrés Mojica Palacio-Johan Andrés Mojica Palacio-Johan Andrés Mojica Palacio-Samuel Almeida Costa-Samuel Almeida Costa-Samuel Almeida Costa-Manuel Morlanes Ariño-Manuel Morlanes Ariño-Manuel Morlanes Ariño-Dominik Greif-Dominik Greif-Dominik Greif-Antonio José Raillo Arenas-Antonio José Raillo Arenas-Antonio José Raillo Arenas-Samuel Almeida Costa-Samuel Almeida Costa-Samuel Almeida Costa-Martin Valjent-Martin Valjent-Martin Valjent-Antonio José Raillo Arenas-Antonio José Raillo Arenas-Antonio José Raillo Arenas-Johan Andrés Mojica Palacio-Johan Andrés Mojica Palacio-Johan Andrés Mojica Palacio-Samuel Almeida Costa-Samuel Almeida Costa-Samuel Almeida Costa-Sergi Darder Moll-Sergi Darder Moll-Sergi Darder Moll-Pablo Maffeo Becerra-Pablo Maffeo Becerra,3946520,Mallorca
