words,possession,word_players,match_id,team_name
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3,Lucas Torró Marset-Aimar Oroz-Aimar Oroz-Aimar Oroz-Abel Bretones Cruz-Abel Bretones Cruz-Abel Bretones Cruz-Aimar Oroz-Aimar Oroz-Aimar Oroz-Alejandro Catena Marugán-Alejandro Catena Marugán-Alejandro Catena Marugán-Abel Bretones Cruz-Abel Bretones Cruz-Abel Bretones Cruz,3946675,Osasuna
Pass-Ball Receipt-Carry-Pass,4,Rubén García Santos-Jon Moncayola Tollar-Jon Moncayola Tollar-Jon Moncayola Tollar,3946675,Osasuna
Pass-Shot-Ball Receipt,5,Rubén García Santos-Aimar Oroz-Aimar Oroz,3946675,Osasuna
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass,7,Jon Moncayola Tollar-Jesús Areso Blanco-Jesús Areso Blanco-Jesús Areso Blanco-Jon Moncayola Tollar-Jon Moncayola Tollar,3946675,Osasuna
Pass,8,Jesús Areso Blanco,3946675,Osasuna
Pass,9,Rubén García Santos,3946675,Osasuna
Pass-Ball Receipt-Pass,11,Jesús Areso Blanco-Jon Moncayola Tollar-Jon Moncayola Tollar,3946675,Osasuna
Ball Receipt-Pass-Ball Receipt-Miscontrol,13,Rubén García Santos-Rubén García Santos-Jon Moncayola Tollar-Jon Moncayola Tollar,3946675,Osasuna
Pass-Pressure,14,Jesús Areso Blanco-Rubén García Santos,3946675,Osasuna
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Shot,15,Rubén García Santos-Jon Moncayola Tollar-Jon Moncayola Tollar-Rubén García Santos-Rubén García Santos-Rubén García Santos-Jon Moncayola Tollar-Jon Moncayola Tollar-Lucas Torró Marset-Lucas Torró Marset,3946675,Osasuna
Pass-Ball Receipt-Carry-Miscontrol,17,Alejandro Catena Marugán-Lucas Torró Marset-Lucas Torró Marset-Lucas Torró Marset,3946675,Osasuna
Pass-Ball Receipt-Carry-Foul Won,19,Alejandro Catena Marugán-Lucas Torró Marset-Lucas Torró Marset-Lucas Torró Marset,3946675,Osasuna
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Recovery-Carry-Pass-Ball Receipt-Carry-Dispossessed,20,Jorge Herrando Oroz-Aitor Fernández Abarisketa-Aitor Fernández Abarisketa-Aitor Fernández Abarisketa-Jesús Areso Blanco-Jesús Areso Blanco-Rubén García Santos-Rubén García Santos-Jon Moncayola Tollar-Jon Moncayola Tollar-Jon Moncayola Tollar-Jesús Areso Blanco-Jesús Areso Blanco-Rubén García Santos-Rubén García Santos-Rubén García Santos-Jesús Areso Blanco-Jesús Areso Blanco-Jesús Areso Blanco,3946675,Osasuna
Pass-Duel-Pass,21,Jesús Areso Blanco-Lucas Torró Marset-Flavien-Enzo Boyomo,3946675,Osasuna
Ball Recovery-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,24,Aitor Fernández Abarisketa-Aitor Fernández Abarisketa-Alejandro Catena Marugán-Alejandro Catena Marugán-Aitor Fernández Abarisketa-Aitor Fernández Abarisketa-Aitor Fernández Abarisketa-Alejandro Catena Marugán-Alejandro Catena Marugán-Alejandro Catena Marugán-Aitor Fernández Abarisketa-Aitor Fernández Abarisketa-Aitor Fernández Abarisketa-Jorge Herrando Oroz-Jorge Herrando Oroz-Jorge Herrando Oroz,3946675,Osasuna
Ball Recovery-Carry-Pass-Ball Receipt-Foul Won,26,Aimar Oroz-Aimar Oroz-Aimar Oroz-Jon Moncayola Tollar-Aimar Oroz,3946675,Osasuna
