words,possession,word_players,match_id,team_name
Pass-Ball Receipt,3,Milos Kerkez-Marcus Tavernier,3955761,AFC Bournemouth
Pass-Ball Receipt-Carry-Foul Won,5,Dean Donny Huijsen-Justin Kluivert-Justin Kluivert-Justin Kluivert,3955761,AFC Bournemouth
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Miscontrol-Pressure,6,Tyler Adams-Milos Kerkez-Milos Kerkez-Justin Kluivert-Justin Kluivert-Justin Kluivert-Francisco Evanilson de Lima Barbosa,3955761,AFC Bournemouth
Ball Recovery-Carry-Pass-Ball Receipt-Pass-Ball Receipt,8,Dean Donny Huijsen-Dean Donny Huijsen-Dean Donny Huijsen-Kepa Arrizabalaga Revuelta-Kepa Arrizabalaga Revuelta-Antoine Semenyo,3955761,AFC Bournemouth
Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Foul Won,13,Antoine Semenyo-Marcus Tavernier-Marcus Tavernier-Antoine Semenyo-Antoine Semenyo-Francisco Evanilson de Lima Barbosa-Francisco Evanilson de Lima Barbosa-Francisco Evanilson de Lima Barbosa,3955761,AFC Bournemouth
Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Pressure-Ball Receipt,14,Justin Kluivert-Tyler Adams-Tyler Adams-Dean Donny Huijsen-Dean Donny Huijsen-Milos Kerkez-Milos Kerkez-Milos Kerkez-Justin Kluivert-Justin Kluivert,3955761,AFC Bournemouth
Pass-Ball Receipt-Carry-Pass-Ball Receipt,16,Milos Kerkez-Marcus Tavernier-Marcus Tavernier-Marcus Tavernier-Dean Donny Huijsen,3955761,AFC Bournemouth
Duel-Ball Recovery-Carry-Pass-Ball Receipt,18,Tyler Adams-Milos Kerkez-Milos Kerkez-Milos Kerkez-Francisco Evanilson de Lima Barbosa,3955761,AFC Bournemouth
Goal Keeper-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Dispossessed,20,Kepa Arrizabalaga Revuelta-Kepa Arrizabalaga Revuelta-Milos Kerkez-Milos Kerkez-Dean Donny Huijsen-Dean Donny Huijsen-Justin Kluivert-Justin Kluivert-Marcus Tavernier-Marcus Tavernier-Marcus Tavernier,3955761,AFC Bournemouth
Duel-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,23,Tyler Adams-Tyler Adams-Tyler Adams-Antoine Semenyo-Antoine Semenyo-Antoine Semenyo-Marcus Tavernier-Marcus Tavernier-Marcus Tavernier,3955761,AFC Bournemouth
Clearance-Ball Recovery-Carry-Foul Won,25,Milos Kerkez-Francisco Evanilson de Lima Barbosa-Francisco Evanilson de Lima Barbosa-Francisco Evanilson de Lima Barbosa,3955761,AFC Bournemouth
Pass-Ball Receipt-Miscontrol-Pressure,26,Kepa Arrizabalaga Revuelta-Francisco Evanilson de Lima Barbosa-Francisco Evanilson de Lima Barbosa-Ryan Christie,3955761,AFC Bournemouth
Pass-Ball Receipt-Carry-Miscontrol,28,Kepa Arrizabalaga Revuelta-Francisco Evanilson de Lima Barbosa-Francisco Evanilson de Lima Barbosa-Francisco Evanilson de Lima Barbosa,3955761,AFC Bournemouth
