words,possession,word_players,match_id,team_name
Ball Recovery-Carry-Miscontrol-Pressure,3,Boubacar Kamara-Boubacar Kamara-Boubacar Kamara-Boubacar Kamara,3955807,Aston Villa
Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,5,Youri Tielemans-Boubacar Kamara-Boubacar Kamara-Ezri Konsa Ngoyo-Ezri Konsa Ngoyo-Damián Emiliano Martínez-Damián Emiliano Martínez-Pau Francisco Torres-Pau Francisco Torres-Pau Francisco Torres-Lucas Digne-Lucas Digne-Lucas Digne-Jhon Jáder Durán Palacio,3955807,Aston Villa
Pass-Ball Receipt-Carry-Dispossessed-Ball Recovery-Carry-Pass-Ball Receipt-Pass-Ball Receipt,7,Morgan Rogers-Jhon Jáder Durán Palacio-Jhon Jáder Durán Palacio-Jhon Jáder Durán Palacio-Jhon Jáder Durán Palacio-Jhon Jáder Durán Palacio-Jhon Jáder Durán Palacio-Youri Tielemans-Youri Tielemans-Jhon Jáder Durán Palacio,3955807,Aston Villa
Clearance-50/50-Ball Recovery-Carry-Dribble-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,9,Amadou Onana-Matty Cash-Boubacar Kamara-Boubacar Kamara-Boubacar Kamara-Boubacar Kamara-Boubacar Kamara-Morgan Rogers-Morgan Rogers-Morgan Rogers-Youri Tielemans,3955807,Aston Villa
Pass-Ball Receipt-Pass-Ball Receipt,12,Damián Emiliano Martínez-Ezri Konsa Ngoyo-Ezri Konsa Ngoyo-Jhon Jáder Durán Palacio,3955807,Aston Villa
Ball Recovery-Carry-Pass-Ball Receipt-Ball Recovery-Carry-Foul Won,14,Pau Francisco Torres-Pau Francisco Torres-Pau Francisco Torres-Morgan Rogers-Morgan Rogers-Morgan Rogers-Morgan Rogers,3955807,Aston Villa
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Foul Won,15,Pau Francisco Torres-Damián Emiliano Martínez-Damián Emiliano Martínez-Boubacar Kamara-Boubacar Kamara-Boubacar Kamara,3955807,Aston Villa
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Pressure-Ball Receipt,16,Boubacar Kamara-Damián Emiliano Martínez-Damián Emiliano Martínez-Damián Emiliano Martínez-John McGinn-John McGinn-Amadou Onana-Amadou Onana,3955807,Aston Villa
Duel-Ball Recovery-Carry-Pass-Ball Receipt,18,Amadou Onana-Youri Tielemans-Youri Tielemans-Youri Tielemans-Jhon Jáder Durán Palacio,3955807,Aston Villa
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,21,Matty Cash-John McGinn-John McGinn-John McGinn-Matty Cash-Matty Cash-Matty Cash-Jhon Jáder Durán Palacio,3955807,Aston Villa
Pass-Ball Receipt-Carry-Pass-Ball Receipt,22,John McGinn-Youri Tielemans-Youri Tielemans-Youri Tielemans-Pau Francisco Torres,3955807,Aston Villa
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,23,Matty Cash-John McGinn-John McGinn-John McGinn-Matty Cash-Matty Cash-Matty Cash-Jhon Jáder Durán Palacio,3955807,Aston Villa
Pass-Ball Receipt-Duel,24,Matty Cash-Amadou Onana-Amadou Onana,3955807,Aston Villa
