words,possession,word_players,match_id,team_name
Pass-Ball Receipt-Carry-Dribble-Carry-Dispossessed,4,Cameron Burgess-Samuel Szmodics-Samuel Szmodics-Samuel Szmodics-Samuel Szmodics-Samuel Szmodics,3955724,Ipswich Town
Ball Recovery-Carry-Dispossessed,7,Kalvin Phillips-Kalvin Phillips-Kalvin Phillips,3955724,Ipswich Town
Pass-Pass-Ball Receipt,10,Arijanet Murić-Dara Joseph O'Shea-Samuel Szmodics,3955724,Ipswich Town
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass,12,Cameron Burgess-Arijanet Murić-Arijanet Murić-Cameron Burgess-Cameron Burgess-Cameron Burgess,3955724,Ipswich Town
Pass-Ball Receipt,13,Leif Davis-Conor Chaplin,3955724,Ipswich Town
Goal Keeper-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,17,Arijanet Murić-Arijanet Murić-Arijanet Murić-Samuel Szmodics-Samuel Szmodics-Samuel Szmodics-Conor Chaplin,3955724,Ipswich Town
Ball Recovery-Carry-Pass-Shot-Ball Receipt,19,Omari Giraud-Hutchinson-Omari Giraud-Hutchinson-Omari Giraud-Hutchinson-Samuel Szmodics-Samuel Szmodics,3955724,Ipswich Town
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Shot,21,Benjamin Johnson-Omari Giraud-Hutchinson-Omari Giraud-Hutchinson-Sam Morsy-Sam Morsy-Sam Morsy-Samuel Szmodics-Samuel Szmodics-Sam Morsy-Sam Morsy-Kalvin Phillips-Kalvin Phillips-Kalvin Phillips-Leif Davis-Leif Davis-Leif Davis-Kalvin Phillips-Kalvin Phillips-Kalvin Phillips-Sam Morsy-Sam Morsy-Sam Morsy-Omari Giraud-Hutchinson-Omari Giraud-Hutchinson-Omari Giraud-Hutchinson-Benjamin Johnson-Benjamin Johnson-Benjamin Johnson-Sam Morsy-Sam Morsy-Sam Morsy-Conor Chaplin-Conor Chaplin-Conor Chaplin-Omari Giraud-Hutchinson-Omari Giraud-Hutchinson-Omari Giraud-Hutchinson-Conor Chaplin-Conor Chaplin-Conor Chaplin-Sam Morsy-Sam Morsy-Sam Morsy-Conor Chaplin-Conor Chaplin-Conor Chaplin,3955724,Ipswich Town
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Ball Recovery-Carry-Dribble-Carry-Miscontrol-Pressure,23,Dara Joseph O'Shea-Kalvin Phillips-Kalvin Phillips-Kalvin Phillips-Omari Giraud-Hutchinson-Liam Delap-Liam Delap-Liam Delap-Liam Delap-Liam Delap-Liam Delap,3955724,Ipswich Town
Pass-Pressure-Ball Receipt,24,Benjamin Johnson-Liam Delap-Liam Delap,3955724,Ipswich Town
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Pressure-Foul Committed,26,Leif Davis-Kalvin Phillips-Kalvin Phillips-Kalvin Phillips-Cameron Burgess-Cameron Burgess-Cameron Burgess-Kalvin Phillips-Kalvin Phillips,3955724,Ipswich Town
Pass-Ball Receipt-Carry-Dispossessed,28,Benjamin Johnson-Omari Giraud-Hutchinson-Omari Giraud-Hutchinson-Omari Giraud-Hutchinson,3955724,Ipswich Town
Goal Keeper-Ball Recovery-Carry-Pass,30,Arijanet Murić-Leif Davis-Leif Davis-Leif Davis,3955724,Ipswich Town
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass,32,Cameron Burgess-Arijanet Murić-Arijanet Murić-Cameron Burgess-Cameron Burgess-Cameron Burgess-Leif Davis-Leif Davis-Kalvin Phillips-Kalvin Phillips-Kalvin Phillips,3955724,Ipswich Town
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,33,Leif Davis-Sam Morsy-Sam Morsy-Sam Morsy-Leif Davis-Leif Davis-Leif Davis-Cameron Burgess-Cameron Burgess-Cameron Burgess-Arijanet Murić-Arijanet Murić-Arijanet Murić-Dara Joseph O'Shea-Dara Joseph O'Shea-Dara Joseph O'Shea-Benjamin Johnson-Benjamin Johnson-Benjamin Johnson-Conor Chaplin-Conor Chaplin-Conor Chaplin-Benjamin Johnson-Benjamin Johnson-Benjamin Johnson-Leif Davis,3955724,Ipswich Town
Goal Keeper-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,35,Arijanet Murić-Arijanet Murić-Arijanet Murić-Cameron Burgess-Cameron Burgess-Cameron Burgess-Sam Morsy-Sam Morsy-Arijanet Murić-Arijanet Murić-Arijanet Murić-Cameron Burgess-Cameron Burgess-Cameron Burgess-Arijanet Murić-Arijanet Murić-Arijanet Murić-Cameron Burgess-Cameron Burgess-Cameron Burgess-Leif Davis-Leif Davis-Leif Davis-Liam Delap,3955724,Ipswich Town
