words,possession,word_players,match_id,team_name
Ball Recovery-Carry-Pass-Ball Receipt,6,Stephy Alvaro Mavididi-Stephy Alvaro Mavididi-Stephy Alvaro Mavididi-Jamie Vardy,3955708,Leicester City
Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,10,Mads Hermansen-Memeh Caleb Okoli-Memeh Caleb Okoli-James Justin-James Justin-Wout Faes-Wout Faes-Wout Faes-Victor Bernth Kristansen-Victor Bernth Kristansen-Victor Bernth Kristansen-Stephy Alvaro Mavididi,3955708,Leicester City
Ball Recovery-Carry-Foul Won,12,Oliver Skipp-Oliver Skipp-Oliver Skipp,3955708,Leicester City
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,13,Oliver Skipp-Victor Bernth Kristansen-Victor Bernth Kristansen-Stephy Alvaro Mavididi-Stephy Alvaro Mavididi-Stephy Alvaro Mavididi-Memeh Caleb Okoli-Memeh Caleb Okoli-Memeh Caleb Okoli-Facundo Valentín Buonanotte,3955708,Leicester City
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Dribble-Carry-Pass-Ball Receipt,16,Jamie Vardy-Mads Hermansen-Mads Hermansen-James Justin-James Justin-James Justin-Facundo Valentín Buonanotte-Facundo Valentín Buonanotte-Facundo Valentín Buonanotte-Facundo Valentín Buonanotte-Facundo Valentín Buonanotte-Stephy Alvaro Mavididi,3955708,Leicester City
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Foul Won-Injury Stoppage-Player Off,17,James Justin-Onyinye Wilfred Ndidi-Onyinye Wilfred Ndidi-James Justin-James Justin-James Justin-James Justin-James Justin,3955708,Leicester City
Pass-Ball Receipt-Shot,18,Bilal El Khannous-Wout Faes-Wout Faes,3955708,Leicester City
Pass-Ball Receipt-Carry-Dribble-Player On-Pass-Ball Receipt,20,Wout Faes-Onyinye Wilfred Ndidi-Onyinye Wilfred Ndidi-Onyinye Wilfred Ndidi-James Justin-Onyinye Wilfred Ndidi-Stephy Alvaro Mavididi,3955708,Leicester City
Ball Recovery-Carry-Dispossessed-Ball Recovery-Carry-Miscontrol,23,Victor Bernth Kristansen-Victor Bernth Kristansen-Victor Bernth Kristansen-Stephy Alvaro Mavididi-Stephy Alvaro Mavididi-Stephy Alvaro Mavididi,3955708,Leicester City
Pass-Ball Receipt-Shot,25,Facundo Valentín Buonanotte-James Justin-James Justin,3955708,Leicester City
