words,possession,word_players,match_id,team_name
Pass-Ball Receipt-Carry-Pass-Ball Recovery-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Pressure-Ball Receipt,2,James Maddison-Micky van de Ven-Micky van de Ven-Micky van de Ven-Lucas Bergvall-Lucas Bergvall-Lucas Bergvall-Djed Spence-Djed Spence-Rodrigo Bentancur Colmán-Rodrigo Bentancur Colmán-Rodrigo Bentancur Colmán-Lucas Bergvall-Lucas Bergvall-Lucas Bergvall-Dominic Solanke-Dominic Solanke,3955926,Tottenham Hotspur
Pass-Ball Receipt-Pass,4,Cristian Gabriel Romero-Lucas Bergvall-Lucas Bergvall,3955926,Tottenham Hotspur
Pass-Ball Receipt-Carry-Miscontrol,7,Iyenoma Destiny Udogie-Rodrigo Bentancur Colmán-Rodrigo Bentancur Colmán-Rodrigo Bentancur Colmán,3955926,Tottenham Hotspur
Block-Block,9,Iyenoma Destiny Udogie-Micky van de Ven,3955926,Tottenham Hotspur
Pass-Ball Receipt-Carry-Dribble-Carry-Dribble,11,Rodrigo Bentancur Colmán-Djed Spence-Djed Spence-Djed Spence-Djed Spence-Djed Spence,3955926,Tottenham Hotspur
Interception-Carry-Pass-Ball Receipt-Carry-Shot,13,Iyenoma Destiny Udogie-Iyenoma Destiny Udogie-Iyenoma Destiny Udogie-Heung-Min Son-Heung-Min Son-Heung-Min Son,3955926,Tottenham Hotspur
Pass-Miscontrol-Ball Receipt,14,Heung-Min Son-Rodrigo Bentancur Colmán-Rodrigo Bentancur Colmán,3955926,Tottenham Hotspur
Pass-Ball Receipt-Carry-Pass,16,Iyenoma Destiny Udogie-Guglielmo Vicario-Guglielmo Vicario-Guglielmo Vicario,3955926,Tottenham Hotspur
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,17,Iyenoma Destiny Udogie-Heung-Min Son-Heung-Min Son-Heung-Min Son-Micky van de Ven-Micky van de Ven-Micky van de Ven-Cristian Gabriel Romero-Cristian Gabriel Romero-Cristian Gabriel Romero-Djed Spence-Djed Spence-Djed Spence,3955926,Tottenham Hotspur
Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Dispossessed-Ball Receipt,19,Guglielmo Vicario-Djed Spence-Djed Spence-Cristian Gabriel Romero-Cristian Gabriel Romero-Dominic Solanke-Dominic Solanke-Dominic Solanke-James Maddison-James Maddison-James Maddison-Iyenoma Destiny Udogie-Iyenoma Destiny Udogie-Iyenoma Destiny Udogie-Heung-Min Son-Heung-Min Son-Heung-Min Son-James Maddison-James Maddison-James Maddison-Rodrigo Bentancur Colmán-Rodrigo Bentancur Colmán-Rodrigo Bentancur Colmán-James Maddison-James Maddison-James Maddison-Micky van de Ven-Micky van de Ven-Micky van de Ven-James Maddison-James Maddison-James Maddison-Rodrigo Bentancur Colmán-Rodrigo Bentancur Colmán-Rodrigo Bentancur Colmán-Micky van de Ven-Micky van de Ven-Micky van de Ven-Guglielmo Vicario-Guglielmo Vicario-Guglielmo Vicario-Micky van de Ven-Micky van de Ven-Micky van de Ven-Iyenoma Destiny Udogie-Iyenoma Destiny Udogie-Iyenoma Destiny Udogie-Rodrigo Bentancur Colmán-Rodrigo Bentancur Colmán-Rodrigo Bentancur Colmán-Heung-Min Son-Heung-Min Son-Heung-Min Son-Iyenoma Destiny Udogie-Iyenoma Destiny Udogie,3955926,Tottenham Hotspur
