words,possession,word_players,match_id,team_name
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Duel,2,Carlos Soler Barragán-Łukasz Fabiański-Łukasz Fabiański-Łukasz Fabiański-Jarrod Bowen-Tomáš Souček,3955759,West Ham United
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Pressure-Ball Receipt,3,Aaron Wan-Bissaka-Jean-Clair Todibo-Jean-Clair Todibo-Jean-Clair Todibo-Maximilian William Kilman-Maximilian William Kilman-Maximilian William Kilman-Łukasz Fabiański-Łukasz Fabiański-Łukasz Fabiański-Maximilian William Kilman-Maximilian William Kilman-Maximilian William Kilman-Emerson Palmieri dos Santos-Emerson Palmieri dos Santos-Emerson Palmieri dos Santos-Michail Antonio-Michail Antonio,3955759,West Ham United
Duel-Ball Recovery-Carry-Dribble,7,Tomáš Souček-Jarrod Bowen-Jarrod Bowen-Jarrod Bowen,3955759,West Ham United
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Dribble,9,Emerson Palmieri dos Santos-Emerson Palmieri dos Santos-Emerson Palmieri dos Santos-Crysencio Summerville-Crysencio Summerville-Crysencio Summerville-Emerson Palmieri dos Santos-Emerson Palmieri dos Santos-Emerson Palmieri dos Santos-Crysencio Summerville-Crysencio Summerville-Crysencio Summerville-Emerson Palmieri dos Santos-Emerson Palmieri dos Santos-Emerson Palmieri dos Santos,3955759,West Ham United
Block-Ball Recovery-Carry-Foul Won,11,Lucas Tolentino Coelho de Lima-Lucas Tolentino Coelho de Lima-Lucas Tolentino Coelho de Lima-Lucas Tolentino Coelho de Lima,3955759,West Ham United
Pass,12,Łukasz Fabiański,3955759,West Ham United
Ball Recovery-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Miscontrol,14,Łukasz Fabiański-Łukasz Fabiański-Łukasz Fabiański-Emerson Palmieri dos Santos-Emerson Palmieri dos Santos-Crysencio Summerville-Crysencio Summerville-Crysencio Summerville,3955759,West Ham United
Pass-Ball Receipt-Carry-Miscontrol,18,Lucas Tolentino Coelho de Lima-Carlos Soler Barragán-Carlos Soler Barragán-Carlos Soler Barragán,3955759,West Ham United
Block-Block-Clearance,20,Maximilian William Kilman-Tomáš Souček-Tomáš Souček,3955759,West Ham United
Pass-Ball Receipt-Pass-Ball Receipt-Duel-Ball Recovery-Carry-Dribble-Carry-Ball Recovery,22,Carlos Soler Barragán-Jarrod Bowen-Jarrod Bowen-Michail Antonio-Michail Antonio-Michail Antonio-Michail Antonio-Michail Antonio-Michail Antonio-Michail Antonio,3955759,West Ham United
Pass-Ball Receipt-Miscontrol,24,Aaron Wan-Bissaka-Michail Antonio-Michail Antonio,3955759,West Ham United
