words,possession,word_players,match_id,team_name
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Dispossessed,3,Liberato Gianpaolo Cacace-Pietro Pellegri-Pietro Pellegri-Liberato Gianpaolo Cacace-Liberato Gianpaolo Cacace-Liberato Gianpaolo Cacace,3945080,Empoli
Pass-Ball Receipt-Pass-Ball Receipt-Miscontrol-Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Pass-Ball Receipt-Carry-Dispossessed,4,Giuseppe Pezzella-Youssef Maleh-Youssef Maleh-Lorenzo Colombo-Lorenzo Colombo-Saba Goglichidze-Saba Goglichidze-Saba Goglichidze-Emanuel Quartsin Gyasi-Emanuel Quartsin Gyasi-Emanuel Quartsin Gyasi-Liam Henderson-Pietro Pellegri-Pietro Pellegri-Pietro Pellegri,3945080,Empoli
Block-Ball Recovery-Carry-Dribble-Carry-Miscontrol,6,Pietro Pellegri-Pietro Pellegri-Pietro Pellegri-Pietro Pellegri-Pietro Pellegri-Pietro Pellegri,3945080,Empoli
Pass-Ball Receipt-Pass-Ball Receipt-Dispossessed-Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Miscontrol-Pressure-Ball Recovery-Carry-Foul Won-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,8,Giuseppe Pezzella-Youssef Maleh-Youssef Maleh-Giuseppe Pezzella-Giuseppe Pezzella-Mattia Viti-Mattia Viti-Mattia Viti-Ardian Ismajli-Ardian Ismajli-Ardian Ismajli-Saba Goglichidze-Saba Goglichidze-Saba Goglichidze-Ardian Ismajli-Ardian Ismajli-Ardian Ismajli-Mattia Viti-Mattia Viti-Mattia Viti-Liberato Gianpaolo Cacace-Liberato Gianpaolo Cacace-Liberato Gianpaolo Cacace-Liberato Gianpaolo Cacace-Mattia Viti-Mattia Viti-Mattia Viti-Mattia Viti-Youssef Maleh-Youssef Maleh-Youssef Maleh-Liberato Gianpaolo Cacace-Liberato Gianpaolo Cacace-Liberato Gianpaolo Cacace,3945080,Empoli
Ball Recovery-Carry-Pass,10,Youssef Maleh-Youssef Maleh-Youssef Maleh,3945080,Empoli
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Block,11,Giuseppe Pezzella-Youssef Maleh-Youssef Maleh-Giuseppe Pezzella-Giuseppe Pezzella-Giuseppe Pezzella-Giuseppe Pezzella,3945080,Empoli
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,13,Liam Henderson-Devis Estiven Vásquez Llach-Devis Estiven Vásquez Llach-Devis Estiven Vásquez Llach-Saba Goglichidze-Saba Goglichidze-Saba Goglichidze,3945080,Empoli
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Miscontrol-Pressure,16,Ardian Ismajli-Liam Henderson-Liam Henderson-Liam Henderson-Mattia Viti-Mattia Viti-Mattia Viti-Giuseppe Pezzella-Giuseppe Pezzella-Giuseppe Pezzella-Youssef Maleh-Youssef Maleh-Youssef Maleh-Liberato Gianpaolo Cacace-Liberato Gianpaolo Cacace-Giuseppe Pezzella-Giuseppe Pezzella-Giuseppe Pezzella,3945080,Empoli
Ball Recovery-Carry-Pass-Ball Receipt-Pass-Pressure-Ball Receipt,18,Saba Goglichidze-Saba Goglichidze-Saba Goglichidze-Emanuel Quartsin Gyasi-Emanuel Quartsin Gyasi-Pietro Pellegri-Pietro Pellegri,3945080,Empoli
Interception-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Foul Won,20,Saba Goglichidze-Saba Goglichidze-Saba Goglichidze-Devis Estiven Vásquez Llach-Devis Estiven Vásquez Llach-Devis Estiven Vásquez Llach-Youssef Maleh-Youssef Maleh,3945080,Empoli
