words,possession,word_players,match_id,team_name
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3,Koni De Winter-Mattia Bani-Mattia Bani-Mattia Bani-Benjamin Kevin Siegrist-Benjamin Kevin Siegrist-Benjamin Kevin Siegrist-Mattia Bani-Mattia Bani-Mattia Bani-Brooke Norton-Cuffy,3945331,Genoa
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,4,Koni De Winter-Mattia Bani-Mattia Bani-Benjamin Kevin Siegrist-Benjamin Kevin Siegrist-Benjamin Kevin Siegrist-Mattia Bani-Mattia Bani-Mattia Bani-Lorenzo Venturino-Lorenzo Venturino-Lorenzo Venturino,3945331,Genoa
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Clearance-Pressure,6,Benjamin Kevin Siegrist-Mattia Bani-Mattia Bani-Koni De Winter-Koni De Winter-Koni De Winter-Mattia Bani-Jean Emile Junior Onana Onana,3945331,Genoa
Pass-Ball Receipt-Pass-Ball Receipt-Duel-Pass,8,Mattia Bani-Benjamin Kevin Siegrist-Benjamin Kevin Siegrist-Lorenzo Venturino-Lorenzo Venturino-Patrizio Masini,3945331,Genoa
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass,10,Koni De Winter-Mattia Bani-Mattia Bani-Mattia Bani-Sebastian Otoa-Sebastian Otoa-Sebastian Otoa-Aarón Martín Caricol-Aarón Martín Caricol,3945331,Genoa
Pass-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Dribble,13,Benjamin Kevin Siegrist-Jean Emile Junior Onana Onana-Brooke Norton-Cuffy-Brooke Norton-Cuffy-Brooke Norton-Cuffy-Junior Messias-Junior Messias-Junior Messias-Koni De Winter-Koni De Winter-Koni De Winter,3945331,Genoa
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,14,Koni De Winter-Mattia Bani-Mattia Bani-Sebastian Otoa-Sebastian Otoa-Sebastian Otoa-Mattia Bani-Mattia Bani-Mattia Bani-Koni De Winter-Koni De Winter-Koni De Winter-Mattia Bani-Mattia Bani-Mattia Bani,3945331,Genoa
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Ball Recovery-Carry-Pass-Ball Receipt-Carry-Miscontrol-Pressure,16,Sebastian Otoa-Benjamin Kevin Siegrist-Benjamin Kevin Siegrist-Aarón Martín Caricol-Aarón Martín Caricol-Aarón Martín Caricol-Sebastian Otoa-Sebastian Otoa-Sebastian Otoa-Aarón Martín Caricol-Aarón Martín Caricol-Aarón Martín Caricol-Lorenzo Venturino-Lorenzo Venturino-Lorenzo Venturino-Lorenzo Venturino-Vítor Manuel Carvalho Oliveira-Vítor Manuel Carvalho Oliveira-Vítor Manuel Carvalho Oliveira-Vítor Manuel Carvalho Oliveira,3945331,Genoa
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Duel-Block-Pressure,19,Koni De Winter-Jean Emile Junior Onana Onana-Jean Emile Junior Onana Onana-Jean Emile Junior Onana Onana-Benjamin Kevin Siegrist-Benjamin Kevin Siegrist-Benjamin Kevin Siegrist-Sebastian Otoa-Sebastian Otoa-Sebastian Otoa-Patrizio Masini-Patrizio Masini-Benjamin Kevin Siegrist-Benjamin Kevin Siegrist-Benjamin Kevin Siegrist-Mattia Bani-Mattia Bani-Mattia Bani-Koni De Winter-Koni De Winter-Koni De Winter-Jean Emile Junior Onana Onana-Jean Emile Junior Onana Onana-Jean Emile Junior Onana Onana-Benjamin Kevin Siegrist-Benjamin Kevin Siegrist-Sebastian Otoa-Sebastian Otoa-Sebastian Otoa-Patrizio Masini-Patrizio Masini-Patrizio Masini-Benjamin Kevin Siegrist-Benjamin Kevin Siegrist-Benjamin Kevin Siegrist-Brooke Norton-Cuffy-Brooke Norton-Cuffy-Brooke Norton-Cuffy-Jean Emile Junior Onana Onana,3945331,Genoa
Block-Pass-Ball Receipt-Carry-Dribble,21,Mattia Bani-Koni De Winter-Brooke Norton-Cuffy-Brooke Norton-Cuffy-Brooke Norton-Cuffy,3945331,Genoa
Duel-Carry-Dispossessed-Pressure,25,Koni De Winter-Koni De Winter-Koni De Winter-Koni De Winter,3945331,Genoa
Interception-Ball Recovery-Carry-Foul Won,27,Vítor Manuel Carvalho Oliveira-Patrizio Masini-Patrizio Masini-Patrizio Masini,3945331,Genoa
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,28,Mattia Bani-Patrizio Masini-Patrizio Masini-Sebastian Otoa-Sebastian Otoa-Sebastian Otoa-Mattia Bani-Mattia Bani-Mattia Bani-Koni De Winter-Koni De Winter-Koni De Winter-Jean Emile Junior Onana Onana-Jean Emile Junior Onana Onana-Mattia Bani-Mattia Bani-Mattia Bani-Benjamin Kevin Siegrist-Benjamin Kevin Siegrist-Benjamin Kevin Siegrist-Sebastian Otoa-Sebastian Otoa-Sebastian Otoa-Aarón Martín Caricol-Aarón Martín Caricol-Aarón Martín Caricol,3945331,Genoa
Pass-Ball Receipt-Miscontrol,30,Aarón Martín Caricol-Vítor Manuel Carvalho Oliveira-Vítor Manuel Carvalho Oliveira,3945331,Genoa
Duel-Carry-Pass,32,Lorenzo Venturino-Lorenzo Venturino-Lorenzo Venturino,3945331,Genoa
Pass-Ball Receipt-Carry-Dispossessed,33,Aarón Martín Caricol-Junior Messias-Junior Messias-Junior Messias,3945331,Genoa
Interception-Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Dispossessed,37,Patrizio Masini-Aarón Martín Caricol-Aarón Martín Caricol-Aarón Martín Caricol-Mattia Bani-Mattia Bani-Mattia Bani-Benjamin Kevin Siegrist-Benjamin Kevin Siegrist-Benjamin Kevin Siegrist-Brooke Norton-Cuffy-Brooke Norton-Cuffy-Brooke Norton-Cuffy,3945331,Genoa
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,38,Koni De Winter-Mattia Bani-Mattia Bani-Benjamin Kevin Siegrist-Benjamin Kevin Siegrist-Benjamin Kevin Siegrist-Mattia Bani-Mattia Bani-Mattia Bani,3945331,Genoa
Interception-Carry-Pass,41,Lorenzo Venturino-Lorenzo Venturino-Lorenzo Venturino,3945331,Genoa
Ball Recovery-Carry-Pass-Ball Receipt,43,Vítor Manuel Carvalho Oliveira-Vítor Manuel Carvalho Oliveira-Vítor Manuel Carvalho Oliveira-Junior Messias,3945331,Genoa
Pass-Ball Receipt-Carry-Dispossessed,45,Junior Messias-Brooke Norton-Cuffy-Brooke Norton-Cuffy-Brooke Norton-Cuffy,3945331,Genoa
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,47,Mattia Bani-Koni De Winter-Koni De Winter-Koni De Winter-Brooke Norton-Cuffy-Brooke Norton-Cuffy-Brooke Norton-Cuffy-Koni De Winter-Koni De Winter-Koni De Winter,3945331,Genoa
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Miscontrol,50,Aarón Martín Caricol-Sebastian Otoa-Sebastian Otoa-Sebastian Otoa-Mattia Bani-Mattia Bani-Mattia Bani-Koni De Winter-Koni De Winter-Koni De Winter-Junior Messias-Junior Messias-Junior Messias-Brooke Norton-Cuffy-Brooke Norton-Cuffy-Brooke Norton-Cuffy-Jean Emile Junior Onana Onana-Jean Emile Junior Onana Onana-Brooke Norton-Cuffy-Brooke Norton-Cuffy-Brooke Norton-Cuffy-Koni De Winter-Koni De Winter-Koni De Winter-Mattia Bani-Mattia Bani-Mattia Bani-Sebastian Otoa-Sebastian Otoa-Sebastian Otoa,3945331,Genoa
Goal Keeper-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,52,Benjamin Kevin Siegrist-Benjamin Kevin Siegrist-Benjamin Kevin Siegrist-Aarón Martín Caricol-Aarón Martín Caricol-Aarón Martín Caricol-Lorenzo Venturino-Lorenzo Venturino-Lorenzo Venturino,3945331,Genoa
Pass-Ball Receipt-Carry-Shot,53,Aarón Martín Caricol-Vítor Manuel Carvalho Oliveira-Vítor Manuel Carvalho Oliveira-Vítor Manuel Carvalho Oliveira,3945331,Genoa
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Dribble-Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Injury Stoppage,55,Lorenzo Venturino-Aarón Martín Caricol-Aarón Martín Caricol-Sebastian Otoa-Sebastian Otoa-Sebastian Otoa-Mattia Bani-Mattia Bani-Mattia Bani-Koni De Winter-Koni De Winter-Koni De Winter-Brooke Norton-Cuffy-Brooke Norton-Cuffy-Brooke Norton-Cuffy-Jean Emile Junior Onana Onana-Jean Emile Junior Onana Onana-Jean Emile Junior Onana Onana-Koni De Winter-Koni De Winter-Koni De Winter-Junior Messias-Junior Messias-Junior Messias-Jean Emile Junior Onana Onana-Jean Emile Junior Onana Onana-Jean Emile Junior Onana Onana-Mattia Bani-Mattia Bani-Mattia Bani-Patrizio Masini-Patrizio Masini-Mattia Bani-Mattia Bani-Mattia Bani-Junior Messias,3945331,Genoa
Referee Ball-Drop-Ball Recovery-Carry-Pass-Ball Recovery-Pressure,57,Unknown-Benjamin Kevin Siegrist-Benjamin Kevin Siegrist-Benjamin Kevin Siegrist-Mattia Bani-Mattia Bani,3945331,Genoa
Goal Keeper-Pass,59,Benjamin Kevin Siegrist-Benjamin Kevin Siegrist,3945331,Genoa
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,61,Benjamin Kevin Siegrist-Mattia Bani-Mattia Bani-Benjamin Kevin Siegrist-Benjamin Kevin Siegrist-Benjamin Kevin Siegrist-Vítor Manuel Carvalho Oliveira-Vítor Manuel Carvalho Oliveira-Vítor Manuel Carvalho Oliveira-Jean Emile Junior Onana Onana-Jean Emile Junior Onana Onana-Jean Emile Junior Onana Onana-Vítor Manuel Carvalho Oliveira,3945331,Genoa
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,63,Sebastian Otoa-Patrizio Masini-Patrizio Masini-Patrizio Masini-Koni De Winter-Koni De Winter-Koni De Winter-Benjamin Kevin Siegrist-Benjamin Kevin Siegrist-Benjamin Kevin Siegrist,3945331,Genoa
Duel-Ball Recovery-Carry-Miscontrol-Pressure,65,Jean Emile Junior Onana Onana-Lorenzo Venturino-Lorenzo Venturino-Lorenzo Venturino-Lorenzo Venturino,3945331,Genoa
Duel-Ball Recovery-Carry-Foul Won-Dispossessed-Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Dribble,67,Lorenzo Venturino-Vítor Manuel Carvalho Oliveira-Vítor Manuel Carvalho Oliveira-Vítor Manuel Carvalho Oliveira-Vítor Manuel Carvalho Oliveira-Lorenzo Venturino-Lorenzo Venturino-Lorenzo Venturino-Brooke Norton-Cuffy-Brooke Norton-Cuffy-Brooke Norton-Cuffy-Lorenzo Venturino-Lorenzo Venturino-Lorenzo Venturino,3945331,Genoa
Goal Keeper-Pass-Ball Receipt-Pass-Ball Receipt,70,Benjamin Kevin Siegrist-Benjamin Kevin Siegrist-Junior Messias-Junior Messias-Vítor Manuel Carvalho Oliveira,3945331,Genoa
Pass-Ball Receipt-Duel,72,Benjamin Kevin Siegrist-Brooke Norton-Cuffy-Brooke Norton-Cuffy,3945331,Genoa
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Miscontrol-Pass,73,Koni De Winter-Mattia Bani-Mattia Bani-Mattia Bani-Benjamin Kevin Siegrist-Benjamin Kevin Siegrist-Benjamin Kevin Siegrist-Mattia Bani-Mattia Bani-Mattia Bani-Vítor Manuel Carvalho Oliveira-Vítor Manuel Carvalho Oliveira-Vítor Manuel Carvalho Oliveira-Junior Messias,3945331,Genoa
Ball Recovery-Carry-Foul Won,76,Aarón Martín Caricol-Aarón Martín Caricol-Aarón Martín Caricol,3945331,Genoa
