words,possession,word_players,match_id,team_name
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Shot,2,Casper Tengstedt-Giangiacomo Magnani-Giangiacomo Magnani-Giangiacomo Magnani-Dailon Rocha Livramento do Rosario-Dailon Rocha Livramento do Rosario-Darko Lazović-Darko Lazović-Darko Lazović-Suat Serdar-Suat Serdar-Suat Serdar-Reda Belahyane-Reda Belahyane-Reda Belahyane-Tomáš Suslov-Tomáš Suslov-Tomáš Suslov-Darko Lazović-Darko Lazović-Darko Lazović-Casper Tengstedt-Casper Tengstedt,3945090,Hellas Verona
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Interception-Carry-Pass-Ball Receipt,4,Diego Coppola-Diego Coppola-Diego Coppola-Domagoj Bradarić-Domagoj Bradarić-Domagoj Bradarić-Suat Serdar-Suat Serdar-Suat Serdar-Dailon Rocha Livramento do Rosario,3945090,Hellas Verona
Ball Recovery-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass,6,Giangiacomo Magnani-Giangiacomo Magnani-Jackson Tchatchoua-Jackson Tchatchoua-Lorenzo Montipò-Lorenzo Montipò-Jackson Tchatchoua-Jackson Tchatchoua-Lorenzo Montipò-Lorenzo Montipò-Lorenzo Montipò,3945090,Hellas Verona
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,8,Diego Coppola-Jackson Tchatchoua-Jackson Tchatchoua-Jackson Tchatchoua-Reda Belahyane-Reda Belahyane-Tomáš Suslov-Tomáš Suslov-Tomáš Suslov-Jackson Tchatchoua-Jackson Tchatchoua-Jackson Tchatchoua,3945090,Hellas Verona
Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Foul Won,9,Jackson Tchatchoua-Casper Tengstedt-Casper Tengstedt-Jackson Tchatchoua-Jackson Tchatchoua-Casper Tengstedt-Casper Tengstedt-Casper Tengstedt,3945090,Hellas Verona
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Foul Won,10,Reda Belahyane-Suat Serdar-Suat Serdar-Suat Serdar-Giangiacomo Magnani-Giangiacomo Magnani-Giangiacomo Magnani-Jackson Tchatchoua-Jackson Tchatchoua-Jackson Tchatchoua-Tomáš Suslov-Tomáš Suslov-Tomáš Suslov-Casper Tengstedt-Casper Tengstedt-Casper Tengstedt-Tomáš Suslov-Tomáš Suslov-Tomáš Suslov,3945090,Hellas Verona
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Foul Won,11,Jackson Tchatchoua-Giangiacomo Magnani-Giangiacomo Magnani-Giangiacomo Magnani-Jackson Tchatchoua-Jackson Tchatchoua-Jackson Tchatchoua-Reda Belahyane-Reda Belahyane-Reda Belahyane,3945090,Hellas Verona
Pass-Ball Receipt,12,Jackson Tchatchoua-Tomáš Suslov,3945090,Hellas Verona
Pass,15,Lorenzo Montipò,3945090,Hellas Verona
Pass-Ball Receipt-Carry-Miscontrol,17,Jackson Tchatchoua-Casper Tengstedt-Casper Tengstedt-Casper Tengstedt,3945090,Hellas Verona
Duel-Pass-Ball Receipt,19,Dailon Rocha Livramento do Rosario-Tomáš Suslov-Darko Lazović,3945090,Hellas Verona
Pass-Ball Receipt-Pass-Ball Receipt-Pass,22,Lorenzo Montipò-Giangiacomo Magnani-Giangiacomo Magnani-Dailon Rocha Livramento do Rosario-Dailon Rocha Livramento do Rosario,3945090,Hellas Verona
Pass-Ball Receipt-Carry-Dispossessed,24,Giangiacomo Magnani-Reda Belahyane-Reda Belahyane-Reda Belahyane,3945090,Hellas Verona
Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Miscontrol,25,Jackson Tchatchoua-Reda Belahyane-Reda Belahyane-Casper Tengstedt-Casper Tengstedt-Dailon Rocha Livramento do Rosario-Dailon Rocha Livramento do Rosario-Dailon Rocha Livramento do Rosario,3945090,Hellas Verona
Pass-Ball Receipt-Carry-Pass-Pressure,30,Jackson Tchatchoua-Casper Tengstedt-Casper Tengstedt-Casper Tengstedt-Jackson Tchatchoua,3945090,Hellas Verona
