words,possession,word_players,match_id,team_name
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Dribble,3,Luca Pellegrini-Luca Pellegrini-Luca Pellegrini-Tijanni Noslin-Tijanni Noslin-Tijanni Noslin,3945062,Lazio
Interception-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Dribble-Carry-Foul Won,5,Nicolò Rovella-Nicolò Rovella-Nicolò Rovella-Ivan Provedel-Ivan Provedel-Ivan Provedel-Nicolò Rovella-Nicolò Rovella-Nicolò Rovella-Mattéo Guendouzi Olié-Mattéo Guendouzi Olié-Mattéo Guendouzi Olié-Gustav Tang Isaksen-Gustav Tang Isaksen-Gustav Tang Isaksen-Gustav Tang Isaksen-Gustav Tang Isaksen,3945062,Lazio
Shot-Ball Recovery-Shot,6,Luca Pellegrini-Boulaye Dia-Boulaye Dia,3945062,Lazio
Clearance-Ball Recovery-Carry-Pass-Interception,8,Alessio Romagnoli-Gustav Tang Isaksen-Gustav Tang Isaksen-Gustav Tang Isaksen-Boulaye Dia,3945062,Lazio
Pass-Ball Receipt-Duel,10,Manuel Lazzari-Gustav Tang Isaksen-Gustav Tang Isaksen,3945062,Lazio
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Miscontrol,11,Manuel Lazzari-Mario Gila Fuentes-Mario Gila Fuentes-Mario Gila Fuentes-Ivan Provedel-Ivan Provedel-Ivan Provedel-Tijanni Noslin-Tijanni Noslin-Tijanni Noslin-Boulaye Dia-Boulaye Dia-Boulaye Dia-Mattéo Guendouzi Olié-Mattéo Guendouzi Olié-Mattéo Guendouzi Olié-Manuel Lazzari-Manuel Lazzari-Manuel Lazzari,3945062,Lazio
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Miscontrol,13,Nicolò Rovella-Nicolò Rovella-Nicolò Rovella-Mario Gila Fuentes-Mario Gila Fuentes-Mario Gila Fuentes-Alessio Romagnoli-Alessio Romagnoli-Alessio Romagnoli-Mario Gila Fuentes-Mario Gila Fuentes-Mario Gila Fuentes-Ivan Provedel-Ivan Provedel-Ivan Provedel-Manuel Lazzari-Manuel Lazzari-Valentín Mariano José Castellanos Giménez-Valentín Mariano José Castellanos Giménez,3945062,Lazio
Interception-Carry-Pass,15,Luca Pellegrini-Luca Pellegrini-Luca Pellegrini,3945062,Lazio
Duel-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass,17,Alessio Romagnoli-Alessio Romagnoli-Alessio Romagnoli-Boulaye Dia-Boulaye Dia-Boulaye Dia-Alessio Romagnoli-Alessio Romagnoli,3945062,Lazio
Ball Recovery-Carry-Foul Won,20,Nicolò Rovella-Nicolò Rovella-Nicolò Rovella,3945062,Lazio
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Pressure-Ball Receipt,21,Mattéo Guendouzi Olié-Mario Gila Fuentes-Mario Gila Fuentes-Nicolò Rovella-Nicolò Rovella-Nicolò Rovella-Mattéo Guendouzi Olié-Mattéo Guendouzi Olié-Mattéo Guendouzi Olié-Manuel Lazzari-Manuel Lazzari-Manuel Lazzari-Gustav Tang Isaksen-Gustav Tang Isaksen-Valentín Mariano José Castellanos Giménez-Valentín Mariano José Castellanos Giménez,3945062,Lazio
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt,23,Mattéo Guendouzi Olié-Mattéo Guendouzi Olié-Mattéo Guendouzi Olié-Manuel Lazzari-Manuel Lazzari-Manuel Lazzari-Gustav Tang Isaksen-Gustav Tang Isaksen-Gustav Tang Isaksen-Mattéo Guendouzi Olié-Mattéo Guendouzi Olié-Tijanni Noslin,3945062,Lazio
Pass-Ball Receipt-Pass-Ball Receipt-Pass,25,Manuel Lazzari-Valentín Mariano José Castellanos Giménez-Valentín Mariano José Castellanos Giménez-Gustav Tang Isaksen-Gustav Tang Isaksen,3945062,Lazio
Duel-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Pass,27,Alessio Romagnoli-Tijanni Noslin-Luca Pellegrini-Luca Pellegrini-Boulaye Dia-Boulaye Dia-Tijanni Noslin-Tijanni Noslin,3945062,Lazio
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Dribble-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt,29,Mattéo Guendouzi Olié-Mattéo Guendouzi Olié-Mattéo Guendouzi Olié-Nicolò Rovella-Nicolò Rovella-Nicolò Rovella-Nicolò Rovella-Nicolò Rovella-Luca Pellegrini-Luca Pellegrini-Luca Pellegrini-Nicolò Rovella-Nicolò Rovella-Nicolò Rovella-Mattéo Guendouzi Olié-Mattéo Guendouzi Olié-Mattéo Guendouzi Olié-Manuel Lazzari-Manuel Lazzari-Manuel Lazzari-Valentín Mariano José Castellanos Giménez-Valentín Mariano José Castellanos Giménez-Gustav Tang Isaksen,3945062,Lazio
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,31,Mario Gila Fuentes-Luca Pellegrini-Luca Pellegrini-Luca Pellegrini-Nicolò Rovella-Nicolò Rovella-Nicolò Rovella-Mattéo Guendouzi Olié-Mattéo Guendouzi Olié-Mattéo Guendouzi Olié-Nicolò Rovella-Nicolò Rovella-Nicolò Rovella-Luca Pellegrini-Luca Pellegrini-Luca Pellegrini-Boulaye Dia-Boulaye Dia-Boulaye Dia-Tijanni Noslin-Tijanni Noslin-Tijanni Noslin-Luca Pellegrini-Luca Pellegrini-Luca Pellegrini-Nicolò Rovella-Nicolò Rovella-Nicolò Rovella-Mario Gila Fuentes-Mario Gila Fuentes-Mario Gila Fuentes-Alessio Romagnoli-Alessio Romagnoli-Alessio Romagnoli-Boulaye Dia-Boulaye Dia-Boulaye Dia-Luca Pellegrini-Luca Pellegrini-Luca Pellegrini-Nicolò Rovella-Nicolò Rovella-Nicolò Rovella-Boulaye Dia-Boulaye Dia-Boulaye Dia-Mattéo Guendouzi Olié-Mattéo Guendouzi Olié-Mattéo Guendouzi Olié-Manuel Lazzari-Manuel Lazzari-Manuel Lazzari,3945062,Lazio
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Foul Committed,32,Manuel Lazzari-Valentín Mariano José Castellanos Giménez-Valentín Mariano José Castellanos Giménez-Valentín Mariano José Castellanos Giménez-Tijanni Noslin-Tijanni Noslin,3945062,Lazio
