words,possession,word_players,match_id,team_name
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Pass-Ball Receipt-Carry-Pass,2,Romelu Lukaku Menama-Stanislav Lobotka-Stanislav Lobotka-Stanislav Lobotka-Amir Rrahmani-Amir Rrahmani-Amir Rrahmani-Giovanni Di Lorenzo-Giovanni Di Lorenzo-Giovanni Di Lorenzo-Stanislav Lobotka-Stanislav Lobotka-Stanislav Lobotka-Amir Rrahmani-Amir Rrahmani-Amir Rrahmani-Simone Scuffet-Simone Scuffet-Simone Scuffet-Amir Rrahmani-Amir Rrahmani-Amir Rrahmani-Romelu Lukaku Menama-André-Frank Zambo Anguissa-André-Frank Zambo Anguissa-André-Frank Zambo Anguissa,3945260,Napoli
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass,4,Simone Scuffet-Simone Scuffet-Simone Scuffet-Amir Rrahmani-Amir Rrahmani-Amir Rrahmani,3945260,Napoli
Duel-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,6,Scott McTominay-Scott McTominay-Scott McTominay-Romelu Lukaku Menama-Romelu Lukaku Menama-Romelu Lukaku Menama-David Neres Campos,3945260,Napoli
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,9,Amir Rrahmani-Stanislav Lobotka-Stanislav Lobotka-Stanislav Lobotka-Scott McTominay-Scott McTominay-Scott McTominay-Matteo Politano-Matteo Politano-Matteo Politano-André-Frank Zambo Anguissa,3945260,Napoli
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,11,Scott McTominay-Scott McTominay-Scott McTominay-André-Frank Zambo Anguissa-André-Frank Zambo Anguissa-André-Frank Zambo Anguissa-Romelu Lukaku Menama,3945260,Napoli
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Duel-Pass,13,André-Frank Zambo Anguissa-André-Frank Zambo Anguissa-André-Frank Zambo Anguissa-Amir Rrahmani-Amir Rrahmani-Amir Rrahmani-Simone Scuffet-Simone Scuffet-Simone Scuffet-Matteo Politano-Giovanni Di Lorenzo,3945260,Napoli
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass,15,Giovanni Di Lorenzo-Simone Scuffet-Simone Scuffet-Amir Rrahmani-Amir Rrahmani-Amir Rrahmani,3945260,Napoli
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Foul Won,16,Giovanni Di Lorenzo-Stanislav Lobotka-Stanislav Lobotka-Stanislav Lobotka-Giovanni Di Lorenzo-Giovanni Di Lorenzo-Giovanni Di Lorenzo-Giovanni Di Lorenzo,3945260,Napoli
Pass-Ball Receipt-Carry-Dribble,17,Giovanni Di Lorenzo-Matteo Politano-Matteo Politano-Matteo Politano,3945260,Napoli
Pass-Ball Receipt,18,Giovanni Di Lorenzo-Matteo Politano,3945260,Napoli
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Dispossessed,19,Giovanni Di Lorenzo-André-Frank Zambo Anguissa-André-Frank Zambo Anguissa-André-Frank Zambo Anguissa-Amir Rrahmani-Amir Rrahmani-Amir Rrahmani-Juan Guilherme Nunes Jesus-Juan Guilherme Nunes Jesus-Juan Guilherme Nunes Jesus-David Neres Campos-David Neres Campos-David Neres Campos,3945260,Napoli
Pass-Ball Receipt-Pass,23,Stanislav Lobotka-André-Frank Zambo Anguissa-André-Frank Zambo Anguissa,3945260,Napoli
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,25,Mathías Olivera Miramontes-Simone Scuffet-Simone Scuffet-Simone Scuffet-Amir Rrahmani-Amir Rrahmani-Amir Rrahmani-Stanislav Lobotka-Stanislav Lobotka-Stanislav Lobotka-Giovanni Di Lorenzo-Giovanni Di Lorenzo-Giovanni Di Lorenzo-Stanislav Lobotka-Stanislav Lobotka-Stanislav Lobotka-Matteo Politano,3945260,Napoli
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,26,Giovanni Di Lorenzo-Amir Rrahmani-Amir Rrahmani-Amir Rrahmani-Simone Scuffet-Simone Scuffet-Simone Scuffet-Juan Guilherme Nunes Jesus-Juan Guilherme Nunes Jesus-Juan Guilherme Nunes Jesus,3945260,Napoli
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt,27,Mathías Olivera Miramontes-Scott McTominay-Scott McTominay-Scott McTominay-Mathías Olivera Miramontes-Mathías Olivera Miramontes-Mathías Olivera Miramontes-Juan Guilherme Nunes Jesus-Juan Guilherme Nunes Jesus-Juan Guilherme Nunes Jesus-Simone Scuffet-Simone Scuffet-Simone Scuffet-Stanislav Lobotka-Stanislav Lobotka-Stanislav Lobotka-Simone Scuffet-Simone Scuffet-Simone Scuffet-Giovanni Di Lorenzo-Giovanni Di Lorenzo-Romelu Lukaku Menama,3945260,Napoli
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,29,Simone Scuffet-Simone Scuffet-Simone Scuffet-André-Frank Zambo Anguissa-André-Frank Zambo Anguissa-André-Frank Zambo Anguissa-Amir Rrahmani-Amir Rrahmani-Amir Rrahmani,3945260,Napoli
Block-Pass,32,Matteo Politano-Matteo Politano,3945260,Napoli
Duel-Ball Recovery-Carry-Miscontrol-Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Miscontrol,36,Mathías Olivera Miramontes-Matteo Politano-Matteo Politano-Matteo Politano-André-Frank Zambo Anguissa-André-Frank Zambo Anguissa-André-Frank Zambo Anguissa-Romelu Lukaku Menama-Romelu Lukaku Menama-Romelu Lukaku Menama-David Neres Campos-David Neres Campos-David Neres Campos,3945260,Napoli
Duel-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,38,Giovanni Di Lorenzo-André-Frank Zambo Anguissa-Giovanni Di Lorenzo-Giovanni Di Lorenzo-Giovanni Di Lorenzo-Stanislav Lobotka-Stanislav Lobotka-Stanislav Lobotka-Romelu Lukaku Menama,3945260,Napoli
Duel-Pass-Foul Won-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Injury Stoppage,40,Amir Rrahmani-Scott McTominay-Scott McTominay-André-Frank Zambo Anguissa-André-Frank Zambo Anguissa-André-Frank Zambo Anguissa-Juan Guilherme Nunes Jesus-Juan Guilherme Nunes Jesus-Juan Guilherme Nunes Jesus-André-Frank Zambo Anguissa-André-Frank Zambo Anguissa-André-Frank Zambo Anguissa-Amir Rrahmani-Simone Scuffet,3945260,Napoli
Referee Ball-Drop-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Foul Won-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Miscontrol,42,Unknown-Stanislav Lobotka-Amir Rrahmani-Amir Rrahmani-Amir Rrahmani-André-Frank Zambo Anguissa-André-Frank Zambo Anguissa-André-Frank Zambo Anguissa-André-Frank Zambo Anguissa-Stanislav Lobotka-Stanislav Lobotka-Stanislav Lobotka-David Neres Campos-David Neres Campos-David Neres Campos-Mathías Olivera Miramontes-Mathías Olivera Miramontes-Mathías Olivera Miramontes,3945260,Napoli
Duel-Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Dribble,44,Amir Rrahmani-André-Frank Zambo Anguissa-André-Frank Zambo Anguissa-André-Frank Zambo Anguissa-Matteo Politano-Matteo Politano-Matteo Politano-Giovanni Di Lorenzo-Giovanni Di Lorenzo-Giovanni Di Lorenzo,3945260,Napoli
Block-Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,46,Giovanni Di Lorenzo-Giovanni Di Lorenzo-Giovanni Di Lorenzo-Giovanni Di Lorenzo-Stanislav Lobotka-Stanislav Lobotka-Stanislav Lobotka-Romelu Lukaku Menama-Romelu Lukaku Menama-Romelu Lukaku Menama-Scott McTominay-Scott McTominay-Scott McTominay-David Neres Campos,3945260,Napoli
