words,possession,word_players,match_id,team_name
Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Ball Recovery-Carry-Pass,3,Emanuele Valeri-Dennis Man-Dennis Man-Adrian Benedyczak-Adrian Benedyczak-Matteo Cancellieri-Emanuele Valeri-Emanuele Valeri-Emanuele Valeri,3945078,Parma Calcio 1913
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt,5,Dennis Man-Dennis Man-Dennis Man-Emanuele Valeri-Emanuele Valeri-Emanuele Valeri-Dennis Man-Adrian Benedyczak-Emanuele Valeri-Emanuele Valeri-Simon Sohm-Simon Sohm-Simon Sohm-Emanuele Valeri-Emanuele Valeri-Emanuele Valeri-Adrian Benedyczak-Adrian Benedyczak-Simon Sohm,3945078,Parma Calcio 1913
Pass-Ball Receipt-Miscontrol-Clearance-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass,7,Simon Sohm-Emanuele Valeri-Emanuele Valeri-Mandela Keita-Mandela Keita-Dennis Man-Giovanni Leoni-Valentin Mihai Mihăilă-Valentin Mihai Mihăilă-Valentin Mihai Mihăilă-Antoine Hainaut-Antoine Hainaut-Antoine Hainaut-Zion Suzuki-Zion Suzuki-Zion Suzuki-Matteo Cancellieri-Matteo Cancellieri,3945078,Parma Calcio 1913
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Miscontrol,10,Simon Sohm-Dennis Man-Dennis Man-Dennis Man-Adrian Benedyczak-Adrian Benedyczak-Adrian Benedyczak,3945078,Parma Calcio 1913
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Foul Won,12,Valentin Mihai Mihăilă-Valentin Mihai Mihăilă-Valentin Mihai Mihăilă-Dennis Man-Dennis Man-Dennis Man-Adrian Benedyczak-Adrian Benedyczak-Adrian Benedyczak,3945078,Parma Calcio 1913
Pass-Ball Receipt-Duel-Ball Recovery,13,Zion Suzuki-Matteo Cancellieri-Matteo Cancellieri-Emanuele Valeri,3945078,Parma Calcio 1913
Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass,15,Matteo Cancellieri-Simon Sohm-Simon Sohm-Antoine Hainaut-Antoine Hainaut-Zion Suzuki-Zion Suzuki-Zion Suzuki,3945078,Parma Calcio 1913
Block-Pass-Ball Receipt-Carry-Pass-Ball Receipt,17,Antoine Hainaut-Valentin Mihai Mihăilă-Dennis Man-Dennis Man-Dennis Man-Valentin Mihai Mihăilă,3945078,Parma Calcio 1913
Goal Keeper-Carry-Pass-Error-Ball Receipt,20,Zion Suzuki-Zion Suzuki-Zion Suzuki-Zion Suzuki-Enrico Del Prato,3945078,Parma Calcio 1913
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Miscontrol-Pass-Ball Receipt-Carry-Dispossessed-Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,22,Enrico Del Prato-Zion Suzuki-Zion Suzuki-Zion Suzuki-Matteo Cancellieri-Matteo Cancellieri-Matteo Cancellieri-Dennis Man-Matteo Cancellieri-Matteo Cancellieri-Matteo Cancellieri-Matteo Cancellieri-Matteo Cancellieri-Matteo Cancellieri-Emanuele Valeri-Emanuele Valeri-Emanuele Valeri-Valentin Mihai Mihăilă,3945078,Parma Calcio 1913
Pass-Ball Receipt,23,Emanuele Valeri-Matteo Cancellieri,3945078,Parma Calcio 1913
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Shot,25,Simon Sohm-Valentin Mihai Mihăilă-Valentin Mihai Mihăilă-Valentin Mihai Mihăilă-Dennis Man-Dennis Man,3945078,Parma Calcio 1913
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Recovery-Shot,26,Valentin Mihai Mihăilă-Simon Sohm-Simon Sohm-Simon Sohm-Emanuele Valeri-Emanuele Valeri-Emanuele Valeri-Antoine Hainaut-Antoine Hainaut,3945078,Parma Calcio 1913
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Foul Won,28,Mandela Keita-Mandela Keita-Mandela Keita-Adrian Benedyczak-Adrian Benedyczak-Adrian Benedyczak-Matteo Cancellieri-Matteo Cancellieri-Matteo Cancellieri,3945078,Parma Calcio 1913
Pass-Ball Receipt-Carry-Dribble-Carry-Pass-Ball Receipt-Carry-Pass,29,Valentin Mihai Mihăilă-Dennis Man-Dennis Man-Dennis Man-Dennis Man-Dennis Man-Valentin Mihai Mihăilă-Valentin Mihai Mihăilă-Valentin Mihai Mihăilă,3945078,Parma Calcio 1913
Block-Ball Recovery-Injury Stoppage,31,Simon Sohm-Emanuele Valeri-Emanuele Valeri,3945078,Parma Calcio 1913
Referee Ball-Drop,32,Unknown,3945078,Parma Calcio 1913
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Block-Ball Recovery-Carry-Dribble,33,Enrico Del Prato-Enrico Del Prato-Enrico Del Prato-Giovanni Leoni-Giovanni Leoni-Giovanni Leoni-Zion Suzuki-Zion Suzuki-Antoine Hainaut-Antoine Hainaut-Antoine Hainaut-Antoine Hainaut,3945078,Parma Calcio 1913
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Pressure-Ball Receipt-Block-Pressure,34,Antoine Hainaut-Mandela Keita-Mandela Keita-Giovanni Leoni-Giovanni Leoni-Giovanni Leoni-Enrico Del Prato-Enrico Del Prato-Enrico Del Prato-Emanuele Valeri-Emanuele Valeri-Matteo Cancellieri-Matteo Cancellieri-Matteo Cancellieri-Matteo Cancellieri,3945078,Parma Calcio 1913
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,36,Emanuele Valeri-Dennis Man-Dennis Man-Dennis Man-Adrian Benedyczak-Adrian Benedyczak-Adrian Benedyczak-Matteo Cancellieri,3945078,Parma Calcio 1913
Pass-Ball Receipt-Pass-Ball Receipt,38,Giovanni Leoni-Emanuele Valeri-Emanuele Valeri-Valentin Mihai Mihăilă,3945078,Parma Calcio 1913
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,40,Enrico Del Prato-Zion Suzuki-Zion Suzuki-Zion Suzuki-Antoine Hainaut-Antoine Hainaut-Antoine Hainaut-Valentin Mihai Mihăilă,3945078,Parma Calcio 1913
Duel-Carry-Foul Won,43,Mandela Keita-Mandela Keita-Mandela Keita,3945078,Parma Calcio 1913
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass,44,Valentin Mihai Mihăilă-Dennis Man-Dennis Man-Simon Sohm-Simon Sohm-Simon Sohm,3945078,Parma Calcio 1913
Pass-Ball Receipt-Pass-Ball Receipt-Pass,45,Valentin Mihai Mihăilă-Dennis Man-Dennis Man-Valentin Mihai Mihăilă-Valentin Mihai Mihăilă,3945078,Parma Calcio 1913
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Shot,46,Valentin Mihai Mihăilă-Dennis Man-Dennis Man-Dennis Man-Emanuele Valeri-Emanuele Valeri-Emanuele Valeri,3945078,Parma Calcio 1913
Block-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,48,Enrico Del Prato-Dennis Man-Valentin Mihai Mihăilă-Valentin Mihai Mihăilă-Valentin Mihai Mihăilă-Dennis Man-Dennis Man-Dennis Man-Simon Sohm-Simon Sohm-Simon Sohm-Dennis Man-Dennis Man-Dennis Man-Valentin Mihai Mihăilă-Valentin Mihai Mihăilă-Valentin Mihai Mihăilă,3945078,Parma Calcio 1913
