words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Pass-Ball Receipt,Marcus Tavernier-Dean Donny Huijsen-Dean Donny Huijsen-Dango Aboubacar Faissal Ouattara,3955632,AFC Bournemouth,Drawn,1,1,First half,0.8703153205701016,0.8207819762734057
Pressure-Ball Receipt,Lewis Cook-Lewis Cook,3955632,AFC Bournemouth,Drawn,1,1,First half,0.8703153205701016,0.8207819762734057
Pressure,Luis Fernando Sinisterra Lucumí,3955632,AFC Bournemouth,Drawn,1,1,First half,0.8703153205701016,0.8207819762734057
Clearance-Ball Recovery-Carry,Illia Zabarnyi-Marcus Tavernier-Marcus Tavernier,3955632,AFC Bournemouth,Drawn,1,1,First half,0.8703153205701016,0.8207819762734057
Pass-Ball Receipt,Marcus Tavernier-Antoine Semenyo,3955632,AFC Bournemouth,Drawn,1,1,First half,0.8703153205701016,0.8207819762734057
Pass-Ball Receipt-Pass-Ball Receipt-Carry,Marcus Tavernier-Milos Kerkez-Milos Kerkez-Dean Donny Huijsen-Dean Donny Huijsen,3955632,AFC Bournemouth,Drawn,1,1,First half,0.8703153205701016,0.8207819762734057
Pass-Ball Receipt,Dean Donny Huijsen-Luis Fernando Sinisterra Lucumí,3955632,AFC Bournemouth,Drawn,1,1,First half,0.8703153205701016,0.8207819762734057
Pressure,Luis Fernando Sinisterra Lucumí,3955632,AFC Bournemouth,Drawn,1,1,First half,0.8703153205701016,0.8207819762734057
Pressure,Lewis Cook,3955632,AFC Bournemouth,Drawn,1,1,First half,0.8703153205701016,0.8207819762734057
Pressure,Lewis Cook,3955632,AFC Bournemouth,Drawn,1,1,First half,0.8703153205701016,0.8207819762734057
Pressure,Dango Aboubacar Faissal Ouattara,3955632,AFC Bournemouth,Drawn,1,1,First half,0.8703153205701016,0.8207819762734057
Ball Recovery-Carry-Pass,Illia Zabarnyi-Illia Zabarnyi-Illia Zabarnyi,3955632,AFC Bournemouth,Drawn,1,1,First half,0.8703153205701016,0.8207819762734057
Goal Keeper,Norberto Murara Neto,3955632,AFC Bournemouth,Drawn,1,1,First half,0.8703153205701016,0.8207819762734057
Foul Won-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Lewis Cook-Norberto Murara Neto-Milos Kerkez-Milos Kerkez-Dean Donny Huijsen-Dean Donny Huijsen-Dean Donny Huijsen-Marcus Tavernier-Marcus Tavernier-Marcus Tavernier-Antoine Semenyo-Antoine Semenyo,3955632,AFC Bournemouth,Drawn,1,1,First half,0.8703153205701016,0.8207819762734057
Shot,Antoine Semenyo,3955632,AFC Bournemouth,Drawn,1,1,First half,0.8703153205701016,0.8207819762734057
Substitution-Substitution,Alex Scott-Adam Smith,3955632,AFC Bournemouth,Drawn,1,1,First half,0.8703153205701016,0.8207819762734057
Pass,Illia Zabarnyi,3955632,AFC Bournemouth,Drawn,1,1,First half,0.8703153205701016,0.8207819762734057
Substitution-Pressure,Luis Fernando Sinisterra Lucumí-Justin Kluivert,3955632,AFC Bournemouth,Drawn,1,1,First half,0.8703153205701016,0.8207819762734057
Ball Recovery-Carry-Shot,Marcus Tavernier-Marcus Tavernier-Marcus Tavernier,3955632,AFC Bournemouth,Drawn,1,1,First half,0.8703153205701016,0.8207819762734057
Ball Receipt-Carry,Alex Scott-Alex Scott,3955632,AFC Bournemouth,Drawn,1,1,First half,0.8703153205701016,0.8207819762734057
Foul Won-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Adam Smith-Illia Zabarnyi-Dean Donny Huijsen-Dean Donny Huijsen-Lewis Cook-Lewis Cook-Lewis Cook-Marcus Tavernier-Marcus Tavernier-Marcus Tavernier-Antoine Semenyo-Antoine Semenyo-Antoine Semenyo,3955632,AFC Bournemouth,Drawn,1,1,First half,0.8703153205701016,0.8207819762734057
Pass,Lewis Cook,3955632,AFC Bournemouth,Drawn,1,1,First half,0.8703153205701016,0.8207819762734057
Ball Receipt-Duel,Milos Kerkez-Milos Kerkez,3955632,AFC Bournemouth,Drawn,1,1,First half,0.8703153205701016,0.8207819762734057
Pass,Lewis Cook,3955632,AFC Bournemouth,Drawn,1,1,First half,0.8703153205701016,0.8207819762734057
Ball Receipt-Pass-Ball Receipt,Antoine Semenyo-Antoine Semenyo-Milos Kerkez,3955632,AFC Bournemouth,Drawn,1,1,First half,0.8703153205701016,0.8207819762734057
Pressure,Dean Donny Huijsen,3955632,AFC Bournemouth,Drawn,1,1,First half,0.8703153205701016,0.8207819762734057
Block,Dean Donny Huijsen,3955632,AFC Bournemouth,Drawn,1,1,First half,0.8703153205701016,0.8207819762734057
Pressure,Adam Smith,3955632,AFC Bournemouth,Drawn,1,1,First half,0.8703153205701016,0.8207819762734057
Block,Dango Aboubacar Faissal Ouattara,3955632,AFC Bournemouth,Drawn,1,1,First half,0.8703153205701016,0.8207819762734057
Pressure,Alex Scott,3955632,AFC Bournemouth,Drawn,1,1,First half,0.8703153205701016,0.8207819762734057
Pressure,Adam Smith,3955632,AFC Bournemouth,Drawn,1,1,First half,0.8703153205701016,0.8207819762734057
