words,match_id,team_name,outcome,goals_scored,goals_conceded,season_half
Pass-Ball Receipt-Carry-Pass-Ball Receipt,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Duel,3955633,Arsenal,Won,2,0,First half
Pass-Ball Receipt,3955633,Arsenal,Won,2,0,First half
Goal Keeper-Pass-Ball Receipt-Duel,3955633,Arsenal,Won,2,0,First half
Pass,3955633,Arsenal,Won,2,0,First half
Ball Recovery-Carry-Pass-Ball Receipt-Carry,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Pressure-Foul Committed,3955633,Arsenal,Won,2,0,First half
Pressure-Foul Committed,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Dribbled Past,3955633,Arsenal,Won,2,0,First half
Dribbled Past,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Bad Behaviour,3955633,Arsenal,Won,2,0,First half
Foul Committed,3955633,Arsenal,Won,2,0,First half
Block-Pressure,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Ball Receipt-Carry-Dispossessed,3955633,Arsenal,Won,2,0,First half
Pass,3955633,Arsenal,Won,2,0,First half
Duel-Ball Recovery-Carry,3955633,Arsenal,Won,2,0,First half
Pressure-Pressure,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Ball Receipt-Carry-Dribble,3955633,Arsenal,Won,2,0,First half
Pass,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Pass-Ball Receipt-Carry-Shot,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Ball Recovery-Carry,3955633,Arsenal,Won,2,0,First half
Duel,3955633,Arsenal,Won,2,0,First half
Ball Receipt-Carry-Miscontrol-Substitution,3955633,Arsenal,Won,2,0,First half
Pass,3955633,Arsenal,Won,2,0,First half
Goal Keeper-Pass-Ball Receipt,3955633,Arsenal,Won,2,0,First half
Pass-Ball Receipt-Carry-Pass-Error-Ball Receipt,3955633,Arsenal,Won,2,0,First half
Pass-Ball Receipt-Carry,3955633,Arsenal,Won,2,0,First half
Ball Recovery-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955633,Arsenal,Won,2,0,First half
Clearance-Pressure,3955633,Arsenal,Won,2,0,First half
Block-Pressure,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Ball Receipt,3955633,Arsenal,Won,2,0,First half
Pass,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Ball Receipt-Carry-Pass-Ball Receipt,3955633,Arsenal,Won,2,0,First half
Clearance,3955633,Arsenal,Won,2,0,First half
Block-Goal Keeper,3955633,Arsenal,Won,2,0,First half
Interception,3955633,Arsenal,Won,2,0,First half
Dribbled Past-Pressure,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Block,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Pass-Ball Receipt,3955633,Arsenal,Won,2,0,First half
Pass-Ball Receipt-Carry,3955633,Arsenal,Won,2,0,First half
