words,match_id,team_name,outcome,goals_scored,goals_conceded,season_half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3955631,Fulham,Lost,0,1,First half
Pressure,3955631,Fulham,Lost,0,1,First half
Clearance,3955631,Fulham,Lost,0,1,First half
Clearance,3955631,Fulham,Lost,0,1,First half
Pressure,3955631,Fulham,Lost,0,1,First half
Pass-Ball Receipt,3955631,Fulham,Lost,0,1,First half
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955631,Fulham,Lost,0,1,First half
Foul Won,3955631,Fulham,Lost,0,1,First half
Clearance,3955631,Fulham,Lost,0,1,First half
Clearance,3955631,Fulham,Lost,0,1,First half
Dribble,3955631,Fulham,Lost,0,1,First half
Duel-Carry,3955631,Fulham,Lost,0,1,First half
Goal Keeper-Pass-Ball Receipt-Pass-Ball Receipt,3955631,Fulham,Lost,0,1,First half
Pressure,3955631,Fulham,Lost,0,1,First half
Interception-Carry,3955631,Fulham,Lost,0,1,First half
Duel-Carry-Pass-Ball Receipt-Foul Committed,3955631,Fulham,Lost,0,1,First half
Pressure,3955631,Fulham,Lost,0,1,First half
Foul Won-Ball Recovery-Carry-Pass-Ball Receipt,3955631,Fulham,Lost,0,1,First half
Block-Goal Keeper,3955631,Fulham,Lost,0,1,First half
Pressure,3955631,Fulham,Lost,0,1,First half
Pressure,3955631,Fulham,Lost,0,1,First half
Pressure-Foul Committed,3955631,Fulham,Lost,0,1,First half
Pressure,3955631,Fulham,Lost,0,1,First half
Dispossessed,3955631,Fulham,Lost,0,1,First half
Ball Recovery-Carry-Pass-Ball Receipt-Carry,3955631,Fulham,Lost,0,1,First half
Pass,3955631,Fulham,Lost,0,1,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3955631,Fulham,Lost,0,1,First half
Pass-Ball Receipt-Pass-Ball Receipt,3955631,Fulham,Lost,0,1,First half
Pass-Ball Receipt,3955631,Fulham,Lost,0,1,First half
Duel-Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3955631,Fulham,Lost,0,1,First half
Pressure,3955631,Fulham,Lost,0,1,First half
Pressure-Foul Committed,3955631,Fulham,Lost,0,1,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt,3955631,Fulham,Lost,0,1,First half
Block-Pass-Ball Receipt,3955631,Fulham,Lost,0,1,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Shot,3955631,Fulham,Lost,0,1,First half
Dribble-Carry,3955631,Fulham,Lost,0,1,First half
Dribble-Carry,3955631,Fulham,Lost,0,1,First half
Block-Ball Recovery-Carry,3955631,Fulham,Lost,0,1,First half
Pressure,3955631,Fulham,Lost,0,1,First half
Dribble,3955631,Fulham,Lost,0,1,First half
Dribble-Carry,3955631,Fulham,Lost,0,1,First half
Pass-Ball Receipt-Carry,3955631,Fulham,Lost,0,1,First half
Ball Receipt-Carry-Dispossessed,3955631,Fulham,Lost,0,1,First half
Pass,3955631,Fulham,Lost,0,1,First half
50/50,3955631,Fulham,Lost,0,1,First half
Shot,3955631,Fulham,Lost,0,1,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955631,Fulham,Lost,0,1,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955631,Fulham,Lost,0,1,First half
Duel,3955631,Fulham,Lost,0,1,First half
Pressure,3955631,Fulham,Lost,0,1,First half
Foul Won-Bad Behaviour-Pass,3955631,Fulham,Lost,0,1,First half
Ball Recovery-Carry,3955631,Fulham,Lost,0,1,First half
Dispossessed,3955631,Fulham,Lost,0,1,First half
Ball Recovery-Carry,3955631,Fulham,Lost,0,1,First half
Ball Receipt-Carry-Miscontrol-Pressure,3955631,Fulham,Lost,0,1,First half
Pass,3955631,Fulham,Lost,0,1,First half
Pass,3955631,Fulham,Lost,0,1,First half
Duel-Ball Recovery-Carry-Pass,3955631,Fulham,Lost,0,1,First half
Ball Recovery,3955631,Fulham,Lost,0,1,First half
Duel,3955631,Fulham,Lost,0,1,First half
Pressure,3955631,Fulham,Lost,0,1,First half
Pressure,3955631,Fulham,Lost,0,1,First half
Pressure,3955631,Fulham,Lost,0,1,First half
Goal Keeper-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3955631,Fulham,Lost,0,1,First half
Ball Recovery-Carry-Pass,3955631,Fulham,Lost,0,1,First half
Duel-Carry-Pass-Ball Receipt-Carry-Pass,3955631,Fulham,Lost,0,1,First half
Pressure,3955631,Fulham,Lost,0,1,First half
Goal Keeper-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Duel,3955631,Fulham,Lost,0,1,First half
Pressure,3955631,Fulham,Lost,0,1,First half
Pass,3955631,Fulham,Lost,0,1,First half
Pressure,3955631,Fulham,Lost,0,1,First half
Block,3955631,Fulham,Lost,0,1,First half
Pressure,3955631,Fulham,Lost,0,1,First half
Block-Goal Keeper-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Miscontrol-50/50,3955631,Fulham,Lost,0,1,First half
Ball Receipt-Pass-Ball Receipt-Foul Committed,3955631,Fulham,Lost,0,1,First half
Pass-Ball Receipt-Pass,3955631,Fulham,Lost,0,1,First half
Goal Keeper-Duel,3955631,Fulham,Lost,0,1,First half
Clearance,3955631,Fulham,Lost,0,1,First half
Goal Keeper-Clearance,3955631,Fulham,Lost,0,1,First half
Dribbled Past-Pressure-Pressure,3955631,Fulham,Lost,0,1,First half
Foul Won-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass,3955631,Fulham,Lost,0,1,First half
Ball Recovery-Carry-Pass-Ball Receipt-Carry,3955631,Fulham,Lost,0,1,First half
Clearance,3955631,Fulham,Lost,0,1,First half
Ball Receipt-Carry-Pass-Ball Receipt-Duel,3955631,Fulham,Lost,0,1,First half
Ball Recovery-Pressure,3955631,Fulham,Lost,0,1,First half
Pass-Ball Receipt,3955631,Fulham,Lost,0,1,First half
Dribbled Past-Pressure,3955631,Fulham,Lost,0,1,First half
Ball Receipt-Carry-Pass-Ball Receipt,3955631,Fulham,Lost,0,1,First half
Ball Recovery-Carry-Pass,3955631,Fulham,Lost,0,1,First half
Pressure,3955631,Fulham,Lost,0,1,First half
Pressure,3955631,Fulham,Lost,0,1,First half
Block-Substitution-Tactical Shift,3955631,Fulham,Lost,0,1,First half
Pass-Ball Receipt-Duel,3955631,Fulham,Lost,0,1,First half
Pass,3955631,Fulham,Lost,0,1,First half
Pass-Duel,3955631,Fulham,Lost,0,1,First half
Pass,3955631,Fulham,Lost,0,1,First half
Ball Recovery-Carry-Shot,3955631,Fulham,Lost,0,1,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Duel,3955631,Fulham,Lost,0,1,First half
Pass-Ball Receipt-Carry,3955631,Fulham,Lost,0,1,First half
Pass,3955631,Fulham,Lost,0,1,First half
Ball Receipt-Carry,3955631,Fulham,Lost,0,1,First half
Ball Receipt-Carry-Pass,3955631,Fulham,Lost,0,1,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3955631,Fulham,Lost,0,1,First half
Pass-Ball Receipt-Carry,3955631,Fulham,Lost,0,1,First half
Pressure-Foul Committed,3955631,Fulham,Lost,0,1,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt,3955631,Fulham,Lost,0,1,First half
Pass-Ball Receipt-Carry,3955631,Fulham,Lost,0,1,First half
Ball Receipt-Pass-Ball Receipt,3955631,Fulham,Lost,0,1,First half
Pass-Ball Receipt-Pass,3955631,Fulham,Lost,0,1,First half
Clearance,3955631,Fulham,Lost,0,1,First half
Pressure,3955631,Fulham,Lost,0,1,First half
Clearance-Duel,3955631,Fulham,Lost,0,1,First half
Pass-Ball Receipt-Duel,3955631,Fulham,Lost,0,1,First half
Pass-Ball Receipt-Pass-Block-Ball Recovery-Carry,3955631,Fulham,Lost,0,1,First half
Shot-Pressure,3955631,Fulham,Lost,0,1,First half
Ball Recovery-Carry,3955631,Fulham,Lost,0,1,First half
Dispossessed,3955631,Fulham,Lost,0,1,First half
Pass-Ball Receipt-Carry,3955631,Fulham,Lost,0,1,First half
Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955631,Fulham,Lost,0,1,First half
Pass,3955631,Fulham,Lost,0,1,First half
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass,3955631,Fulham,Lost,0,1,First half
Ball Receipt-Carry-Dribble,3955631,Fulham,Lost,0,1,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3955631,Fulham,Lost,0,1,First half
50/50,3955631,Fulham,Lost,0,1,First half
Block,3955631,Fulham,Lost,0,1,First half
Pass,3955631,Fulham,Lost,0,1,First half
Foul Won-Pass-Ball Receipt-Shot,3955631,Fulham,Lost,0,1,First half
Goal Keeper-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955631,Fulham,Lost,0,1,First half
Dribbled Past-Foul Committed,3955631,Fulham,Lost,0,1,First half
Pressure,3955631,Fulham,Lost,0,1,First half
Dribble,3955631,Fulham,Lost,0,1,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955631,Fulham,Lost,0,1,First half
Pass-Ball Receipt-Carry,3955631,Fulham,Lost,0,1,First half
Pass-Ball Receipt-Carry,3955631,Fulham,Lost,0,1,First half
Pass-Ball Receipt-Carry,3955631,Fulham,Lost,0,1,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955631,Fulham,Lost,0,1,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955631,Fulham,Lost,0,1,First half
Dribbled Past,3955631,Fulham,Lost,0,1,First half
Duel,3955631,Fulham,Lost,0,1,First half
Pressure,3955631,Fulham,Lost,0,1,First half
Duel,3955631,Fulham,Lost,0,1,First half
Substitution-Substitution-Pass-Tactical Shift-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955631,Fulham,Lost,0,1,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Miscontrol,3955631,Fulham,Lost,0,1,First half
Pass-Ball Receipt,3955631,Fulham,Lost,0,1,First half
Pressure,3955631,Fulham,Lost,0,1,First half
Pressure,3955631,Fulham,Lost,0,1,First half
Block,3955631,Fulham,Lost,0,1,First half
Goal Keeper-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Duel,3955631,Fulham,Lost,0,1,First half
Pressure,3955631,Fulham,Lost,0,1,First half
Clearance-Error,3955631,Fulham,Lost,0,1,First half
Ball Receipt-Pass,3955631,Fulham,Lost,0,1,First half
Pass,3955631,Fulham,Lost,0,1,First half
Pressure,3955631,Fulham,Lost,0,1,First half
Foul Committed,3955631,Fulham,Lost,0,1,First half
Pressure,3955631,Fulham,Lost,0,1,First half
Pressure,3955631,Fulham,Lost,0,1,First half
Pass-Ball Receipt-Carry-Pass,3955631,Fulham,Lost,0,1,First half
Pass-Ball Receipt-Pass-Ball Receipt-Carry,3955631,Fulham,Lost,0,1,First half
Pass,3955631,Fulham,Lost,0,1,First half
Duel-Carry,3955631,Fulham,Lost,0,1,First half
Pressure,3955631,Fulham,Lost,0,1,First half
Clearance-Clearance,3955631,Fulham,Lost,0,1,First half
Dribbled Past,3955631,Fulham,Lost,0,1,First half
Pressure,3955631,Fulham,Lost,0,1,First half
Pressure,3955631,Fulham,Lost,0,1,First half
Duel-Carry-Dispossessed,3955631,Fulham,Lost,0,1,First half
Pressure,3955631,Fulham,Lost,0,1,First half
Pass-Ball Receipt-Duel,3955631,Fulham,Lost,0,1,First half
Pressure,3955631,Fulham,Lost,0,1,First half
Pressure,3955631,Fulham,Lost,0,1,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3955631,Fulham,Lost,0,1,First half
Ball Recovery-Carry,3955631,Fulham,Lost,0,1,First half
Foul Won-Ball Receipt,3955631,Fulham,Lost,0,1,First half
Ball Receipt-Carry-Pass,3955631,Fulham,Lost,0,1,First half
Dribbled Past-Pass,3955631,Fulham,Lost,0,1,First half
Pressure,3955631,Fulham,Lost,0,1,First half
Pressure,3955631,Fulham,Lost,0,1,First half
Pressure,3955631,Fulham,Lost,0,1,First half
Ball Receipt-Pass-Substitution-Substitution,3955631,Fulham,Lost,0,1,First half
Pass-Ball Receipt-Carry-Pass,3955631,Fulham,Lost,0,1,First half
Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955631,Fulham,Lost,0,1,First half
Pass,3955631,Fulham,Lost,0,1,First half
Pressure,3955631,Fulham,Lost,0,1,First half
Dispossessed,3955631,Fulham,Lost,0,1,First half
Ball Receipt-Carry,3955631,Fulham,Lost,0,1,First half
Pass,3955631,Fulham,Lost,0,1,First half
Dribble-Carry,3955631,Fulham,Lost,0,1,First half
Ball Recovery-Carry,3955631,Fulham,Lost,0,1,First half
Duel-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3955631,Fulham,Lost,0,1,First half
Pressure,3955631,Fulham,Lost,0,1,First half
Dribble,3955631,Fulham,Lost,0,1,First half
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955631,Fulham,Lost,0,1,First half
Pass,3955631,Fulham,Lost,0,1,First half
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955631,Fulham,Lost,0,1,First half
Pass-Ball Receipt-Carry-Pass,3955631,Fulham,Lost,0,1,First half
Interception-Carry,3955631,Fulham,Lost,0,1,First half
Pass,3955631,Fulham,Lost,0,1,First half
Pass-Ball Receipt,3955631,Fulham,Lost,0,1,First half
Pressure-Foul Committed,3955631,Fulham,Lost,0,1,First half
Pass-Ball Receipt,3955631,Fulham,Lost,0,1,First half
Miscontrol,3955631,Fulham,Lost,0,1,First half
Pressure,3955631,Fulham,Lost,0,1,First half
Foul Won-Pass-Ball Receipt,3955631,Fulham,Lost,0,1,First half
Ball Receipt-Carry,3955631,Fulham,Lost,0,1,First half
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass,3955631,Fulham,Lost,0,1,First half
Pass,3955631,Fulham,Lost,0,1,First half
Pass,3955631,Fulham,Lost,0,1,First half
Pass-Ball Receipt-Carry,3955631,Fulham,Lost,0,1,First half
Pass-Ball Receipt-Carry,3955631,Fulham,Lost,0,1,First half
Block-Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Miscontrol,3955631,Fulham,Lost,0,1,First half
Pass,3955631,Fulham,Lost,0,1,First half
