words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Pass-Ball Receipt,Thomas Teye Partey-David Raya Martin-David Raya Martin-David Raya Martin-Declan Rice,3955633,Arsenal,Won,2,0,First half,1.1347035463577342,0.7888145783433128
Pressure,Gabriel Teodoro Martinelli Silva,3955633,Arsenal,Won,2,0,First half,1.1347035463577342,0.7888145783433128
Pressure,Gabriel dos Santos Magalhães,3955633,Arsenal,Won,2,0,First half,1.1347035463577342,0.7888145783433128
Duel,Declan Rice,3955633,Arsenal,Won,2,0,First half,1.1347035463577342,0.7888145783433128
Pass-Ball Receipt,Gabriel Teodoro Martinelli Silva-Declan Rice,3955633,Arsenal,Won,2,0,First half,1.1347035463577342,0.7888145783433128
Goal Keeper-Pass-Ball Receipt-Duel,David Raya Martin-David Raya Martin-Kai Havertz-Kai Havertz,3955633,Arsenal,Won,2,0,First half,1.1347035463577342,0.7888145783433128
Pass,Thomas Teye Partey,3955633,Arsenal,Won,2,0,First half,1.1347035463577342,0.7888145783433128
Ball Recovery-Carry-Pass-Ball Receipt-Carry,Oleksandr Zinchenko-Oleksandr Zinchenko-Oleksandr Zinchenko-Thomas Teye Partey-Thomas Teye Partey,3955633,Arsenal,Won,2,0,First half,1.1347035463577342,0.7888145783433128
Pressure,Thomas Teye Partey,3955633,Arsenal,Won,2,0,First half,1.1347035463577342,0.7888145783433128
Pressure,Declan Rice,3955633,Arsenal,Won,2,0,First half,1.1347035463577342,0.7888145783433128
Pressure-Foul Committed,Thomas Teye Partey-Thomas Teye Partey,3955633,Arsenal,Won,2,0,First half,1.1347035463577342,0.7888145783433128
Pressure-Foul Committed,Oleksandr Zinchenko-Oleksandr Zinchenko,3955633,Arsenal,Won,2,0,First half,1.1347035463577342,0.7888145783433128
Pressure,Martin Ødegaard,3955633,Arsenal,Won,2,0,First half,1.1347035463577342,0.7888145783433128
Dribbled Past,Gabriel Teodoro Martinelli Silva,3955633,Arsenal,Won,2,0,First half,1.1347035463577342,0.7888145783433128
Dribbled Past,Martin Ødegaard,3955633,Arsenal,Won,2,0,First half,1.1347035463577342,0.7888145783433128
Pressure,Martin Ødegaard,3955633,Arsenal,Won,2,0,First half,1.1347035463577342,0.7888145783433128
Bad Behaviour,Bukayo Saka,3955633,Arsenal,Won,2,0,First half,1.1347035463577342,0.7888145783433128
Foul Committed,Bukayo Saka,3955633,Arsenal,Won,2,0,First half,1.1347035463577342,0.7888145783433128
Block-Pressure,Gabriel Teodoro Martinelli Silva-Bukayo Saka,3955633,Arsenal,Won,2,0,First half,1.1347035463577342,0.7888145783433128
Pressure,Gabriel Teodoro Martinelli Silva,3955633,Arsenal,Won,2,0,First half,1.1347035463577342,0.7888145783433128
Ball Receipt-Carry-Dispossessed,Oleksandr Zinchenko-Oleksandr Zinchenko-Oleksandr Zinchenko,3955633,Arsenal,Won,2,0,First half,1.1347035463577342,0.7888145783433128
Pass,Martin Ødegaard,3955633,Arsenal,Won,2,0,First half,1.1347035463577342,0.7888145783433128
Duel-Ball Recovery-Carry,Gabriel Teodoro Martinelli Silva-Martin Ødegaard-Martin Ødegaard,3955633,Arsenal,Won,2,0,First half,1.1347035463577342,0.7888145783433128
Pressure-Pressure,Oleksandr Zinchenko-Gabriel Teodoro Martinelli Silva,3955633,Arsenal,Won,2,0,First half,1.1347035463577342,0.7888145783433128
Pressure,Kai Havertz,3955633,Arsenal,Won,2,0,First half,1.1347035463577342,0.7888145783433128
Ball Receipt-Carry-Dribble,Martin Ødegaard-Martin Ødegaard-Martin Ødegaard,3955633,Arsenal,Won,2,0,First half,1.1347035463577342,0.7888145783433128
Pass,Ben White,3955633,Arsenal,Won,2,0,First half,1.1347035463577342,0.7888145783433128
Pressure,Martin Ødegaard,3955633,Arsenal,Won,2,0,First half,1.1347035463577342,0.7888145783433128
Pass-Ball Receipt-Carry-Shot,Thomas Teye Partey-Kai Havertz-Kai Havertz-Kai Havertz,3955633,Arsenal,Won,2,0,First half,1.1347035463577342,0.7888145783433128
Pressure,Martin Ødegaard,3955633,Arsenal,Won,2,0,First half,1.1347035463577342,0.7888145783433128
Ball Recovery-Carry,William Saliba-William Saliba,3955633,Arsenal,Won,2,0,First half,1.1347035463577342,0.7888145783433128
Duel,Jurriën David Norman Timber,3955633,Arsenal,Won,2,0,First half,1.1347035463577342,0.7888145783433128
Ball Receipt-Carry-Miscontrol-Substitution,Kai Havertz-Kai Havertz-Kai Havertz-Oleksandr Zinchenko,3955633,Arsenal,Won,2,0,First half,1.1347035463577342,0.7888145783433128
Pass,Declan Rice,3955633,Arsenal,Won,2,0,First half,1.1347035463577342,0.7888145783433128
Goal Keeper-Pass-Ball Receipt,David Raya Martin-David Raya Martin-Declan Rice,3955633,Arsenal,Won,2,0,First half,1.1347035463577342,0.7888145783433128
Pass-Ball Receipt-Carry-Pass-Error-Ball Receipt,David Raya Martin-William Saliba-William Saliba-William Saliba-William Saliba-Gabriel dos Santos Magalhães,3955633,Arsenal,Won,2,0,First half,1.1347035463577342,0.7888145783433128
Pass-Ball Receipt-Carry,Gabriel dos Santos Magalhães-David Raya Martin-David Raya Martin,3955633,Arsenal,Won,2,0,First half,1.1347035463577342,0.7888145783433128
