words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt,Lucas Digne-John McGinn,3955634,Aston Villa,Won,2,1,First half,1.734157756959918,0.7220219290599287
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Damián Emiliano Martínez-Matty Cash-Matty Cash-Matty Cash-Ezri Konsa Ngoyo-Ezri Konsa Ngoyo,3955634,Aston Villa,Won,2,1,First half,1.734157756959918,0.7220219290599287
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Jacob Ramsey-Lucas Digne-Lucas Digne-Lucas Digne-Pau Francisco Torres-Pau Francisco Torres-Pau Francisco Torres-Damián Emiliano Martínez-Damián Emiliano Martínez,3955634,Aston Villa,Won,2,1,First half,1.734157756959918,0.7220219290599287
Ball Receipt-Carry,Jacob Ramsey-Jacob Ramsey,3955634,Aston Villa,Won,2,1,First half,1.734157756959918,0.7220219290599287
Ball Receipt-Carry-Pass,Jhon Jáder Durán Palacio-Jhon Jáder Durán Palacio-Jhon Jáder Durán Palacio,3955634,Aston Villa,Won,2,1,First half,1.734157756959918,0.7220219290599287
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Damián Emiliano Martínez-Pau Francisco Torres-Pau Francisco Torres-Pau Francisco Torres-Lucas Digne-Lucas Digne-Lucas Digne,3955634,Aston Villa,Won,2,1,First half,1.734157756959918,0.7220219290599287
Goal Keeper-Pass-Ball Receipt,Damián Emiliano Martínez-Pau Francisco Torres-Damián Emiliano Martínez,3955634,Aston Villa,Won,2,1,First half,1.734157756959918,0.7220219290599287
Duel,Matty Cash,3955634,Aston Villa,Won,2,1,First half,1.734157756959918,0.7220219290599287
Pressure,Leon Bailey Butler,3955634,Aston Villa,Won,2,1,First half,1.734157756959918,0.7220219290599287
Pressure,Jhon Jáder Durán Palacio,3955634,Aston Villa,Won,2,1,First half,1.734157756959918,0.7220219290599287
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Jacob Ramsey-Jacob Ramsey-Jacob Ramsey-Pau Francisco Torres-Pau Francisco Torres-Pau Francisco Torres-Ezri Konsa Ngoyo-Ezri Konsa Ngoyo-Ezri Konsa Ngoyo,3955634,Aston Villa,Won,2,1,First half,1.734157756959918,0.7220219290599287
Pressure-Foul Committed,Morgan Rogers-Morgan Rogers,3955634,Aston Villa,Won,2,1,First half,1.734157756959918,0.7220219290599287
Ball Recovery-Carry-Dribble,Morgan Rogers-Morgan Rogers-Morgan Rogers,3955634,Aston Villa,Won,2,1,First half,1.734157756959918,0.7220219290599287
Foul Won-Pass,Ezri Konsa Ngoyo-Damián Emiliano Martínez,3955634,Aston Villa,Won,2,1,First half,1.734157756959918,0.7220219290599287
Ball Receipt-Miscontrol-Pass,Jhon Jáder Durán Palacio-Jhon Jáder Durán Palacio-Morgan Rogers,3955634,Aston Villa,Won,2,1,First half,1.734157756959918,0.7220219290599287
Dribbled Past,Matty Cash,3955634,Aston Villa,Won,2,1,First half,1.734157756959918,0.7220219290599287
Pressure-Foul Committed,Matty Cash-Matty Cash,3955634,Aston Villa,Won,2,1,First half,1.734157756959918,0.7220219290599287
Pressure,Morgan Rogers,3955634,Aston Villa,Won,2,1,First half,1.734157756959918,0.7220219290599287
Pressure,Ollie Watkins,3955634,Aston Villa,Won,2,1,First half,1.734157756959918,0.7220219290599287
Ball Receipt-Carry-Dispossessed,Ollie Watkins-Ollie Watkins-Ollie Watkins,3955634,Aston Villa,Won,2,1,First half,1.734157756959918,0.7220219290599287
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Leon Bailey Butler-Leon Bailey Butler-Leon Bailey Butler-Ezri Konsa Ngoyo-Ezri Konsa Ngoyo-Ezri Konsa Ngoyo-Amadou Onana-Amadou Onana-Amadou Onana-Morgan Rogers-Morgan Rogers-Morgan Rogers,3955634,Aston Villa,Won,2,1,First half,1.734157756959918,0.7220219290599287
Pressure,Matty Cash,3955634,Aston Villa,Won,2,1,First half,1.734157756959918,0.7220219290599287
Pressure,Amadou Onana,3955634,Aston Villa,Won,2,1,First half,1.734157756959918,0.7220219290599287
Pressure,Morgan Rogers,3955634,Aston Villa,Won,2,1,First half,1.734157756959918,0.7220219290599287
Duel,Pau Francisco Torres,3955634,Aston Villa,Won,2,1,First half,1.734157756959918,0.7220219290599287
