words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass,Mads Roerslev,3955638,Brentford,Won,2,1,First half,1.8828740966589637,0.7194729658650244
Ball Recovery-Carry-Dispossessed,Ethan Pinnock-Ethan Pinnock-Ethan Pinnock,3955638,Brentford,Won,2,1,First half,1.8828740966589637,0.7194729658650244
Pressure,Yoane Wissa,3955638,Brentford,Won,2,1,First half,1.8828740966589637,0.7194729658650244
Pressure,Mathias Jensen,3955638,Brentford,Won,2,1,First half,1.8828740966589637,0.7194729658650244
Pressure,Christian Nørgaard,3955638,Brentford,Won,2,1,First half,1.8828740966589637,0.7194729658650244
Pass-Ball Receipt,Mads Roerslev-Vitaly Janelt,3955638,Brentford,Won,2,1,First half,1.8828740966589637,0.7194729658650244
Pass-Ball Receipt,Vitaly Janelt-Bryan Mbeumo,3955638,Brentford,Won,2,1,First half,1.8828740966589637,0.7194729658650244
Duel-Carry,Vitaly Janelt-Vitaly Janelt,3955638,Brentford,Won,2,1,First half,1.8828740966589637,0.7194729658650244
Pressure,Mads Roerslev,3955638,Brentford,Won,2,1,First half,1.8828740966589637,0.7194729658650244
Duel,Yoane Wissa,3955638,Brentford,Won,2,1,First half,1.8828740966589637,0.7194729658650244
50/50,Ethan Pinnock,3955638,Brentford,Won,2,1,First half,1.8828740966589637,0.7194729658650244
Dribble-Carry,Ethan Pinnock-Ethan Pinnock,3955638,Brentford,Won,2,1,First half,1.8828740966589637,0.7194729658650244
Pass-Ball Receipt-Carry,Christian Nørgaard-Ethan Pinnock-Ethan Pinnock,3955638,Brentford,Won,2,1,First half,1.8828740966589637,0.7194729658650244
Ball Recovery-Carry-Pass-Ball Receipt-Carry,Ethan Pinnock-Ethan Pinnock-Ethan Pinnock-Christian Nørgaard-Christian Nørgaard,3955638,Brentford,Won,2,1,First half,1.8828740966589637,0.7194729658650244
Block,Ethan Pinnock,3955638,Brentford,Won,2,1,First half,1.8828740966589637,0.7194729658650244
Pressure,Mads Roerslev,3955638,Brentford,Won,2,1,First half,1.8828740966589637,0.7194729658650244
Block-Foul Committed,Christian Nørgaard-Christian Nørgaard,3955638,Brentford,Won,2,1,First half,1.8828740966589637,0.7194729658650244
Pressure,Christian Nørgaard,3955638,Brentford,Won,2,1,First half,1.8828740966589637,0.7194729658650244
Dispossessed,Nathan Michael Collins,3955638,Brentford,Won,2,1,First half,1.8828740966589637,0.7194729658650244
Duel-Carry,Nathan Michael Collins-Nathan Michael Collins,3955638,Brentford,Won,2,1,First half,1.8828740966589637,0.7194729658650244
Pressure,Nathan Michael Collins,3955638,Brentford,Won,2,1,First half,1.8828740966589637,0.7194729658650244
Ball Receipt-Carry-Pass,Bryan Mbeumo-Bryan Mbeumo-Bryan Mbeumo,3955638,Brentford,Won,2,1,First half,1.8828740966589637,0.7194729658650244
Ball Receipt-Carry-Pass,Mads Roerslev-Mads Roerslev-Mads Roerslev,3955638,Brentford,Won,2,1,First half,1.8828740966589637,0.7194729658650244
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Bryan Mbeumo-Christian Nørgaard-Christian Nørgaard-Christian Nørgaard-Nathan Michael Collins-Nathan Michael Collins-Nathan Michael Collins,3955638,Brentford,Won,2,1,First half,1.8828740966589637,0.7194729658650244
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Bryan Mbeumo-Bryan Mbeumo-Bryan Mbeumo-Vitaly Janelt-Vitaly Janelt-Vitaly Janelt-Bryan Mbeumo-Bryan Mbeumo,3955638,Brentford,Won,2,1,First half,1.8828740966589637,0.7194729658650244
Pressure,Christian Nørgaard,3955638,Brentford,Won,2,1,First half,1.8828740966589637,0.7194729658650244
Pass-Ball Receipt-Carry,Ethan Pinnock-Mathias Jensen-Mathias Jensen,3955638,Brentford,Won,2,1,First half,1.8828740966589637,0.7194729658650244
Shot,Yoane Wissa,3955638,Brentford,Won,2,1,First half,1.8828740966589637,0.7194729658650244
Pass-Ball Receipt-Carry,Mathias Jensen-Kevin Schade-Kevin Schade,3955638,Brentford,Won,2,1,First half,1.8828740966589637,0.7194729658650244
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Mads Roerslev-Bryan Mbeumo-Bryan Mbeumo-Nathan Michael Collins-Nathan Michael Collins-Nathan Michael Collins-Vitaly Janelt-Vitaly Janelt-Vitaly Janelt-Kevin Schade,3955638,Brentford,Won,2,1,First half,1.8828740966589637,0.7194729658650244
Ball Receipt-Carry-Pass-Ball Receipt-Carry,Mark Flekken-Mark Flekken-Mark Flekken-Nathan Michael Collins-Nathan Michael Collins,3955638,Brentford,Won,2,1,First half,1.8828740966589637,0.7194729658650244
Ball Receipt-Carry-Pass,Ethan Pinnock-Ethan Pinnock-Ethan Pinnock,3955638,Brentford,Won,2,1,First half,1.8828740966589637,0.7194729658650244
Goal Keeper-Substitution-Substitution-Pass-Tactical Shift-Ball Receipt-Carry-Pass,Mark Flekken-Kevin Schade-Vitaly Janelt-Mark Flekken-Unknown-Nathan Michael Collins-Nathan Michael Collins-Nathan Michael Collins,3955638,Brentford,Won,2,1,First half,1.8828740966589637,0.7194729658650244
Pressure,Christian Nørgaard,3955638,Brentford,Won,2,1,First half,1.8828740966589637,0.7194729658650244
Interception,Kristoffer Vassbakk Ajer,3955638,Brentford,Won,2,1,First half,1.8828740966589637,0.7194729658650244
Ball Receipt-Pass-Ball Receipt,Bryan Mbeumo-Bryan Mbeumo-Yoane Wissa,3955638,Brentford,Won,2,1,First half,1.8828740966589637,0.7194729658650244
Pass,Mads Roerslev,3955638,Brentford,Won,2,1,First half,1.8828740966589637,0.7194729658650244
Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Vitaly Janelt-Vitaly Janelt-Nathan Michael Collins-Nathan Michael Collins-Nathan Michael Collins-Christian Nørgaard-Christian Nørgaard-Christian Nørgaard-Nathan Michael Collins-Nathan Michael Collins-Nathan Michael Collins-Mads Roerslev-Mads Roerslev,3955638,Brentford,Won,2,1,First half,1.8828740966589637,0.7194729658650244
Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Mark Flekken-Mark Flekken-Ethan Pinnock-Ethan Pinnock-Ethan Pinnock-Christian Nørgaard-Christian Nørgaard-Mark Flekken-Mark Flekken-Mark Flekken-Nathan Michael Collins-Nathan Michael Collins-Nathan Michael Collins,3955638,Brentford,Won,2,1,First half,1.8828740966589637,0.7194729658650244
Pass,Kristoffer Vassbakk Ajer,3955638,Brentford,Won,2,1,First half,1.8828740966589637,0.7194729658650244
Ball Receipt-Pass-Ball Receipt-Carry,Mark Flekken-Mark Flekken-Kristoffer Vassbakk Ajer-Kristoffer Vassbakk Ajer,3955638,Brentford,Won,2,1,First half,1.8828740966589637,0.7194729658650244
Pass-Ball Receipt-Pass,Mads Roerslev-Nathan Michael Collins-Nathan Michael Collins,3955638,Brentford,Won,2,1,First half,1.8828740966589637,0.7194729658650244
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Pressure-Ball Receipt,Nathan Michael Collins-Nathan Michael Collins-Nathan Michael Collins-Vitaly Janelt-Vitaly Janelt-Vitaly Janelt-Yoane Wissa-Yoane Wissa-Yoane Wissa-Bryan Mbeumo-Bryan Mbeumo-Bryan Mbeumo-Yoane Wissa-Yoane Wissa,3955638,Brentford,Won,2,1,First half,1.8828740966589637,0.7194729658650244
Pass-Ball Receipt-Pass-Ball Receipt,Ethan Pinnock-Christian Nørgaard-Christian Nørgaard-Yoane Wissa,3955638,Brentford,Won,2,1,First half,1.8828740966589637,0.7194729658650244
Pressure,Kevin Schade,3955638,Brentford,Won,2,1,First half,1.8828740966589637,0.7194729658650244
Pressure,Nathan Michael Collins,3955638,Brentford,Won,2,1,First half,1.8828740966589637,0.7194729658650244
