words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Duel,Lewis Dunk-Kaoru Mitoma-Kaoru Mitoma,3955637,Brighton & Hove Albion,Won,3,0,First half,1.355034632735412,0.7728583486972493
Shot,Kaoru Mitoma,3955637,Brighton & Hove Albion,Won,3,0,First half,1.355034632735412,0.7728583486972493
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Kaoru Mitoma-João Pedro Junqueira de Jesus-João Pedro Junqueira de Jesus-João Pedro Junqueira de Jesus-Kaoru Mitoma-Kaoru Mitoma,3955637,Brighton & Hove Albion,Won,3,0,First half,1.355034632735412,0.7728583486972493
Duel,Daniel Nii Tackie Mensah Welbeck,3955637,Brighton & Hove Albion,Won,3,0,First half,1.355034632735412,0.7728583486972493
Pressure,Daniel Nii Tackie Mensah Welbeck,3955637,Brighton & Hove Albion,Won,3,0,First half,1.355034632735412,0.7728583486972493
Interception-Pass-Ball Receipt,Daniel Nii Tackie Mensah Welbeck-Mats Wieffer-Simon Adingra,3955637,Brighton & Hove Albion,Won,3,0,First half,1.355034632735412,0.7728583486972493
Pressure,Joël Veltman,3955637,Brighton & Hove Albion,Won,3,0,First half,1.355034632735412,0.7728583486972493
Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt,Joël Veltman-Jan Paul van Hecke-Jan Paul van Hecke-Joël Veltman-Joël Veltman-João Pedro Junqueira de Jesus,3955637,Brighton & Hove Albion,Won,3,0,First half,1.355034632735412,0.7728583486972493
Foul Won,Joël Veltman,3955637,Brighton & Hove Albion,Won,3,0,First half,1.355034632735412,0.7728583486972493
Ball Receipt-Carry-Pass-Ball Receipt-Carry,Jason Steele-Jason Steele-Jason Steele-Joël Veltman-Joël Veltman,3955637,Brighton & Hove Albion,Won,3,0,First half,1.355034632735412,0.7728583486972493
Pass,Jan Paul van Hecke,3955637,Brighton & Hove Albion,Won,3,0,First half,1.355034632735412,0.7728583486972493
Pressure,Kaoru Mitoma,3955637,Brighton & Hove Albion,Won,3,0,First half,1.355034632735412,0.7728583486972493
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Lewis Dunk-Jason Steele-Jason Steele-Jason Steele-Lewis Dunk-Lewis Dunk-Lewis Dunk-Jack Hinshelwood-Jack Hinshelwood-Jack Hinshelwood-Kaoru Mitoma,3955637,Brighton & Hove Albion,Won,3,0,First half,1.355034632735412,0.7728583486972493
Ball Recovery-Carry,Lewis Dunk-Lewis Dunk,3955637,Brighton & Hove Albion,Won,3,0,First half,1.355034632735412,0.7728583486972493
Pass,James Philip Milner,3955637,Brighton & Hove Albion,Won,3,0,First half,1.355034632735412,0.7728583486972493
Pressure,Mats Wieffer,3955637,Brighton & Hove Albion,Won,3,0,First half,1.355034632735412,0.7728583486972493
Pressure,Kaoru Mitoma,3955637,Brighton & Hove Albion,Won,3,0,First half,1.355034632735412,0.7728583486972493
