words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Will Hughes-Eberechi Eze-Eberechi Eze-Eberechi Eze-Joachim Andersen-Joachim Andersen-Joachim Andersen-Tyrick Mitchell,3955638,Crystal Palace,Lost,1,2,First half,1.099346108006815,0.8117855845611939
Pass-Ball Receipt-Pass-Ball Receipt,Dean Henderson-Odsonne Édouard-Odsonne Édouard-Daniel Muñoz Mejía,3955638,Crystal Palace,Lost,1,2,First half,1.099346108006815,0.8117855845611939
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Daichi Kamada-Daniel Muñoz Mejía-Daniel Muñoz Mejía-Daniel Muñoz Mejía-Dean Henderson-Dean Henderson-Dean Henderson-Joachim Andersen-Joachim Andersen-Joachim Andersen-Dean Henderson-Dean Henderson,3955638,Crystal Palace,Lost,1,2,First half,1.099346108006815,0.8117855845611939
Pass-Ball Receipt-Carry,Tyrick Mitchell-Daichi Kamada-Daichi Kamada,3955638,Crystal Palace,Lost,1,2,First half,1.099346108006815,0.8117855845611939
Interception-Ball Recovery-Carry,Adam Wharton-Tyrick Mitchell-Tyrick Mitchell,3955638,Crystal Palace,Lost,1,2,First half,1.099346108006815,0.8117855845611939
Block,Will Hughes,3955638,Crystal Palace,Lost,1,2,First half,1.099346108006815,0.8117855845611939
Pressure,Will Hughes,3955638,Crystal Palace,Lost,1,2,First half,1.099346108006815,0.8117855845611939
Dribble,Tyrick Mitchell,3955638,Crystal Palace,Lost,1,2,First half,1.099346108006815,0.8117855845611939
Pass-Ball Receipt-Carry,Joachim Andersen-Tyrick Mitchell-Tyrick Mitchell,3955638,Crystal Palace,Lost,1,2,First half,1.099346108006815,0.8117855845611939
50/50,Tyrick Mitchell,3955638,Crystal Palace,Lost,1,2,First half,1.099346108006815,0.8117855845611939
Duel,Will Hughes,3955638,Crystal Palace,Lost,1,2,First half,1.099346108006815,0.8117855845611939
Pressure,Will Hughes,3955638,Crystal Palace,Lost,1,2,First half,1.099346108006815,0.8117855845611939
Pressure,Adam Wharton,3955638,Crystal Palace,Lost,1,2,First half,1.099346108006815,0.8117855845611939
Block,Daichi Kamada,3955638,Crystal Palace,Lost,1,2,First half,1.099346108006815,0.8117855845611939
Pass-Ball Receipt-Carry-Pass,Will Hughes-Daichi Kamada-Daichi Kamada-Daichi Kamada,3955638,Crystal Palace,Lost,1,2,First half,1.099346108006815,0.8117855845611939
Foul Won-Ball Receipt-Carry,Eberechi Eze-Will Hughes-Will Hughes,3955638,Crystal Palace,Lost,1,2,First half,1.099346108006815,0.8117855845611939
Pass,Eberechi Eze,3955638,Crystal Palace,Lost,1,2,First half,1.099346108006815,0.8117855845611939
Duel-Carry,Eberechi Eze-Eberechi Eze,3955638,Crystal Palace,Lost,1,2,First half,1.099346108006815,0.8117855845611939
Pressure,Eberechi Eze,3955638,Crystal Palace,Lost,1,2,First half,1.099346108006815,0.8117855845611939
Dribble,Eberechi Eze,3955638,Crystal Palace,Lost,1,2,First half,1.099346108006815,0.8117855845611939
Pass-Ball Receipt-Carry,Will Hughes-Eberechi Eze-Eberechi Eze,3955638,Crystal Palace,Lost,1,2,First half,1.099346108006815,0.8117855845611939
Pressure,Marc Guehi,3955638,Crystal Palace,Lost,1,2,First half,1.099346108006815,0.8117855845611939
Pressure,Eberechi Eze,3955638,Crystal Palace,Lost,1,2,First half,1.099346108006815,0.8117855845611939
Pressure,Odsonne Édouard,3955638,Crystal Palace,Lost,1,2,First half,1.099346108006815,0.8117855845611939
Clearance,Marc Guehi,3955638,Crystal Palace,Lost,1,2,First half,1.099346108006815,0.8117855845611939
Block-Goal Keeper,Chris Richards-Dean Henderson,3955638,Crystal Palace,Lost,1,2,First half,1.099346108006815,0.8117855845611939
Duel,Daniel Muñoz Mejía,3955638,Crystal Palace,Lost,1,2,First half,1.099346108006815,0.8117855845611939
Duel,Chris Richards,3955638,Crystal Palace,Lost,1,2,First half,1.099346108006815,0.8117855845611939
Pressure-Pressure,Chris Richards-Daniel Muñoz Mejía,3955638,Crystal Palace,Lost,1,2,First half,1.099346108006815,0.8117855845611939
Pressure,Eberechi Eze,3955638,Crystal Palace,Lost,1,2,First half,1.099346108006815,0.8117855845611939
Pressure,Jordan Ayew,3955638,Crystal Palace,Lost,1,2,First half,1.099346108006815,0.8117855845611939
Substitution-Tactical Shift,Adam Wharton-Unknown,3955638,Crystal Palace,Lost,1,2,First half,1.099346108006815,0.8117855845611939
Pass-Ball Receipt-Carry-Shot,Jordan Ayew-Odsonne Édouard-Odsonne Édouard-Odsonne Édouard,3955638,Crystal Palace,Lost,1,2,First half,1.099346108006815,0.8117855845611939
Ball Recovery-Carry,Jordan Ayew-Jordan Ayew,3955638,Crystal Palace,Lost,1,2,First half,1.099346108006815,0.8117855845611939
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Will Hughes-Will Hughes-Will Hughes-Adam Wharton-Adam Wharton-Adam Wharton-Odsonne Édouard,3955638,Crystal Palace,Lost,1,2,First half,1.099346108006815,0.8117855845611939
Pressure,Marc Guehi,3955638,Crystal Palace,Lost,1,2,First half,1.099346108006815,0.8117855845611939
Pressure,Eberechi Eze,3955638,Crystal Palace,Lost,1,2,First half,1.099346108006815,0.8117855845611939
Pressure,Jordan Ayew,3955638,Crystal Palace,Lost,1,2,First half,1.099346108006815,0.8117855845611939
Pressure,Jordan Ayew,3955638,Crystal Palace,Lost,1,2,First half,1.099346108006815,0.8117855845611939
Pressure,Odsonne Édouard,3955638,Crystal Palace,Lost,1,2,First half,1.099346108006815,0.8117855845611939
Pressure,Jordan Ayew,3955638,Crystal Palace,Lost,1,2,First half,1.099346108006815,0.8117855845611939
Goal Keeper,Dean Henderson,3955638,Crystal Palace,Lost,1,2,First half,1.099346108006815,0.8117855845611939
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Marc Guehi-Chris Richards-Chris Richards-Chris Richards-Jordan Ayew-Jordan Ayew-Chris Richards-Chris Richards-Chris Richards-Jordan Ayew-Jordan Ayew-Jordan Ayew-Tyrick Mitchell-Tyrick Mitchell-Tyrick Mitchell-Eberechi Eze,3955638,Crystal Palace,Lost,1,2,First half,1.099346108006815,0.8117855845611939
Pass,Dean Henderson,3955638,Crystal Palace,Lost,1,2,First half,1.099346108006815,0.8117855845611939
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry,Eberechi Eze-Will Hughes-Will Hughes-Will Hughes-Joachim Andersen-Joachim Andersen-Joachim Andersen-Chris Richards-Chris Richards-Chris Richards-Daniel Muñoz Mejía-Daniel Muñoz Mejía-Daniel Muñoz Mejía-Chris Richards-Chris Richards-Dean Henderson-Dean Henderson,3955638,Crystal Palace,Lost,1,2,First half,1.099346108006815,0.8117855845611939
Pass-Ball Receipt-Carry,Will Hughes-Eberechi Eze-Eberechi Eze,3955638,Crystal Palace,Lost,1,2,First half,1.099346108006815,0.8117855845611939
Ball Receipt-Carry-Dispossessed,Eberechi Eze-Eberechi Eze-Eberechi Eze,3955638,Crystal Palace,Lost,1,2,First half,1.099346108006815,0.8117855845611939
Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Jordan Ayew-Jordan Ayew-Marc Guehi-Marc Guehi-Marc Guehi-Tyrick Mitchell-Tyrick Mitchell-Tyrick Mitchell,3955638,Crystal Palace,Lost,1,2,First half,1.099346108006815,0.8117855845611939
