words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Pass-Ball Receipt,Idrissa Gana Gueye-Jordan Pickford-Jordan Pickford-Jordan Pickford-Jack Harrison,3955637,Everton,Lost,0,3,First half,1.865780369664269,0.7120867421442005
Pressure,James Tarkowski,3955637,Everton,Lost,0,3,First half,1.865780369664269,0.7120867421442005
Error,Tim Iroegbunam,3955637,Everton,Lost,0,3,First half,1.865780369664269,0.7120867421442005
Dispossessed,Tim Iroegbunam,3955637,Everton,Lost,0,3,First half,1.865780369664269,0.7120867421442005
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Jordan Pickford-Jordan Pickford-Jordan Pickford-James Tarkowski-James Tarkowski-James Tarkowski-Tim Iroegbunam-Tim Iroegbunam,3955637,Everton,Lost,0,3,First half,1.865780369664269,0.7120867421442005
Ball Receipt-Pass-Ball Receipt,Dwight McNeil-Dwight McNeil-Idrissa Gana Gueye,3955637,Everton,Lost,0,3,First half,1.865780369664269,0.7120867421442005
Pass,Michael Keane,3955637,Everton,Lost,0,3,First half,1.865780369664269,0.7120867421442005
Substitution,Abdoulaye Doucouré,3955637,Everton,Lost,0,3,First half,1.865780369664269,0.7120867421442005
Pressure-Foul Committed,Dwight McNeil-Dwight McNeil,3955637,Everton,Lost,0,3,First half,1.865780369664269,0.7120867421442005
Pressure,Abdoulaye Doucouré,3955637,Everton,Lost,0,3,First half,1.865780369664269,0.7120867421442005
Pass-Ball Receipt,Jordan Pickford-Dominic Calvert-Lewin,3955637,Everton,Lost,0,3,First half,1.865780369664269,0.7120867421442005
Goal Keeper-Carry,Jordan Pickford-Jordan Pickford,3955637,Everton,Lost,0,3,First half,1.865780369664269,0.7120867421442005
Pressure,Dominic Calvert-Lewin,3955637,Everton,Lost,0,3,First half,1.865780369664269,0.7120867421442005
Pass-Ball Receipt,Tim Iroegbunam-Dominic Calvert-Lewin,3955637,Everton,Lost,0,3,First half,1.865780369664269,0.7120867421442005
Goal Keeper,Jordan Pickford,3955637,Everton,Lost,0,3,First half,1.865780369664269,0.7120867421442005
Pass-Ball Receipt-Carry,Jack Harrison-Tim Iroegbunam-Tim Iroegbunam,3955637,Everton,Lost,0,3,First half,1.865780369664269,0.7120867421442005
Block-Pass-Ball Receipt-Carry,Ashley Young-Ashley Young-Idrissa Gana Gueye-Idrissa Gana Gueye,3955637,Everton,Lost,0,3,First half,1.865780369664269,0.7120867421442005
Pressure,James Tarkowski,3955637,Everton,Lost,0,3,First half,1.865780369664269,0.7120867421442005
Pressure,Dominic Calvert-Lewin,3955637,Everton,Lost,0,3,First half,1.865780369664269,0.7120867421442005
Pressure,Jack Harrison,3955637,Everton,Lost,0,3,First half,1.865780369664269,0.7120867421442005
Pressure,Ashley Young,3955637,Everton,Lost,0,3,First half,1.865780369664269,0.7120867421442005
Duel,Idrissa Gana Gueye,3955637,Everton,Lost,0,3,First half,1.865780369664269,0.7120867421442005
Pressure,Idrissa Gana Gueye,3955637,Everton,Lost,0,3,First half,1.865780369664269,0.7120867421442005
Ball Receipt-Carry-Dispossessed,Tim Iroegbunam-Tim Iroegbunam-Tim Iroegbunam,3955637,Everton,Lost,0,3,First half,1.865780369664269,0.7120867421442005
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Vitalii Mykolenko-Michael Keane-Michael Keane-James Tarkowski-James Tarkowski-James Tarkowski-Jack Harrison-Jack Harrison-Jack Harrison,3955637,Everton,Lost,0,3,First half,1.865780369664269,0.7120867421442005
Pressure,Abdoulaye Doucouré,3955637,Everton,Lost,0,3,First half,1.865780369664269,0.7120867421442005
Dribble,Vitalii Mykolenko,3955637,Everton,Lost,0,3,First half,1.865780369664269,0.7120867421442005
Pass-Ball Receipt-Carry,Abdoulaye Doucouré-Vitalii Mykolenko-Vitalii Mykolenko,3955637,Everton,Lost,0,3,First half,1.865780369664269,0.7120867421442005
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Dwight McNeil-Vitalii Mykolenko-Vitalii Mykolenko-Vitalii Mykolenko-Abdoulaye Doucouré-Abdoulaye Doucouré,3955637,Everton,Lost,0,3,First half,1.865780369664269,0.7120867421442005
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Idrissa Gana Gueye-Vitalii Mykolenko-Vitalii Mykolenko-Vitalii Mykolenko-Dwight McNeil-Dwight McNeil-Dwight McNeil-Michael Keane-Michael Keane-Michael Keane-Jack Harrison-Jack Harrison,3955637,Everton,Lost,0,3,First half,1.865780369664269,0.7120867421442005
Ball Recovery-Carry-Pass-Ball Receipt-Carry,Vitalii Mykolenko-Vitalii Mykolenko-Vitalii Mykolenko-Dwight McNeil-Dwight McNeil,3955637,Everton,Lost,0,3,First half,1.865780369664269,0.7120867421442005
Clearance,Vitalii Mykolenko,3955637,Everton,Lost,0,3,First half,1.865780369664269,0.7120867421442005
Pressure,Iliman Ndiaye,3955637,Everton,Lost,0,3,First half,1.865780369664269,0.7120867421442005
Pass-Ball Receipt-Carry-Pass-Ball Receipt,Jack Harrison-Dwight McNeil-Dwight McNeil-Dwight McNeil-Iliman Ndiaye,3955637,Everton,Lost,0,3,First half,1.865780369664269,0.7120867421442005
Pass-Ball Receipt-Carry,Idrissa Gana Gueye-Jack Harrison-Jack Harrison,3955637,Everton,Lost,0,3,First half,1.865780369664269,0.7120867421442005
Interception-Carry-Pass-Ball Receipt-Carry,Dwight McNeil-Dwight McNeil-Dwight McNeil-Idrissa Gana Gueye-Idrissa Gana Gueye,3955637,Everton,Lost,0,3,First half,1.865780369664269,0.7120867421442005
Pressure,Tim Iroegbunam,3955637,Everton,Lost,0,3,First half,1.865780369664269,0.7120867421442005
Pressure,Iliman Ndiaye,3955637,Everton,Lost,0,3,First half,1.865780369664269,0.7120867421442005
Pressure,Tim Iroegbunam,3955637,Everton,Lost,0,3,First half,1.865780369664269,0.7120867421442005
Dribbled Past-Foul Committed,Tim Iroegbunam-Tim Iroegbunam,3955637,Everton,Lost,0,3,First half,1.865780369664269,0.7120867421442005
Pressure,Tim Iroegbunam,3955637,Everton,Lost,0,3,First half,1.865780369664269,0.7120867421442005
Pass-Ball Receipt-Pass-Ball Receipt,Vitalii Mykolenko-James Tarkowski-James Tarkowski-Dominic Calvert-Lewin,3955637,Everton,Lost,0,3,First half,1.865780369664269,0.7120867421442005
Goal Keeper-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Jordan Pickford-Jordan Pickford-Jordan Pickford-Tim Iroegbunam-Tim Iroegbunam-Tim Iroegbunam-Idrissa Gana Gueye-Idrissa Gana Gueye-Idrissa Gana Gueye-Dwight McNeil-Dwight McNeil-Dwight McNeil-James Tarkowski-James Tarkowski-James Tarkowski-Michael Keane-Michael Keane-Michael Keane,3955637,Everton,Lost,0,3,First half,1.865780369664269,0.7120867421442005
Pressure,Iliman Ndiaye,3955637,Everton,Lost,0,3,First half,1.865780369664269,0.7120867421442005
Goal Keeper-Tactical Shift,Jordan Pickford-Unknown,3955637,Everton,Lost,0,3,First half,1.865780369664269,0.7120867421442005
Foul Committed,Ashley Young,3955637,Everton,Lost,0,3,First half,1.865780369664269,0.7120867421442005
Clearance,Idrissa Gana Gueye,3955637,Everton,Lost,0,3,First half,1.865780369664269,0.7120867421442005
Ball Recovery,Ashley Young,3955637,Everton,Lost,0,3,First half,1.865780369664269,0.7120867421442005
Pressure,Iliman Ndiaye,3955637,Everton,Lost,0,3,First half,1.865780369664269,0.7120867421442005
Duel-Block-Duel,Dominic Calvert-Lewin-Dominic Calvert-Lewin-Iliman Ndiaye,3955637,Everton,Lost,0,3,First half,1.865780369664269,0.7120867421442005
Shield-Pass-Ball Receipt,Vitalii Mykolenko-Vitalii Mykolenko-Dominic Calvert-Lewin,3955637,Everton,Lost,0,3,First half,1.865780369664269,0.7120867421442005
Pass,Tim Iroegbunam,3955637,Everton,Lost,0,3,First half,1.865780369664269,0.7120867421442005
Interception-Ball Recovery-Carry,James Tarkowski-Tim Iroegbunam-Tim Iroegbunam,3955637,Everton,Lost,0,3,First half,1.865780369664269,0.7120867421442005
Pressure-Foul Committed,Iliman Ndiaye-Iliman Ndiaye,3955637,Everton,Lost,0,3,First half,1.865780369664269,0.7120867421442005
Pressure,Dwight McNeil,3955637,Everton,Lost,0,3,First half,1.865780369664269,0.7120867421442005
