words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Duel,Axel Tuanzebe,3955636,Ipswich Town,Lost,0,2,First half,1.1089031171030537,0.7705181649096423
Ball Receipt-Carry,Liam Delap-Liam Delap,3955636,Ipswich Town,Lost,0,2,First half,1.1089031171030537,0.7705181649096423
Pass,Marcus Harness,3955636,Ipswich Town,Lost,0,2,First half,1.1089031171030537,0.7705181649096423
Duel-Pass-Ball Receipt-Carry,Omari Giraud-Hutchinson-Jack Taylor-Marcus Harness-Marcus Harness,3955636,Ipswich Town,Lost,0,2,First half,1.1089031171030537,0.7705181649096423
Pass-Ball Receipt,Leif Davis-Omari Giraud-Hutchinson,3955636,Ipswich Town,Lost,0,2,First half,1.1089031171030537,0.7705181649096423
Goal Keeper-Pass-Ball Receipt-Pass-Ball Receipt-Duel,Christian Walton-Liam Delap-Luke Woolfenden-Luke Woolfenden-Liam Delap-Liam Delap,3955636,Ipswich Town,Lost,0,2,First half,1.1089031171030537,0.7705181649096423
Interception,Leif Davis,3955636,Ipswich Town,Lost,0,2,First half,1.1089031171030537,0.7705181649096423
Pressure,Marcus Harness,3955636,Ipswich Town,Lost,0,2,First half,1.1089031171030537,0.7705181649096423
Tactical Shift-Pressure,Unknown-Omari Giraud-Hutchinson,3955636,Ipswich Town,Lost,0,2,First half,1.1089031171030537,0.7705181649096423
Clearance-Substitution-Substitution,Luke Woolfenden-Massimo Luongo-Conor Chaplin,3955636,Ipswich Town,Lost,0,2,First half,1.1089031171030537,0.7705181649096423
Miscontrol,Liam Delap,3955636,Ipswich Town,Lost,0,2,First half,1.1089031171030537,0.7705181649096423
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Liam Delap-Conor Chaplin-Conor Chaplin-Conor Chaplin-Liam Delap-Liam Delap,3955636,Ipswich Town,Lost,0,2,First half,1.1089031171030537,0.7705181649096423
Block,Luke Woolfenden,3955636,Ipswich Town,Lost,0,2,First half,1.1089031171030537,0.7705181649096423
Block,Luke Woolfenden,3955636,Ipswich Town,Lost,0,2,First half,1.1089031171030537,0.7705181649096423
Pass-Ball Receipt,Benjamin Johnson-Conor Chaplin,3955636,Ipswich Town,Lost,0,2,First half,1.1089031171030537,0.7705181649096423
