words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Pass-Ball Receipt,Dominik Szoboszlai-Alisson Ramsés Becker-Alisson Ramsés Becker-Alisson Ramsés Becker-Diogo José Teixeira da Silva,3955636,Liverpool,Won,2,0,First half,2.2127350592560733,0.6858855203090467
Block,Trent Alexander-Arnold,3955636,Liverpool,Won,2,0,First half,2.2127350592560733,0.6858855203090467
Pressure,Trent Alexander-Arnold,3955636,Liverpool,Won,2,0,First half,2.2127350592560733,0.6858855203090467
Pass,Virgil van Dijk,3955636,Liverpool,Won,2,0,First half,2.2127350592560733,0.6858855203090467
Pass-Ball Receipt-Carry-Miscontrol,Ibrahima Konaté-Dominik Szoboszlai-Dominik Szoboszlai-Dominik Szoboszlai,3955636,Liverpool,Won,2,0,First half,2.2127350592560733,0.6858855203090467
Ball Recovery-Shot,Mohamed Salah-Mohamed Salah,3955636,Liverpool,Won,2,0,First half,2.2127350592560733,0.6858855203090467
Ball Receipt-Carry-Pass-Ball Receipt,Dominik Szoboszlai-Dominik Szoboszlai-Dominik Szoboszlai-Mohamed Salah,3955636,Liverpool,Won,2,0,First half,2.2127350592560733,0.6858855203090467
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Luis Fernando Díaz Marulanda-Virgil van Dijk-Virgil van Dijk-Virgil van Dijk-Ryan Gravenberch-Ryan Gravenberch-Virgil van Dijk-Virgil van Dijk-Virgil van Dijk-Mohamed Salah-Mohamed Salah-Mohamed Salah,3955636,Liverpool,Won,2,0,First half,2.2127350592560733,0.6858855203090467
Pass-Ball Receipt,Andrew Robertson-Luis Fernando Díaz Marulanda,3955636,Liverpool,Won,2,0,First half,2.2127350592560733,0.6858855203090467
Pass-Ball Receipt-Carry-Pass-Ball Receipt,Ibrahima Konaté-Trent Alexander-Arnold-Trent Alexander-Arnold-Trent Alexander-Arnold-Diogo José Teixeira da Silva,3955636,Liverpool,Won,2,0,First half,2.2127350592560733,0.6858855203090467
Pressure,Dominik Szoboszlai,3955636,Liverpool,Won,2,0,First half,2.2127350592560733,0.6858855203090467
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Andrew Robertson-Trent Alexander-Arnold-Trent Alexander-Arnold-Trent Alexander-Arnold-Andrew Robertson-Andrew Robertson-Andrew Robertson-Trent Alexander-Arnold-Trent Alexander-Arnold-Trent Alexander-Arnold-Ryan Gravenberch,3955636,Liverpool,Won,2,0,First half,2.2127350592560733,0.6858855203090467
Block-Ball Recovery-Carry-Pass,Diogo José Teixeira da Silva-Diogo José Teixeira da Silva-Diogo José Teixeira da Silva-Diogo José Teixeira da Silva,3955636,Liverpool,Won,2,0,First half,2.2127350592560733,0.6858855203090467
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Ryan Gravenberch-Andrew Robertson-Andrew Robertson-Andrew Robertson-Diogo José Teixeira da Silva-Diogo José Teixeira da Silva-Diogo José Teixeira da Silva,3955636,Liverpool,Won,2,0,First half,2.2127350592560733,0.6858855203090467
Duel,Alexis Mac Allister,3955636,Liverpool,Won,2,0,First half,2.2127350592560733,0.6858855203090467
