words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Pass-Ball Receipt,Kevin De Bruyne-Ederson Santana de Moraes-Ederson Santana de Moraes-Ederson Santana de Moraes-Erling Håland,3955639,Manchester City,Won,2,0,First half,1.2928087703162263,0.7559803196204854
Clearance,Bernardo Mota Veiga de Carvalho e Silva,3955639,Manchester City,Won,2,0,First half,1.2928087703162263,0.7559803196204854
Goal Keeper,Ederson Santana de Moraes,3955639,Manchester City,Won,2,0,First half,1.2928087703162263,0.7559803196204854
Interception-Carry-Pass,Rico Lewis-Rico Lewis-Rico Lewis,3955639,Manchester City,Won,2,0,First half,1.2928087703162263,0.7559803196204854
Foul Won-Pass-Ball Receipt,Jeremy Doku-Jeremy Doku-Erling Håland,3955639,Manchester City,Won,2,0,First half,1.2928087703162263,0.7559803196204854
Pass-Ball Receipt-Carry,Kevin De Bruyne-Jeremy Doku-Jeremy Doku,3955639,Manchester City,Won,2,0,First half,1.2928087703162263,0.7559803196204854
Pass-Ball Receipt,Mateo Kovačić-Kevin De Bruyne,3955639,Manchester City,Won,2,0,First half,1.2928087703162263,0.7559803196204854
50/50-Carry,Mateo Kovačić-Mateo Kovačić,3955639,Manchester City,Won,2,0,First half,1.2928087703162263,0.7559803196204854
Clearance,Rico Lewis,3955639,Manchester City,Won,2,0,First half,1.2928087703162263,0.7559803196204854
Block-Goal Keeper,Bernardo Mota Veiga de Carvalho e Silva-Ederson Santana de Moraes,3955639,Manchester City,Won,2,0,First half,1.2928087703162263,0.7559803196204854
Pressure,Mateo Kovačić,3955639,Manchester City,Won,2,0,First half,1.2928087703162263,0.7559803196204854
Pressure,Kevin De Bruyne,3955639,Manchester City,Won,2,0,First half,1.2928087703162263,0.7559803196204854
Ball Receipt-Carry-Dribble,Mateo Kovačić-Mateo Kovačić-Mateo Kovačić,3955639,Manchester City,Won,2,0,First half,1.2928087703162263,0.7559803196204854
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Mateo Kovačić-Manuel Obafemi Akanji-Manuel Obafemi Akanji-Manuel Obafemi Akanji-Rúben Santos Gato Alves Dias-Rúben Santos Gato Alves Dias-Rúben Santos Gato Alves Dias-Joško Gvardiol-Joško Gvardiol-Joško Gvardiol,3955639,Manchester City,Won,2,0,First half,1.2928087703162263,0.7559803196204854
Goal Keeper-Clearance-Injury Stoppage,Ederson Santana de Moraes-Joško Gvardiol-Erling Håland,3955639,Manchester City,Won,2,0,First half,1.2928087703162263,0.7559803196204854
Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Rico Lewis-Bernardo Mota Veiga de Carvalho e Silva-Bernardo Mota Veiga de Carvalho e Silva-Rico Lewis-Rico Lewis-Mateo Kovačić-Mateo Kovačić-Bernardo Mota Veiga de Carvalho e Silva-Bernardo Mota Veiga de Carvalho e Silva-Rico Lewis-Rico Lewis-Rico Lewis-Mateo Kovačić-Mateo Kovačić,3955639,Manchester City,Won,2,0,First half,1.2928087703162263,0.7559803196204854
Pressure,Bernardo Mota Veiga de Carvalho e Silva,3955639,Manchester City,Won,2,0,First half,1.2928087703162263,0.7559803196204854
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Bernardo Mota Veiga de Carvalho e Silva-Phil Foden-Phil Foden-Bernardo Mota Veiga de Carvalho e Silva-Bernardo Mota Veiga de Carvalho e Silva-Bernardo Mota Veiga de Carvalho e Silva-Manuel Obafemi Akanji-Manuel Obafemi Akanji-Manuel Obafemi Akanji-Phil Foden-Phil Foden-Phil Foden-Bernardo Mota Veiga de Carvalho e Silva-Bernardo Mota Veiga de Carvalho e Silva-Bernardo Mota Veiga de Carvalho e Silva,3955639,Manchester City,Won,2,0,First half,1.2928087703162263,0.7559803196204854
Pass-Ball Receipt-Carry-Pass-Ball Receipt,Bernardo Mota Veiga de Carvalho e Silva-Phil Foden-Phil Foden-Phil Foden-Kevin De Bruyne,3955639,Manchester City,Won,2,0,First half,1.2928087703162263,0.7559803196204854
Pass-Ball Receipt-Carry,Phil Foden-Bernardo Mota Veiga de Carvalho e Silva-Bernardo Mota Veiga de Carvalho e Silva,3955639,Manchester City,Won,2,0,First half,1.2928087703162263,0.7559803196204854
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Mateo Kovačić-Manuel Obafemi Akanji-Manuel Obafemi Akanji-Manuel Obafemi Akanji-Phil Foden-Phil Foden,3955639,Manchester City,Won,2,0,First half,1.2928087703162263,0.7559803196204854
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Phil Foden-Rico Lewis-Rico Lewis-Rico Lewis-Rúben Santos Gato Alves Dias-Rúben Santos Gato Alves Dias-Rúben Santos Gato Alves Dias-Jeremy Doku-Jeremy Doku-Jeremy Doku-Joško Gvardiol-Joško Gvardiol-Joško Gvardiol-Rico Lewis-Rico Lewis-Rico Lewis-Mateo Kovačić-Mateo Kovačić,3955639,Manchester City,Won,2,0,First half,1.2928087703162263,0.7559803196204854
Ball Receipt-Carry-Pass-Ball Receipt-Carry,Mateo Kovačić-Mateo Kovačić-Mateo Kovačić-Phil Foden-Phil Foden,3955639,Manchester City,Won,2,0,First half,1.2928087703162263,0.7559803196204854
Pass,Phil Foden,3955639,Manchester City,Won,2,0,First half,1.2928087703162263,0.7559803196204854
Interception-Ball Recovery-Carry-Pass-Ball Receipt-Carry,Joško Gvardiol-Mateo Kovačić-Mateo Kovačić-Mateo Kovačić-Phil Foden-Phil Foden,3955639,Manchester City,Won,2,0,First half,1.2928087703162263,0.7559803196204854
Pressure,Phil Foden,3955639,Manchester City,Won,2,0,First half,1.2928087703162263,0.7559803196204854
Pressure,Phil Foden,3955639,Manchester City,Won,2,0,First half,1.2928087703162263,0.7559803196204854
Ball Receipt-Carry-Pass-Ball Receipt,Erling Håland-Erling Håland-Erling Håland-Phil Foden,3955639,Manchester City,Won,2,0,First half,1.2928087703162263,0.7559803196204854
Pass,Rico Lewis,3955639,Manchester City,Won,2,0,First half,1.2928087703162263,0.7559803196204854
Ball Recovery,Manuel Obafemi Akanji,3955639,Manchester City,Won,2,0,First half,1.2928087703162263,0.7559803196204854
Pressure,Kevin De Bruyne,3955639,Manchester City,Won,2,0,First half,1.2928087703162263,0.7559803196204854
Dribbled Past,Kevin De Bruyne,3955639,Manchester City,Won,2,0,First half,1.2928087703162263,0.7559803196204854
Goal Keeper-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Ederson Santana de Moraes-Ederson Santana de Moraes-Ederson Santana de Moraes-Manuel Obafemi Akanji-Manuel Obafemi Akanji-Manuel Obafemi Akanji-Rico Lewis-Rico Lewis-Rico Lewis-Manuel Obafemi Akanji-Manuel Obafemi Akanji-Manuel Obafemi Akanji-Rico Lewis-Rico Lewis,3955639,Manchester City,Won,2,0,First half,1.2928087703162263,0.7559803196204854
Ball Receipt,Kevin De Bruyne,3955639,Manchester City,Won,2,0,First half,1.2928087703162263,0.7559803196204854
Ball Recovery-Carry-Pass,Joško Gvardiol-Joško Gvardiol-Joško Gvardiol,3955639,Manchester City,Won,2,0,First half,1.2928087703162263,0.7559803196204854
Duel,Jeremy Doku,3955639,Manchester City,Won,2,0,First half,1.2928087703162263,0.7559803196204854
Pressure,Jeremy Doku,3955639,Manchester City,Won,2,0,First half,1.2928087703162263,0.7559803196204854
Pressure,Kevin De Bruyne,3955639,Manchester City,Won,2,0,First half,1.2928087703162263,0.7559803196204854
Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass,Mateo Kovačić-Mateo Kovačić-Rúben Santos Gato Alves Dias-Rúben Santos Gato Alves Dias-Joško Gvardiol-Joško Gvardiol-Joško Gvardiol,3955639,Manchester City,Won,2,0,First half,1.2928087703162263,0.7559803196204854
Pass,Ederson Santana de Moraes,3955639,Manchester City,Won,2,0,First half,1.2928087703162263,0.7559803196204854
Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Rúben Santos Gato Alves Dias-Rúben Santos Gato Alves Dias-Joško Gvardiol-Joško Gvardiol-Joško Gvardiol-Ederson Santana de Moraes-Ederson Santana de Moraes,3955639,Manchester City,Won,2,0,First half,1.2928087703162263,0.7559803196204854
Pass,Bernardo Mota Veiga de Carvalho e Silva,3955639,Manchester City,Won,2,0,First half,1.2928087703162263,0.7559803196204854
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Rúben Santos Gato Alves Dias-Joško Gvardiol-Joško Gvardiol-Joško Gvardiol-Kevin De Bruyne-Kevin De Bruyne-Kevin De Bruyne-Joško Gvardiol-Joško Gvardiol-Joško Gvardiol-Rúben Santos Gato Alves Dias-Rúben Santos Gato Alves Dias-Rúben Santos Gato Alves Dias-Bernardo Mota Veiga de Carvalho e Silva-Bernardo Mota Veiga de Carvalho e Silva,3955639,Manchester City,Won,2,0,First half,1.2928087703162263,0.7559803196204854
Pass-Ball Receipt-Carry,Manuel Obafemi Akanji-Rúben Santos Gato Alves Dias-Rúben Santos Gato Alves Dias,3955639,Manchester City,Won,2,0,First half,1.2928087703162263,0.7559803196204854
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Jeremy Doku-Jeremy Doku-Jeremy Doku-Joško Gvardiol-Joško Gvardiol-Joško Gvardiol-Rúben Santos Gato Alves Dias-Rúben Santos Gato Alves Dias-Rúben Santos Gato Alves Dias-Manuel Obafemi Akanji-Manuel Obafemi Akanji-Manuel Obafemi Akanji-Rico Lewis-Rico Lewis-Rico Lewis-Manuel Obafemi Akanji-Manuel Obafemi Akanji,3955639,Manchester City,Won,2,0,First half,1.2928087703162263,0.7559803196204854
Pass,Joško Gvardiol,3955639,Manchester City,Won,2,0,First half,1.2928087703162263,0.7559803196204854
Pressure,Phil Foden,3955639,Manchester City,Won,2,0,First half,1.2928087703162263,0.7559803196204854
Pass,Manuel Obafemi Akanji,3955639,Manchester City,Won,2,0,First half,1.2928087703162263,0.7559803196204854
Pressure,Bernardo Mota Veiga de Carvalho e Silva,3955639,Manchester City,Won,2,0,First half,1.2928087703162263,0.7559803196204854
Block,Phil Foden,3955639,Manchester City,Won,2,0,First half,1.2928087703162263,0.7559803196204854
Pass-Ball Receipt-Duel,Manuel Obafemi Akanji-Phil Foden-Phil Foden,3955639,Manchester City,Won,2,0,First half,1.2928087703162263,0.7559803196204854
Foul Committed,Erling Håland,3955639,Manchester City,Won,2,0,First half,1.2928087703162263,0.7559803196204854
Dispossessed,Erling Håland,3955639,Manchester City,Won,2,0,First half,1.2928087703162263,0.7559803196204854
Ball Receipt-Carry,Erling Håland-Erling Håland,3955639,Manchester City,Won,2,0,First half,1.2928087703162263,0.7559803196204854
