words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt,Temitayo Olufisayo Olaoluwa Aina-Morgan Gibbs-White,3955632,Nottingham Forest,Drawn,1,1,First half,1.6619641655225663,0.7214651100165607
Duel,Chris Wood,3955632,Nottingham Forest,Drawn,1,1,First half,1.6619641655225663,0.7214651100165607
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Nicolás Martín Domínguez-Ryan Yates-Ryan Yates-Ryan Yates-Murillo Santiago Costa dos Santos-Murillo Santiago Costa dos Santos,3955632,Nottingham Forest,Drawn,1,1,First half,1.6619641655225663,0.7214651100165607
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Murillo Santiago Costa dos Santos-Callum Hudson-Odoi-Callum Hudson-Odoi-Callum Hudson-Odoi-Morgan Gibbs-White-Morgan Gibbs-White-Morgan Gibbs-White-Harry Toffolo-Harry Toffolo-Harry Toffolo-Callum Hudson-Odoi-Callum Hudson-Odoi-Callum Hudson-Odoi-Morgan Gibbs-White-Morgan Gibbs-White-Morgan Gibbs-White,3955632,Nottingham Forest,Drawn,1,1,First half,1.6619641655225663,0.7214651100165607
Pressure,Ibrahim Sangaré,3955632,Nottingham Forest,Drawn,1,1,First half,1.6619641655225663,0.7214651100165607
Clearance,Willy Boly,3955632,Nottingham Forest,Drawn,1,1,First half,1.6619641655225663,0.7214651100165607
Pressure,Nicolás Martín Domínguez,3955632,Nottingham Forest,Drawn,1,1,First half,1.6619641655225663,0.7214651100165607
Ball Recovery-Carry-Pass-Ball Receipt-Carry,Murillo Santiago Costa dos Santos-Murillo Santiago Costa dos Santos-Murillo Santiago Costa dos Santos-Matz Sels-Matz Sels,3955632,Nottingham Forest,Drawn,1,1,First half,1.6619641655225663,0.7214651100165607
Pass-Ball Receipt-Carry-Pass,Matz Sels-Willy Boly-Willy Boly-Willy Boly,3955632,Nottingham Forest,Drawn,1,1,First half,1.6619641655225663,0.7214651100165607
Ball Receipt-Carry-Pass,Nicolás Martín Domínguez-Nicolás Martín Domínguez-Nicolás Martín Domínguez,3955632,Nottingham Forest,Drawn,1,1,First half,1.6619641655225663,0.7214651100165607
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Ibrahim Sangaré-Ibrahim Sangaré-Ibrahim Sangaré-Morgan Gibbs-White-Morgan Gibbs-White-Morgan Gibbs-White-Harry Toffolo-Harry Toffolo-Harry Toffolo-Morgan Gibbs-White-Morgan Gibbs-White-Morgan Gibbs-White-Callum Hudson-Odoi-Callum Hudson-Odoi-Callum Hudson-Odoi-Harry Toffolo-Harry Toffolo-Harry Toffolo-Ryan Yates-Ryan Yates-Ryan Yates-Nicolás Martín Domínguez-Nicolás Martín Domínguez-Nicolás Martín Domínguez-Ibrahim Sangaré-Ibrahim Sangaré-Ibrahim Sangaré-Ryan Yates-Ryan Yates-Ryan Yates-Morgan Gibbs-White-Morgan Gibbs-White,3955632,Nottingham Forest,Drawn,1,1,First half,1.6619641655225663,0.7214651100165607
Pass-Ball Receipt-Carry-Miscontrol-Pressure,Morgan Gibbs-White-Nicolás Martín Domínguez-Nicolás Martín Domínguez-Nicolás Martín Domínguez-Nicolás Martín Domínguez,3955632,Nottingham Forest,Drawn,1,1,First half,1.6619641655225663,0.7214651100165607
Pass-Ball Receipt-Shot,Callum Hudson-Odoi-Willy Boly-Willy Boly,3955632,Nottingham Forest,Drawn,1,1,First half,1.6619641655225663,0.7214651100165607
Pass-Foul Committed,Harry Toffolo-Morgan Gibbs-White,3955632,Nottingham Forest,Drawn,1,1,First half,1.6619641655225663,0.7214651100165607
Pressure,Neco Williams,3955632,Nottingham Forest,Drawn,1,1,First half,1.6619641655225663,0.7214651100165607
Goal Keeper,Matz Sels,3955632,Nottingham Forest,Drawn,1,1,First half,1.6619641655225663,0.7214651100165607
Goal Keeper-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Matz Sels-Murillo Santiago Costa dos Santos-Willy Boly-Willy Boly-Willy Boly-Chris Wood,3955632,Nottingham Forest,Drawn,1,1,First half,1.6619641655225663,0.7214651100165607
Pass,Murillo Santiago Costa dos Santos,3955632,Nottingham Forest,Drawn,1,1,First half,1.6619641655225663,0.7214651100165607
Block,Ryan Yates,3955632,Nottingham Forest,Drawn,1,1,First half,1.6619641655225663,0.7214651100165607
Pressure,Ryan Yates,3955632,Nottingham Forest,Drawn,1,1,First half,1.6619641655225663,0.7214651100165607
Foul Committed,Chris Wood,3955632,Nottingham Forest,Drawn,1,1,First half,1.6619641655225663,0.7214651100165607
Clearance,Harry Toffolo,3955632,Nottingham Forest,Drawn,1,1,First half,1.6619641655225663,0.7214651100165607
Duel,Morgan Gibbs-White,3955632,Nottingham Forest,Drawn,1,1,First half,1.6619641655225663,0.7214651100165607
