words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Pass-Ball Receipt,Marcus Tavernier-Dean Donny Huijsen-Dean Donny Huijsen-Dango Aboubacar Faissal Ouattara,3955632,AFC Bournemouth,Drawn,1,1,First half,0.8703153205701016,0.8207819762734057
Pressure,Justin Kluivert,3955649,AFC Bournemouth,Drawn,1,1,First half,1.2520415978432768,0.7686164275680718
Tactical Shift-Pressure,Unknown-Marcus Tavernier,3955653,AFC Bournemouth,Won,3,2,First half,1.3647365189779677,0.7524717725819726
Block-Goal Keeper,Ryan Christie-Mark Travers,3955661,AFC Bournemouth,Lost,0,1,First half,1.274864885126455,0.7400620293695283
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Lewis Cook-Dean Donny Huijsen-Dean Donny Huijsen-Dean Donny Huijsen-Ryan Christie-Ryan Christie-Ryan Christie-Julian Vincente Araujo-Julian Vincente Araujo-Julian Vincente Araujo-Antoine Semenyo-Antoine Semenyo-Antoine Semenyo-Julian Vincente Araujo-Julian Vincente Araujo-Julian Vincente Araujo-Illia Zabarnyi-Illia Zabarnyi-Illia Zabarnyi-Antoine Semenyo-Antoine Semenyo-Antoine Semenyo,3955671,AFC Bournemouth,Lost,0,3,First half,1.0361968967758584,0.7869428580855603
Block-Clearance,Marcus Tavernier-Lewis Cook,3955690,AFC Bournemouth,Won,3,1,First half,1.1109577598468816,0.7734474022450485
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Marcos Senesi-Lewis Cook-Lewis Cook-Lewis Cook-Ryan Christie-Ryan Christie-Ryan Christie-Lewis Cook-Lewis Cook-Lewis Cook-Ryan Christie-Ryan Christie-Ryan Christie-Lewis Cook-Lewis Cook-Lewis Cook-Marcos Senesi-Marcos Senesi-Marcos Senesi-Lewis Cook-Lewis Cook-Lewis Cook-Marcos Senesi-Marcos Senesi-Marcos Senesi,3955696,AFC Bournemouth,Lost,0,1,First half,1.9652000492748485,0.6741999001778443
Pressure,Alex Scott,3955702,AFC Bournemouth,Won,2,0,First half,1.31056140579011,0.7591951783373738
Pressure,Justin Kluivert,3955719,AFC Bournemouth,Drawn,1,1,First half,0.486745672952133,0.9165413331021016
Pressure,Lewis Cook,3955722,AFC Bournemouth,Won,2,1,First half,1.152088966248591,0.7595388527726826
Pressure,Milos Kerkez,3955731,AFC Bournemouth,Lost,2,3,First half,1.1418437110888395,0.7996990211508922
Pressure-Foul Committed,Lewis Cook-Lewis Cook,3955741,AFC Bournemouth,Lost,1,2,First half,0.8803656714207465,0.8256494381357635
Pressure,Marcus Tavernier,3955760,AFC Bournemouth,Won,4,2,First half,1.4951921652816789,0.7233736146402786
Pass,Adam Smith,3955761,AFC Bournemouth,Won,1,0,First half,1.5251428362861197,0.7147370754986949
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Ryan Christie-Milos Kerkez-Milos Kerkez-Milos Kerkez-Dean Donny Huijsen-Dean Donny Huijsen,3955776,AFC Bournemouth,Won,2,1,First half,0.8221155054160943,0.8423113503410534
Foul Won-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Antoine Semenyo-Dean Donny Huijsen-Kepa Arrizabalaga Revuelta-Kepa Arrizabalaga Revuelta-Kepa Arrizabalaga Revuelta-Dean Donny Huijsen-Dean Donny Huijsen-Dean Donny Huijsen-Kepa Arrizabalaga Revuelta-Kepa Arrizabalaga Revuelta-Kepa Arrizabalaga Revuelta-Justin Kluivert,3955781,AFC Bournemouth,Drawn,1,1,First half,1.438911682993708,0.7503981321287161
Block-Pass-Ball Receipt-Carry,Antoine Semenyo-Antoine Semenyo-Francisco Evanilson de Lima Barbosa-Francisco Evanilson de Lima Barbosa,3955798,AFC Bournemouth,Won,3,0,First half,1.693102888298741,0.7073683065225551
Ball Receipt-Carry-Pass,Justin Kluivert-Justin Kluivert-Justin Kluivert,3955801,AFC Bournemouth,Drawn,0,0,First half,0.8231046701781461,0.8431820385838519
Ball Receipt-Carry-Pass-Ball Receipt,Philip Billing-Philip Billing-Philip Billing-Illia Zabarnyi,3955815,AFC Bournemouth,Drawn,2,2,First half,1.028028897778022,0.799861918556038
Pass,Ryan Christie,3955821,AFC Bournemouth,Won,1,0,Second half,1.5078598707520714,0.7468559632035244
Dribbled Past,Ryan Christie,3955838,AFC Bournemouth,Drawn,2,2,Second half,1.593433686986148,0.7280441561492755
Pass-Ball Receipt-Carry,David Brooks-Dango Aboubacar Faissal Ouattara-Dango Aboubacar Faissal Ouattara,3955848,AFC Bournemouth,Won,4,1,Second half,1.336156583186888,0.7447142755813059
Shield,Milos Kerkez,3955851,AFC Bournemouth,Won,5,0,Second half,1.6266305776331706,0.7341631997038984
Block,Milos Kerkez,3955861,AFC Bournemouth,Lost,0,2,Second half,1.75108481048214,0.7012001721018625
Block,Illia Zabarnyi,3955878,AFC Bournemouth,Won,3,1,Second half,1.5018069831904306,0.7357325105888667
Pressure,David Brooks,3955881,AFC Bournemouth,Lost,0,1,Second half,2.027109436595557,0.6830820726252568
Pass-Ball Receipt,Kepa Arrizabalaga Revuelta-Justin Kluivert,3955892,AFC Bournemouth,Lost,1,2,Second half,1.6403097988459054,0.7112949016261574
Pass-Ball Receipt-Pass-Ball Receipt-Carry,Justin Kluivert-Marcus Tavernier-Marcus Tavernier-Ryan Christie-Ryan Christie,3955908,AFC Bournemouth,Drawn,2,2,Second half,1.3941683430932756,0.7145718512019602
Pass,Justin Kluivert,3955911,AFC Bournemouth,Lost,1,2,Second half,1.7522184843508213,0.7133254115588872
Ball Recovery-Carry-Pass-Ball Receipt,Kepa Arrizabalaga Revuelta-Kepa Arrizabalaga Revuelta-Kepa Arrizabalaga Revuelta-Antoine Semenyo,3955921,AFC Bournemouth,Lost,1,2,Second half,1.5470655496729966,0.7348286347541815
Pressure,Adam Smith,3955940,AFC Bournemouth,Drawn,2,2,Second half,1.1088097265720465,0.7655102209897179
Pressure,Antoine Semenyo,3955941,AFC Bournemouth,Won,1,0,Second half,1.3984259663154692,0.7428289226771623
Clearance,Dango Aboubacar Faissal Ouattara,3955953,AFC Bournemouth,Drawn,0,0,Second half,1.4899847345307813,0.7312865744727368
Goal Keeper,Kepa Arrizabalaga Revuelta,3955961,AFC Bournemouth,Drawn,1,1,Second half,1.0558585712840842,0.7971146106547399
Clearance,Dango Aboubacar Faissal Ouattara,3955971,AFC Bournemouth,Won,2,1,Second half,1.6414848405825333,0.7116283130699071
Dispossessed,Adam Smith,3955981,AFC Bournemouth,Lost,0,1,Second half,1.1181707040537088,0.8279326188830087
Ball Recovery-Carry-Pass-Ball Receipt-Carry,Julian Vincente Araujo-Julian Vincente Araujo-Julian Vincente Araujo-Tyler Adams-Tyler Adams,3955999,AFC Bournemouth,Lost,1,3,Second half,1.1302411078407315,0.7786934700252947
Pass,Adam Smith,3956001,AFC Bournemouth,Won,2,0,Second half,2.1673667972034907,0.6879675655393016
