words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pressure,Adam Armstrong,3955635,Southampton,Lost,0,1,First half,1.0358815484141255,0.8137765241493726
Pass-Ball Receipt-Carry,Ben Brereton Díaz-Adam Armstrong-Adam Armstrong,3955635,Southampton,Lost,0,1,First half,1.0358815484141255,0.8137765241493726
Ball Recovery-Carry,Ben Brereton Díaz-Ben Brereton Díaz,3955635,Southampton,Lost,0,1,First half,1.0358815484141255,0.8137765241493726
Pressure,Kyle Walker-Peters,3955635,Southampton,Lost,0,1,First half,1.0358815484141255,0.8137765241493726
Pass,Kyle Walker-Peters,3955635,Southampton,Lost,0,1,First half,1.0358815484141255,0.8137765241493726
Ball Receipt-Carry-Pass-Ball Receipt-Carry,Flynn Downes-Flynn Downes-Flynn Downes-Kyle Walker-Peters-Kyle Walker-Peters,3955635,Southampton,Lost,0,1,First half,1.0358815484141255,0.8137765241493726
Pass,Kyle Walker-Peters,3955635,Southampton,Lost,0,1,First half,1.0358815484141255,0.8137765241493726
Pass-Ball Receipt-Carry,Jack Stephens-Kyle Walker-Peters-Kyle Walker-Peters,3955635,Southampton,Lost,0,1,First half,1.0358815484141255,0.8137765241493726
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Adam Armstrong-Flynn Downes-Flynn Downes-Jan Bednarek-Jan Bednarek-Jan Bednarek-Taylor Harwood-Bellis-Taylor Harwood-Bellis-Taylor Harwood-Bellis-Kyle Walker-Peters-Kyle Walker-Peters-Kyle Walker-Peters-Ben Brereton Díaz-Ben Brereton Díaz-Ben Brereton Díaz,3955635,Southampton,Lost,0,1,First half,1.0358815484141255,0.8137765241493726
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Joe Aribo-Samuel Edozie-Samuel Edozie-Samuel Edozie-Adam Armstrong-Adam Armstrong,3955635,Southampton,Lost,0,1,First half,1.0358815484141255,0.8137765241493726
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Jan Bednarek-Jan Bednarek-Jan Bednarek-Flynn Downes-Flynn Downes-Flynn Downes-William Anthony Patrick Smallbone-William Anthony Patrick Smallbone-William Anthony Patrick Smallbone-Jan Bednarek-Jan Bednarek-Jan Bednarek-Kyle Walker-Peters-Kyle Walker-Peters-Kyle Walker-Peters-Jan Bednarek-Jan Bednarek-Jan Bednarek-Jack Stephens-Jack Stephens-Jack Stephens-Joe Aribo-Joe Aribo,3955635,Southampton,Lost,0,1,First half,1.0358815484141255,0.8137765241493726
Pressure,Ben Brereton Díaz,3955635,Southampton,Lost,0,1,First half,1.0358815484141255,0.8137765241493726
Pass,Ben Brereton Díaz,3955635,Southampton,Lost,0,1,First half,1.0358815484141255,0.8137765241493726
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass,Adam Armstrong-Jack Stephens-Jack Stephens-Samuel Edozie-Samuel Edozie-Samuel Edozie,3955635,Southampton,Lost,0,1,First half,1.0358815484141255,0.8137765241493726
Pass-Ball Receipt-Carry,Samuel Edozie-Ben Brereton Díaz-Ben Brereton Díaz,3955635,Southampton,Lost,0,1,First half,1.0358815484141255,0.8137765241493726
Ball Receipt-Pass,Jan Bednarek-Jan Bednarek,3955635,Southampton,Lost,0,1,First half,1.0358815484141255,0.8137765241493726
Pass-Ball Receipt-Pass,Taylor Harwood-Bellis-William Anthony Patrick Smallbone-William Anthony Patrick Smallbone,3955635,Southampton,Lost,0,1,First half,1.0358815484141255,0.8137765241493726
