words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Lucas Tolentino Coelho de Lima-Guido Rodríguez-Guido Rodríguez-Guido Rodríguez-Konstantinos Mavropanos-Konstantinos Mavropanos-Konstantinos Mavropanos,3955634,West Ham United,Lost,1,2,First half,1.6121136788466262,0.7369029626213676
Pressure-Foul Committed,Lucas Tolentino Coelho de Lima-Lucas Tolentino Coelho de Lima,3955634,West Ham United,Lost,1,2,First half,1.6121136788466262,0.7369029626213676
Pressure,Michail Antonio,3955634,West Ham United,Lost,1,2,First half,1.6121136788466262,0.7369029626213676
Pressure,Jarrod Bowen,3955634,West Ham United,Lost,1,2,First half,1.6121136788466262,0.7369029626213676
Pressure,Konstantinos Mavropanos,3955634,West Ham United,Lost,1,2,First half,1.6121136788466262,0.7369029626213676
Pressure,Konstantinos Mavropanos,3955634,West Ham United,Lost,1,2,First half,1.6121136788466262,0.7369029626213676
Pressure,Lucas Tolentino Coelho de Lima,3955634,West Ham United,Lost,1,2,First half,1.6121136788466262,0.7369029626213676
Shot,Michail Antonio,3955634,West Ham United,Lost,1,2,First half,1.6121136788466262,0.7369029626213676
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Emerson Palmieri dos Santos-Mohammed Kudus-Mohammed Kudus-Lucas Tolentino Coelho de Lima-Lucas Tolentino Coelho de Lima-Lucas Tolentino Coelho de Lima-Vladimír Coufal-Vladimír Coufal-Vladimír Coufal-Michail Antonio,3955634,West Ham United,Lost,1,2,First half,1.6121136788466262,0.7369029626213676
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Konstantinos Mavropanos-Alphonse Areola-Alphonse Areola-Alphonse Areola-Maximilian William Kilman-Maximilian William Kilman-Maximilian William Kilman-Emerson Palmieri dos Santos-Emerson Palmieri dos Santos-Emerson Palmieri dos Santos-Lucas Tolentino Coelho de Lima-Lucas Tolentino Coelho de Lima-Lucas Tolentino Coelho de Lima-Emerson Palmieri dos Santos-Emerson Palmieri dos Santos,3955634,West Ham United,Lost,1,2,First half,1.6121136788466262,0.7369029626213676
