words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass,Matt Doherty,3955633,Wolverhampton Wanderers,Lost,0,2,First half,1.0788820093427325,0.7793725744847358
Ball Receipt-Carry-Pass-Ball Receipt-Carry,Jørgen Strand Larsen-Jørgen Strand Larsen-Jørgen Strand Larsen-Hee-Chan Hwang-Hee-Chan Hwang,3955633,Wolverhampton Wanderers,Lost,0,2,First half,1.0788820093427325,0.7793725744847358
Pass-Ball Receipt-Carry-Pass,Yerson Mosquera Valdelamar-Mario Lemina-Mario Lemina-Mario Lemina,3955633,Wolverhampton Wanderers,Lost,0,2,First half,1.0788820093427325,0.7793725744847358
Ball Recovery,Yerson Mosquera Valdelamar,3955633,Wolverhampton Wanderers,Lost,0,2,First half,1.0788820093427325,0.7793725744847358
Pass,Yerson Mosquera Valdelamar,3955633,Wolverhampton Wanderers,Lost,0,2,First half,1.0788820093427325,0.7793725744847358
Ball Recovery-Carry-Shot,Rayan Aït Nouri-Rayan Aït Nouri-Rayan Aït Nouri,3955633,Wolverhampton Wanderers,Lost,0,2,First half,1.0788820093427325,0.7793725744847358
Pressure,Rodrigo Martins Gomes,3955633,Wolverhampton Wanderers,Lost,0,2,First half,1.0788820093427325,0.7793725744847358
Ball Receipt-Carry-Pass,Hee-Chan Hwang-Hee-Chan Hwang-Hee-Chan Hwang,3955633,Wolverhampton Wanderers,Lost,0,2,First half,1.0788820093427325,0.7793725744847358
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Matt Doherty-Yerson Mosquera Valdelamar-Yerson Mosquera Valdelamar-Yerson Mosquera Valdelamar-Matheus Santos Carneiro da Cunha-Matheus Santos Carneiro da Cunha-Matheus Santos Carneiro da Cunha-Hee-Chan Hwang-Hee-Chan Hwang-Hee-Chan Hwang-João Victor Gomes da Silva-João Victor Gomes da Silva-João Victor Gomes da Silva-Yerson Mosquera Valdelamar-Yerson Mosquera Valdelamar-Yerson Mosquera Valdelamar-Matt Doherty-Matt Doherty-Matt Doherty-João Victor Gomes da Silva-João Victor Gomes da Silva-João Victor Gomes da Silva,3955633,Wolverhampton Wanderers,Lost,0,2,First half,1.0788820093427325,0.7793725744847358
Foul Won-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Matheus Santos Carneiro da Cunha-Matheus Santos Carneiro da Cunha-Hee-Chan Hwang-Hee-Chan Hwang-Hee-Chan Hwang-Matt Doherty-Matt Doherty-Matt Doherty-João Victor Gomes da Silva-João Victor Gomes da Silva-João Victor Gomes da Silva-Yerson Mosquera Valdelamar-Yerson Mosquera Valdelamar-Yerson Mosquera Valdelamar-Tote António Gomes-Tote António Gomes-Tote António Gomes-Mario Lemina-Mario Lemina-Mario Lemina-Tote António Gomes-Tote António Gomes-Tote António Gomes-Matt Doherty-Matt Doherty-Matt Doherty-João Victor Gomes da Silva-João Victor Gomes da Silva-João Victor Gomes da Silva-Yerson Mosquera Valdelamar-Yerson Mosquera Valdelamar-Yerson Mosquera Valdelamar-Matt Doherty-Matt Doherty,3955633,Wolverhampton Wanderers,Lost,0,2,First half,1.0788820093427325,0.7793725744847358
Foul Won-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Hee-Chan Hwang-Yerson Mosquera Valdelamar-João Victor Gomes da Silva-João Victor Gomes da Silva-João Victor Gomes da Silva-Matheus Santos Carneiro da Cunha-Matheus Santos Carneiro da Cunha,3955633,Wolverhampton Wanderers,Lost,0,2,First half,1.0788820093427325,0.7793725744847358
Pass-Ball Receipt-Carry-Miscontrol,Tote António Gomes-Mario Lemina-Mario Lemina-Mario Lemina,3955633,Wolverhampton Wanderers,Lost,0,2,First half,1.0788820093427325,0.7793725744847358
Pass-Ball Receipt-Carry,José Pedro Malheiro de Sá-Tote António Gomes-Tote António Gomes,3955633,Wolverhampton Wanderers,Lost,0,2,First half,1.0788820093427325,0.7793725744847358
Dribble-Carry,Hee-Chan Hwang-Hee-Chan Hwang,3955633,Wolverhampton Wanderers,Lost,0,2,First half,1.0788820093427325,0.7793725744847358
Dribble-Carry,José Pedro Malheiro de Sá-José Pedro Malheiro de Sá,3955633,Wolverhampton Wanderers,Lost,0,2,First half,1.0788820093427325,0.7793725744847358
Pass-Ball Receipt-Carry-Pass,Tote António Gomes-João Victor Gomes da Silva-João Victor Gomes da Silva-João Victor Gomes da Silva,3955633,Wolverhampton Wanderers,Lost,0,2,First half,1.0788820093427325,0.7793725744847358
Foul Won,Rayan Aït Nouri,3955633,Wolverhampton Wanderers,Lost,0,2,First half,1.0788820093427325,0.7793725744847358
Ball Receipt-Carry,Rayan Aït Nouri-Rayan Aït Nouri,3955633,Wolverhampton Wanderers,Lost,0,2,First half,1.0788820093427325,0.7793725744847358
Pass,Matt Doherty,3955633,Wolverhampton Wanderers,Lost,0,2,First half,1.0788820093427325,0.7793725744847358
Duel-Carry,Matt Doherty-Matt Doherty,3955633,Wolverhampton Wanderers,Lost,0,2,First half,1.0788820093427325,0.7793725744847358
Pressure,Matt Doherty,3955633,Wolverhampton Wanderers,Lost,0,2,First half,1.0788820093427325,0.7793725744847358
Pressure,Yerson Mosquera Valdelamar,3955633,Wolverhampton Wanderers,Lost,0,2,First half,1.0788820093427325,0.7793725744847358
Dispossessed,Hee-Chan Hwang,3955633,Wolverhampton Wanderers,Lost,0,2,First half,1.0788820093427325,0.7793725744847358
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Tote António Gomes-Matt Doherty-Matt Doherty-Matt Doherty-Hee-Chan Hwang-Hee-Chan Hwang,3955633,Wolverhampton Wanderers,Lost,0,2,First half,1.0788820093427325,0.7793725744847358
Duel-Carry,Tote António Gomes-Tote António Gomes,3955633,Wolverhampton Wanderers,Lost,0,2,First half,1.0788820093427325,0.7793725744847358
