words,match_id,team_name,outcome
Pass-Ball Receipt-Pass-Ball Receipt,3955632,AFC Bournemouth,Drawn
Pass-Ball Receipt-Pass-Ball Receipt,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Block-Pass-Ball Receipt,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955632,AFC Bournemouth,Drawn
Pass-Ball Receipt,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Foul Committed,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Block,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Block-Pass-Ball Receipt,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Duel,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Duel,3955632,AFC Bournemouth,Drawn
Pass-Ball Receipt-Carry,3955632,AFC Bournemouth,Drawn
Pass-Pressure-Ball Receipt,3955632,AFC Bournemouth,Drawn
Block,3955632,AFC Bournemouth,Drawn
Pass,3955632,AFC Bournemouth,Drawn
Ball Receipt-Pass-Ball Receipt,3955632,AFC Bournemouth,Drawn
Pass-Ball Receipt,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Pass-Ball Receipt-Duel,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Duel-Ball Recovery-Carry,3955632,AFC Bournemouth,Drawn
Dispossessed,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Pass-Ball Receipt-Carry,3955632,AFC Bournemouth,Drawn
Pass-Ball Receipt,3955632,AFC Bournemouth,Drawn
Ball Recovery-Carry,3955632,AFC Bournemouth,Drawn
Pass,3955632,AFC Bournemouth,Drawn
50/50,3955632,AFC Bournemouth,Drawn
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955632,AFC Bournemouth,Drawn
Pass,3955632,AFC Bournemouth,Drawn
Ball Receipt-Pass-Ball Receipt,3955632,AFC Bournemouth,Drawn
Pass-Ball Receipt-Carry-Miscontrol-Pressure,3955632,AFC Bournemouth,Drawn
Dribbled Past,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Block-Pressure,3955632,AFC Bournemouth,Drawn
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Pressure-Ball Receipt,3955632,AFC Bournemouth,Drawn
Duel-Carry,3955632,AFC Bournemouth,Drawn
Foul Won-Dribble,3955632,AFC Bournemouth,Drawn
Ball Recovery-Carry-Shot,3955632,AFC Bournemouth,Drawn
Pass,3955632,AFC Bournemouth,Drawn
Shot-Ball Receipt,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Clearance,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Pass-Ball Receipt,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Duel-Pressure,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Pass-Ball Receipt-Carry,3955632,AFC Bournemouth,Drawn
Foul Won-Injury Stoppage,3955632,AFC Bournemouth,Drawn
Player Off,3955632,AFC Bournemouth,Drawn
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955632,AFC Bournemouth,Drawn
Pass-Ball Receipt-Miscontrol,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
Pressure,3955632,AFC Bournemouth,Drawn
