words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Duel,Lewis Cook-Ryan Christie-Ryan Christie-Ryan Christie-Tyler Adams-Tyler Adams-Tyler Adams-Milos Kerkez-Milos Kerkez,3955731,AFC Bournemouth,Lost,2,3,First half
Pressure-Pressure,Lewis Cook-Milos Kerkez,3955731,AFC Bournemouth,Lost,2,3,First half
Pass-Ball Receipt-Carry-Miscontrol-Foul Committed,Illia Zabarnyi-Francisco Evanilson de Lima Barbosa-Francisco Evanilson de Lima Barbosa-Francisco Evanilson de Lima Barbosa-Ryan Christie,3955731,AFC Bournemouth,Lost,2,3,First half
Pressure,Ryan Christie,3955731,AFC Bournemouth,Lost,2,3,First half
Pressure,Francisco Evanilson de Lima Barbosa,3955731,AFC Bournemouth,Lost,2,3,First half
Pressure,Francisco Evanilson de Lima Barbosa,3955731,AFC Bournemouth,Lost,2,3,First half
Ball Recovery-Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass,Tyler Adams-Illia Zabarnyi-Illia Zabarnyi-Illia Zabarnyi-Adam Smith-Adam Smith-Adam Smith-Kepa Arrizabalaga Revuelta-Kepa Arrizabalaga Revuelta-Kepa Arrizabalaga Revuelta-Antoine Semenyo-Antoine Semenyo,3955731,AFC Bournemouth,Lost,2,3,First half
Pressure,Antoine Semenyo,3955731,AFC Bournemouth,Lost,2,3,First half
Pressure,Francisco Evanilson de Lima Barbosa,3955731,AFC Bournemouth,Lost,2,3,First half
Pressure,Ryan Christie,3955731,AFC Bournemouth,Lost,2,3,First half
Pressure,Lewis Cook,3955731,AFC Bournemouth,Lost,2,3,First half
Pass-Ball Receipt,Tyler Adams-Lewis Cook,3955731,AFC Bournemouth,Lost,2,3,First half
Pressure,Lewis Cook,3955731,AFC Bournemouth,Lost,2,3,First half
Block,Francisco Evanilson de Lima Barbosa,3955731,AFC Bournemouth,Lost,2,3,First half
Ball Recovery-Carry-Dispossessed,Lewis Cook-Lewis Cook-Lewis Cook,3955731,AFC Bournemouth,Lost,2,3,First half
Pass,Tyler Adams,3955731,AFC Bournemouth,Lost,2,3,First half
Ball Receipt,Ryan Christie,3955731,AFC Bournemouth,Lost,2,3,First half
Pressure,Tyler Adams,3955731,AFC Bournemouth,Lost,2,3,First half
Pressure,Marcos Senesi,3955731,AFC Bournemouth,Lost,2,3,First half
Pressure,Lewis Cook,3955731,AFC Bournemouth,Lost,2,3,First half
Pressure,Justin Kluivert,3955731,AFC Bournemouth,Lost,2,3,First half
Block,Justin Kluivert,3955731,AFC Bournemouth,Lost,2,3,First half
Clearance-Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Duel,Illia Zabarnyi-Antoine Semenyo-Antoine Semenyo-Antoine Semenyo-Adam Smith-Adam Smith-Adam Smith-Illia Zabarnyi-Illia Zabarnyi-Illia Zabarnyi-Kepa Arrizabalaga Revuelta-Kepa Arrizabalaga Revuelta-Kepa Arrizabalaga Revuelta-Francisco Evanilson de Lima Barbosa-Francisco Evanilson de Lima Barbosa,3955731,AFC Bournemouth,Lost,2,3,First half
Pressure,Francisco Evanilson de Lima Barbosa,3955731,AFC Bournemouth,Lost,2,3,First half
Pass-Ball Receipt-Carry,Marcos Senesi-Tyler Adams-Tyler Adams,3955731,AFC Bournemouth,Lost,2,3,First half
