words,match_id,team_name,outcome,goals_scored,goals_conceded,season_half
Pressure,3955801,AFC Bournemouth,Drawn,0,0,First half
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass,3955801,AFC Bournemouth,Drawn,0,0,First half
Pressure-Ball Receipt,3955801,AFC Bournemouth,Drawn,0,0,First half
Pressure,3955801,AFC Bournemouth,Drawn,0,0,First half
Pressure,3955801,AFC Bournemouth,Drawn,0,0,First half
Block,3955801,AFC Bournemouth,Drawn,0,0,First half
Pressure,3955801,AFC Bournemouth,Drawn,0,0,First half
Pressure,3955801,AFC Bournemouth,Drawn,0,0,First half
Block,3955801,AFC Bournemouth,Drawn,0,0,First half
Pass,3955801,AFC Bournemouth,Drawn,0,0,First half
Pass-Duel,3955801,AFC Bournemouth,Drawn,0,0,First half
Pressure,3955801,AFC Bournemouth,Drawn,0,0,First half
Pressure,3955801,AFC Bournemouth,Drawn,0,0,First half
Pass-Ball Receipt,3955801,AFC Bournemouth,Drawn,0,0,First half
Pressure,3955801,AFC Bournemouth,Drawn,0,0,First half
Pressure,3955801,AFC Bournemouth,Drawn,0,0,First half
Pressure,3955801,AFC Bournemouth,Drawn,0,0,First half
Pressure,3955801,AFC Bournemouth,Drawn,0,0,First half
Pressure,3955801,AFC Bournemouth,Drawn,0,0,First half
Pressure,3955801,AFC Bournemouth,Drawn,0,0,First half
Dribbled Past-Pressure,3955801,AFC Bournemouth,Drawn,0,0,First half
Clearance,3955801,AFC Bournemouth,Drawn,0,0,First half
Pressure,3955801,AFC Bournemouth,Drawn,0,0,First half
Clearance,3955801,AFC Bournemouth,Drawn,0,0,First half
Pressure-Foul Committed,3955801,AFC Bournemouth,Drawn,0,0,First half
Bad Behaviour,3955801,AFC Bournemouth,Drawn,0,0,First half
Pressure,3955801,AFC Bournemouth,Drawn,0,0,First half
Pressure,3955801,AFC Bournemouth,Drawn,0,0,First half
Ball Recovery-Carry,3955801,AFC Bournemouth,Drawn,0,0,First half
Pass,3955801,AFC Bournemouth,Drawn,0,0,First half
Duel,3955801,AFC Bournemouth,Drawn,0,0,First half
Block,3955801,AFC Bournemouth,Drawn,0,0,First half
Pressure,3955801,AFC Bournemouth,Drawn,0,0,First half
Pass-Ball Receipt-Carry,3955801,AFC Bournemouth,Drawn,0,0,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955801,AFC Bournemouth,Drawn,0,0,First half
Pass-Ball Receipt,3955801,AFC Bournemouth,Drawn,0,0,First half
Duel,3955801,AFC Bournemouth,Drawn,0,0,First half
Pass-Ball Receipt,3955801,AFC Bournemouth,Drawn,0,0,First half
Pressure,3955801,AFC Bournemouth,Drawn,0,0,First half
Pressure,3955801,AFC Bournemouth,Drawn,0,0,First half
Pressure,3955801,AFC Bournemouth,Drawn,0,0,First half
Foul Won-Pass-Ball Receipt-Carry-Pass,3955801,AFC Bournemouth,Drawn,0,0,First half
Pass-Ball Receipt-Carry-Pass,3955801,AFC Bournemouth,Drawn,0,0,First half
Pass-Ball Receipt-Duel,3955801,AFC Bournemouth,Drawn,0,0,First half
50/50,3955801,AFC Bournemouth,Drawn,0,0,First half
Ball Recovery-Carry,3955801,AFC Bournemouth,Drawn,0,0,First half
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass,3955801,AFC Bournemouth,Drawn,0,0,First half
Pressure,3955801,AFC Bournemouth,Drawn,0,0,First half
Interception-Ball Recovery-Carry-Pass,3955801,AFC Bournemouth,Drawn,0,0,First half
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955801,AFC Bournemouth,Drawn,0,0,First half
Foul Won-Pass-Ball Receipt-Pass-Ball Receipt-Pass,3955801,AFC Bournemouth,Drawn,0,0,First half
Ball Receipt-Pass-Ball Receipt,3955801,AFC Bournemouth,Drawn,0,0,First half
Pass,3955801,AFC Bournemouth,Drawn,0,0,First half
Ball Receipt-Pass-Ball Receipt-Carry,3955801,AFC Bournemouth,Drawn,0,0,First half
Miscontrol,3955801,AFC Bournemouth,Drawn,0,0,First half
Pressure,3955801,AFC Bournemouth,Drawn,0,0,First half
Pressure,3955801,AFC Bournemouth,Drawn,0,0,First half
Goal Keeper-Pass-Ball Receipt,3955801,AFC Bournemouth,Drawn,0,0,First half
Pass,3955801,AFC Bournemouth,Drawn,0,0,First half
Pass,3955801,AFC Bournemouth,Drawn,0,0,First half
Ball Receipt-Pass-Ball Receipt-Carry,3955801,AFC Bournemouth,Drawn,0,0,First half
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3955801,AFC Bournemouth,Drawn,0,0,First half
Pass,3955801,AFC Bournemouth,Drawn,0,0,First half
Pressure,3955801,AFC Bournemouth,Drawn,0,0,First half
Pressure,3955801,AFC Bournemouth,Drawn,0,0,First half
Clearance,3955801,AFC Bournemouth,Drawn,0,0,First half
Pass,3955801,AFC Bournemouth,Drawn,0,0,First half
Pressure,3955801,AFC Bournemouth,Drawn,0,0,First half
Pressure-Foul Committed,3955801,AFC Bournemouth,Drawn,0,0,First half
Pressure-Foul Committed,3955801,AFC Bournemouth,Drawn,0,0,First half
Goal Keeper-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Duel,3955801,AFC Bournemouth,Drawn,0,0,First half
Pass-Ball Receipt,3955801,AFC Bournemouth,Drawn,0,0,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt,3955801,AFC Bournemouth,Drawn,0,0,First half
Pressure,3955801,AFC Bournemouth,Drawn,0,0,First half
Ball Recovery-Carry-Dispossessed,3955801,AFC Bournemouth,Drawn,0,0,First half
50/50-Pass-Ball Receipt-Carry,3955801,AFC Bournemouth,Drawn,0,0,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Miscontrol,3955801,AFC Bournemouth,Drawn,0,0,First half
