words,match_id,team_name,outcome,goals_scored,goals_conceded
Pass-Ball Receipt-Carry,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt,3955878,AFC Bournemouth,Won,3,1
Pass,3955878,AFC Bournemouth,Won,3,1
Ball Recovery-Carry,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Duel,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Duel-Ball Recovery-Carry,3955878,AFC Bournemouth,Won,3,1
Dispossessed,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt-Carry,3955878,AFC Bournemouth,Won,3,1
Pass,3955878,AFC Bournemouth,Won,3,1
Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Pressure,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Foul Committed,3955878,AFC Bournemouth,Won,3,1
Shield,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt,3955878,AFC Bournemouth,Won,3,1
Pass,3955878,AFC Bournemouth,Won,3,1
Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt-Carry,3955878,AFC Bournemouth,Won,3,1
Dispossessed,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Duel,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Dribbled Past-Pressure-Pressure,3955878,AFC Bournemouth,Won,3,1
Ball Recovery-Carry-Pass-Ball Receipt,3955878,AFC Bournemouth,Won,3,1
Ball Recovery-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3955878,AFC Bournemouth,Won,3,1
