words,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt-Carry,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Ball Receipt-Carry-Miscontrol-Pressure,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Ball Recovery-Carry-Dribble,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pressure,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pressure,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pressure,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Block,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Clearance,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pressure,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt-Pass-Ball Receipt,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Dispossessed,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pressure,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pressure,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Block-Goal Keeper-Clearance,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pressure,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
Pass-Ball Receipt-Carry,3955711,Brentford,Won,4,3,First half,1.290994201590867,0.7789402961367381
