words,match_id,team_name,outcome
Pass-Ball Receipt,3955632,Nottingham Forest,Drawn
Ball Recovery-Carry-Pass,3955632,Nottingham Forest,Drawn
Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955632,Nottingham Forest,Drawn
Pass,3955632,Nottingham Forest,Drawn
Pass,3955632,Nottingham Forest,Drawn
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Duel,3955632,Nottingham Forest,Drawn
Pressure,3955632,Nottingham Forest,Drawn
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass,3955632,Nottingham Forest,Drawn
Ball Receipt,3955632,Nottingham Forest,Drawn
Foul Won-Pass,3955632,Nottingham Forest,Drawn
Ball Receipt-Carry-Pass,3955632,Nottingham Forest,Drawn
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955632,Nottingham Forest,Drawn
Pass,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt-Carry,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt-Carry,3955632,Nottingham Forest,Drawn
Dribble,3955632,Nottingham Forest,Drawn
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt-Carry,3955632,Nottingham Forest,Drawn
Pass,3955632,Nottingham Forest,Drawn
Ball Receipt-Carry-Dispossessed,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt,3955632,Nottingham Forest,Drawn
Pressure,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt,3955632,Nottingham Forest,Drawn
Pressure,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt,3955632,Nottingham Forest,Drawn
Pass,3955632,Nottingham Forest,Drawn
Ball Receipt-Carry-Pass,3955632,Nottingham Forest,Drawn
Ball Receipt-Carry-Pass-Pressure-Ball Receipt,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt-Carry-Pass,3955632,Nottingham Forest,Drawn
Ball Receipt-Carry-Dribble,3955632,Nottingham Forest,Drawn
Pressure,3955632,Nottingham Forest,Drawn
Duel-Carry-Pass-Ball Receipt-Carry-Pass,3955632,Nottingham Forest,Drawn
Ball Receipt-Carry-Miscontrol-Pressure,3955632,Nottingham Forest,Drawn
Pressure,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt,3955632,Nottingham Forest,Drawn
Pressure,3955632,Nottingham Forest,Drawn
Block,3955632,Nottingham Forest,Drawn
50/50-Clearance,3955632,Nottingham Forest,Drawn
Pressure-Pressure,3955632,Nottingham Forest,Drawn
Pressure,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt,3955632,Nottingham Forest,Drawn
Ball Recovery-Carry-Dribble-Carry,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955632,Nottingham Forest,Drawn
Pass,3955632,Nottingham Forest,Drawn
Ball Receipt-Carry-Pass-Pressure-Ball Receipt,3955632,Nottingham Forest,Drawn
Ball Recovery-Carry-Dribble,3955632,Nottingham Forest,Drawn
Pressure-Foul Committed,3955632,Nottingham Forest,Drawn
Duel-Pressure,3955632,Nottingham Forest,Drawn
Block-Goal Keeper,3955632,Nottingham Forest,Drawn
Duel,3955632,Nottingham Forest,Drawn
Goal Keeper-Pass,3955632,Nottingham Forest,Drawn
Ball Receipt-Carry-Pass-Ball Receipt-Duel,3955632,Nottingham Forest,Drawn
Pass,3955632,Nottingham Forest,Drawn
Ball Receipt-Carry-Pass-Ball Receipt,3955632,Nottingham Forest,Drawn
Block,3955632,Nottingham Forest,Drawn
Ball Recovery-Carry-Pass,3955632,Nottingham Forest,Drawn
Ball Receipt-Carry,3955632,Nottingham Forest,Drawn
Dispossessed,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955632,Nottingham Forest,Drawn
Pass,3955632,Nottingham Forest,Drawn
Pressure-Foul Committed,3955632,Nottingham Forest,Drawn
Injury Stoppage,3955632,Nottingham Forest,Drawn
Substitution,3955632,Nottingham Forest,Drawn
Pressure,3955632,Nottingham Forest,Drawn
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955632,Nottingham Forest,Drawn
Dribble,3955632,Nottingham Forest,Drawn
Dribble,3955632,Nottingham Forest,Drawn
Pressure,3955632,Nottingham Forest,Drawn
Pressure,3955632,Nottingham Forest,Drawn
Pressure,3955632,Nottingham Forest,Drawn
Pressure,3955632,Nottingham Forest,Drawn
Pressure-Pressure,3955632,Nottingham Forest,Drawn
Block-Pressure,3955632,Nottingham Forest,Drawn
Foul Committed,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt-Duel,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3955632,Nottingham Forest,Drawn
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3955632,Nottingham Forest,Drawn
Interception-Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955632,Nottingham Forest,Drawn
Shot,3955632,Nottingham Forest,Drawn
Clearance,3955632,Nottingham Forest,Drawn
Pressure,3955632,Nottingham Forest,Drawn
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt,3955632,Nottingham Forest,Drawn
Pressure,3955632,Nottingham Forest,Drawn
Block,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3955632,Nottingham Forest,Drawn
Pressure,3955632,Nottingham Forest,Drawn
Pass,3955632,Nottingham Forest,Drawn
Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt,3955632,Nottingham Forest,Drawn
Pass,3955632,Nottingham Forest,Drawn
Ball Receipt-Carry-Miscontrol-Pressure,3955632,Nottingham Forest,Drawn
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt-Carry,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt,3955632,Nottingham Forest,Drawn
Duel,3955632,Nottingham Forest,Drawn
50/50-Carry,3955632,Nottingham Forest,Drawn
Pass,3955632,Nottingham Forest,Drawn
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3955632,Nottingham Forest,Drawn
Ball Recovery-Carry-Pass-Ball Receipt-Duel,3955632,Nottingham Forest,Drawn
Ball Recovery,3955632,Nottingham Forest,Drawn
Pressure-Block,3955632,Nottingham Forest,Drawn
Pressure-Foul Committed,3955632,Nottingham Forest,Drawn
Pressure,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt-Pass-Ball Receipt,3955632,Nottingham Forest,Drawn
Pressure,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt-Pass-Ball Receipt,3955632,Nottingham Forest,Drawn
Pressure,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955632,Nottingham Forest,Drawn
Dribble-Carry,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3955632,Nottingham Forest,Drawn
Ball Recovery-Carry-Shot,3955632,Nottingham Forest,Drawn
Ball Recovery-Shot,3955632,Nottingham Forest,Drawn
Block,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt-Pass,3955632,Nottingham Forest,Drawn
Ball Receipt-Carry,3955632,Nottingham Forest,Drawn
Foul Won-Pass-Ball Receipt-Carry-Pass,3955632,Nottingham Forest,Drawn
Duel,3955632,Nottingham Forest,Drawn
Duel,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt-Miscontrol,3955632,Nottingham Forest,Drawn
Duel,3955632,Nottingham Forest,Drawn
Pass,3955632,Nottingham Forest,Drawn
Ball Receipt-Carry-Pass,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt,3955632,Nottingham Forest,Drawn
Pass,3955632,Nottingham Forest,Drawn
Ball Receipt-Carry,3955632,Nottingham Forest,Drawn
Dispossessed,3955632,Nottingham Forest,Drawn
Pressure,3955632,Nottingham Forest,Drawn
Ball Recovery-Carry,3955632,Nottingham Forest,Drawn
Dribble-Carry,3955632,Nottingham Forest,Drawn
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Shot,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt-Carry,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt-Carry,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt-Carry-Pass,3955632,Nottingham Forest,Drawn
Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955632,Nottingham Forest,Drawn
Foul Won-Pass,3955632,Nottingham Forest,Drawn
Block,3955632,Nottingham Forest,Drawn
Pressure,3955632,Nottingham Forest,Drawn
Pressure,3955632,Nottingham Forest,Drawn
Pressure,3955632,Nottingham Forest,Drawn
Pressure,3955632,Nottingham Forest,Drawn
Pressure,3955632,Nottingham Forest,Drawn
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3955632,Nottingham Forest,Drawn
Duel,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass,3955632,Nottingham Forest,Drawn
Ball Receipt-Carry-Pass-Ball Receipt-Duel,3955632,Nottingham Forest,Drawn
Pressure,3955632,Nottingham Forest,Drawn
Duel,3955632,Nottingham Forest,Drawn
50/50-Carry,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955632,Nottingham Forest,Drawn
Foul Won-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt-Carry,3955632,Nottingham Forest,Drawn
Pass,3955632,Nottingham Forest,Drawn
Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955632,Nottingham Forest,Drawn
Shot,3955632,Nottingham Forest,Drawn
Pressure,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt,3955632,Nottingham Forest,Drawn
Ball Recovery-Carry,3955632,Nottingham Forest,Drawn
Shot,3955632,Nottingham Forest,Drawn
Pressure,3955632,Nottingham Forest,Drawn
Block-Goal Keeper-Block,3955632,Nottingham Forest,Drawn
Pressure,3955632,Nottingham Forest,Drawn
Injury Stoppage-Pass-Ball Receipt,3955632,Nottingham Forest,Drawn
Pass,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt,3955632,Nottingham Forest,Drawn
Pass,3955632,Nottingham Forest,Drawn
Ball Receipt-Carry,3955632,Nottingham Forest,Drawn
Dribble-Carry,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt-Carry,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt,3955632,Nottingham Forest,Drawn
Ball Recovery-Carry,3955632,Nottingham Forest,Drawn
Pass,3955632,Nottingham Forest,Drawn
Ball Receipt-Carry-Pass,3955632,Nottingham Forest,Drawn
Ball Receipt-Carry-Dribble-Carry,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3955632,Nottingham Forest,Drawn
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt,3955632,Nottingham Forest,Drawn
Ball Recovery-Carry-Dispossessed,3955632,Nottingham Forest,Drawn
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Miscontrol,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt,3955632,Nottingham Forest,Drawn
Pressure-Foul Committed,3955632,Nottingham Forest,Drawn
Pressure,3955632,Nottingham Forest,Drawn
Block-Ball Recovery,3955632,Nottingham Forest,Drawn
Pressure,3955632,Nottingham Forest,Drawn
Duel,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt-Carry,3955632,Nottingham Forest,Drawn
Dribble-Carry,3955632,Nottingham Forest,Drawn
Pressure,3955632,Nottingham Forest,Drawn
Interception-Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3955632,Nottingham Forest,Drawn
Ball Receipt-Carry-Pass,3955632,Nottingham Forest,Drawn
Ball Receipt-Pass,3955632,Nottingham Forest,Drawn
Pressure,3955632,Nottingham Forest,Drawn
Pass,3955632,Nottingham Forest,Drawn
Ball Receipt-Carry,3955632,Nottingham Forest,Drawn
Foul Won-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt-Carry,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt-Carry-Pass,3955632,Nottingham Forest,Drawn
Ball Receipt-Carry-Pass,3955632,Nottingham Forest,Drawn
Interception-Carry-Dribble,3955632,Nottingham Forest,Drawn
Foul Committed,3955632,Nottingham Forest,Drawn
Pressure,3955632,Nottingham Forest,Drawn
Block,3955632,Nottingham Forest,Drawn
Pressure,3955632,Nottingham Forest,Drawn
Pressure,3955632,Nottingham Forest,Drawn
Pressure,3955632,Nottingham Forest,Drawn
Foul Won-Pass,3955632,Nottingham Forest,Drawn
Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Shot,3955632,Nottingham Forest,Drawn
Ball Recovery-Carry-Pass-Ball Receipt-Shot,3955632,Nottingham Forest,Drawn
Pressure,3955632,Nottingham Forest,Drawn
Pressure,3955632,Nottingham Forest,Drawn
Duel,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt-Carry,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3955632,Nottingham Forest,Drawn
Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955632,Nottingham Forest,Drawn
Dispossessed,3955632,Nottingham Forest,Drawn
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass,3955632,Nottingham Forest,Drawn
Pressure,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt-Pass,3955632,Nottingham Forest,Drawn
Ball Receipt-Carry,3955632,Nottingham Forest,Drawn
Foul Won-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3955632,Nottingham Forest,Drawn
Ball Receipt-Pass-Ball Receipt-Carry,3955632,Nottingham Forest,Drawn
Pass,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt-Carry-Pass-Pressure-Ball Receipt,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt,3955632,Nottingham Forest,Drawn
Pass,3955632,Nottingham Forest,Drawn
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt-Carry-Pass-Ball Receipt,3955632,Nottingham Forest,Drawn
Foul Committed,3955632,Nottingham Forest,Drawn
Interception,3955632,Nottingham Forest,Drawn
Pressure,3955632,Nottingham Forest,Drawn
Ball Recovery-Carry,3955632,Nottingham Forest,Drawn
Dispossessed,3955632,Nottingham Forest,Drawn
Pressure,3955632,Nottingham Forest,Drawn
Pressure,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt-Carry-Pass-Ball Receipt,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt-Carry,3955632,Nottingham Forest,Drawn
Pass-Ball Receipt-Carry-Pass-Ball Receipt,3955632,Nottingham Forest,Drawn
Pressure,3955632,Nottingham Forest,Drawn
Pressure,3955632,Nottingham Forest,Drawn
Duel,3955632,Nottingham Forest,Drawn
Pass,3955632,Nottingham Forest,Drawn
