words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Milos Kerkez-Justin Kluivert-Justin Kluivert-Justin Kluivert-Illia Zabarnyi-Illia Zabarnyi-Illia Zabarnyi-Dean Donny Huijsen-Dean Donny Huijsen-Dean Donny Huijsen-Dango Aboubacar Faissal Ouattara,3955971,AFC Bournemouth,Won,2,1,Second half,1.6414848405825333,0.7116283130699071
Pressure,Lewis Cook,3955971,AFC Bournemouth,Won,2,1,Second half,1.6414848405825333,0.7116283130699071
Pass-Ball Receipt-Pass,Milos Kerkez-Dean Donny Huijsen-Dean Donny Huijsen,3955971,AFC Bournemouth,Won,2,1,Second half,1.6414848405825333,0.7116283130699071
Ball Receipt-Carry,Lewis Cook-Lewis Cook,3955971,AFC Bournemouth,Won,2,1,Second half,1.6414848405825333,0.7116283130699071
Dribble-Carry,Lewis Cook-Lewis Cook,3955971,AFC Bournemouth,Won,2,1,Second half,1.6414848405825333,0.7116283130699071
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Lewis Cook-Dean Donny Huijsen-Dean Donny Huijsen-Dean Donny Huijsen-Illia Zabarnyi-Illia Zabarnyi-Illia Zabarnyi,3955971,AFC Bournemouth,Won,2,1,Second half,1.6414848405825333,0.7116283130699071
Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry,Justin Kluivert-Justin Kluivert-Marcus Tavernier-Marcus Tavernier-Julian Vincente Araujo-Julian Vincente Araujo,3955971,AFC Bournemouth,Won,2,1,Second half,1.6414848405825333,0.7116283130699071
Pass-Ball Receipt-Carry-Pass-Ball Receipt,Julian Vincente Araujo-Illia Zabarnyi-Illia Zabarnyi-Illia Zabarnyi-Marcus Tavernier,3955971,AFC Bournemouth,Won,2,1,Second half,1.6414848405825333,0.7116283130699071
Pressure,Francisco Evanilson de Lima Barbosa,3955971,AFC Bournemouth,Won,2,1,Second half,1.6414848405825333,0.7116283130699071
Pressure,Justin Kluivert,3955971,AFC Bournemouth,Won,2,1,Second half,1.6414848405825333,0.7116283130699071
Pressure,Tyler Adams,3955971,AFC Bournemouth,Won,2,1,Second half,1.6414848405825333,0.7116283130699071
Pressure,Marcus Tavernier,3955971,AFC Bournemouth,Won,2,1,Second half,1.6414848405825333,0.7116283130699071
Pass-Ball Receipt,Julian Vincente Araujo-Lewis Cook,3955971,AFC Bournemouth,Won,2,1,Second half,1.6414848405825333,0.7116283130699071
Ball Recovery-Carry,Lewis Cook-Lewis Cook,3955971,AFC Bournemouth,Won,2,1,Second half,1.6414848405825333,0.7116283130699071
Pass-Ball Receipt-Carry,Lewis Cook-Dean Donny Huijsen-Dean Donny Huijsen,3955971,AFC Bournemouth,Won,2,1,Second half,1.6414848405825333,0.7116283130699071
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass,Dean Donny Huijsen-Tyler Adams-Tyler Adams-Tyler Adams-Dean Donny Huijsen-Dean Donny Huijsen,3955971,AFC Bournemouth,Won,2,1,Second half,1.6414848405825333,0.7116283130699071
Ball Receipt-Carry-Dribble-Carry,Dango Aboubacar Faissal Ouattara-Dango Aboubacar Faissal Ouattara-Dango Aboubacar Faissal Ouattara-Dango Aboubacar Faissal Ouattara,3955971,AFC Bournemouth,Won,2,1,Second half,1.6414848405825333,0.7116283130699071
