words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Pass-Ball Receipt,Martin Ødegaard-David Raya Martin-David Raya Martin-David Raya Martin-Gabriel Fernando de Jesus,3955793,Arsenal,Won,5,1,First half,1.3991956227101723,0.7782988231930956
Pass-Ball Receipt-Carry,Thomas Teye Partey-Myles Anthony Lewis-Skelly-Myles Anthony Lewis-Skelly,3955793,Arsenal,Won,5,1,First half,1.3991956227101723,0.7782988231930956
Pass-Ball Receipt-Carry-Pass-Pressure-Ball Receipt,Myles Anthony Lewis-Skelly-Kai Havertz-Kai Havertz-Kai Havertz-Gabriel Teodoro Martinelli Silva-Gabriel Teodoro Martinelli Silva,3955793,Arsenal,Won,5,1,First half,1.3991956227101723,0.7782988231930956
Pressure,Gabriel dos Santos Magalhães,3955793,Arsenal,Won,5,1,First half,1.3991956227101723,0.7782988231930956
Pass,Myles Anthony Lewis-Skelly,3955793,Arsenal,Won,5,1,First half,1.3991956227101723,0.7782988231930956
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Thomas Teye Partey-Thomas Teye Partey-Thomas Teye Partey-Gabriel dos Santos Magalhães-Gabriel dos Santos Magalhães-Gabriel dos Santos Magalhães-William Saliba-William Saliba-William Saliba-Jurriën David Norman Timber-Jurriën David Norman Timber-Jurriën David Norman Timber-William Saliba-William Saliba-William Saliba-Gabriel dos Santos Magalhães-Gabriel dos Santos Magalhães,3955793,Arsenal,Won,5,1,First half,1.3991956227101723,0.7782988231930956
Pass-Ball Receipt-Carry,Gabriel dos Santos Magalhães-Myles Anthony Lewis-Skelly-Myles Anthony Lewis-Skelly,3955793,Arsenal,Won,5,1,First half,1.3991956227101723,0.7782988231930956
Foul Won-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Myles Anthony Lewis-Skelly-Gabriel dos Santos Magalhães-William Saliba-William Saliba-William Saliba-Jurriën David Norman Timber-Jurriën David Norman Timber-Jurriën David Norman Timber-William Saliba-William Saliba-William Saliba-Gabriel dos Santos Magalhães-Gabriel dos Santos Magalhães-Gabriel dos Santos Magalhães-William Saliba-William Saliba-William Saliba-Martin Ødegaard-Martin Ødegaard-Martin Ødegaard-William Saliba-William Saliba,3955793,Arsenal,Won,5,1,First half,1.3991956227101723,0.7782988231930956
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,William Saliba-David Raya Martin-David Raya Martin-David Raya Martin-Martin Ødegaard-Martin Ødegaard-Martin Ødegaard-Gabriel dos Santos Magalhães-Gabriel dos Santos Magalhães,3955793,Arsenal,Won,5,1,First half,1.3991956227101723,0.7782988231930956
Pass-Ball Receipt-Carry,Gabriel dos Santos Magalhães-David Raya Martin-David Raya Martin,3955793,Arsenal,Won,5,1,First half,1.3991956227101723,0.7782988231930956
Pass,David Raya Martin,3955793,Arsenal,Won,5,1,First half,1.3991956227101723,0.7782988231930956
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Gabriel Fernando de Jesus-Gabriel Fernando de Jesus-Gabriel Fernando de Jesus-Kai Havertz-Kai Havertz-Kai Havertz-Bukayo Saka-Bukayo Saka,3955793,Arsenal,Won,5,1,First half,1.3991956227101723,0.7782988231930956
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Bukayo Saka-Jurriën David Norman Timber-Jurriën David Norman Timber-Jurriën David Norman Timber-William Saliba-William Saliba-William Saliba-Martin Ødegaard-Martin Ødegaard-Martin Ødegaard-Gabriel dos Santos Magalhães-Gabriel dos Santos Magalhães-Gabriel dos Santos Magalhães-William Saliba-William Saliba-William Saliba-Jurriën David Norman Timber-Jurriën David Norman Timber-Jurriën David Norman Timber-David Raya Martin-David Raya Martin-David Raya Martin-William Saliba-William Saliba-William Saliba-Kai Havertz-Kai Havertz-Kai Havertz-Gabriel Fernando de Jesus-Gabriel Fernando de Jesus-Gabriel Fernando de Jesus-William Saliba-William Saliba-William Saliba-Jurriën David Norman Timber-Jurriën David Norman Timber,3955793,Arsenal,Won,5,1,First half,1.3991956227101723,0.7782988231930956
Pass-Ball Receipt-Carry-Pass-Ball Receipt,Jurriën David Norman Timber-David Raya Martin-David Raya Martin-David Raya Martin-Bukayo Saka,3955793,Arsenal,Won,5,1,First half,1.3991956227101723,0.7782988231930956
Pressure,Gabriel Fernando de Jesus,3955793,Arsenal,Won,5,1,First half,1.3991956227101723,0.7782988231930956
Pressure,Martin Ødegaard,3955793,Arsenal,Won,5,1,First half,1.3991956227101723,0.7782988231930956
Pass-Ball Receipt,Jurriën David Norman Timber-Martin Ødegaard,3955793,Arsenal,Won,5,1,First half,1.3991956227101723,0.7782988231930956
Pass-Pressure-Ball Receipt,Bukayo Saka-Gabriel Fernando de Jesus-Gabriel Fernando de Jesus,3955793,Arsenal,Won,5,1,First half,1.3991956227101723,0.7782988231930956
Pressure,Gabriel Fernando de Jesus,3955793,Arsenal,Won,5,1,First half,1.3991956227101723,0.7782988231930956
Pass,Jurriën David Norman Timber,3955793,Arsenal,Won,5,1,First half,1.3991956227101723,0.7782988231930956
Pass,Bukayo Saka,3955793,Arsenal,Won,5,1,First half,1.3991956227101723,0.7782988231930956
Ball Receipt-Carry-Pass-Ball Receipt-Carry,Martin Ødegaard-Martin Ødegaard-Martin Ødegaard-Jurriën David Norman Timber-Jurriën David Norman Timber,3955793,Arsenal,Won,5,1,First half,1.3991956227101723,0.7782988231930956
Dispossessed,Jurriën David Norman Timber,3955793,Arsenal,Won,5,1,First half,1.3991956227101723,0.7782988231930956
50/50-Carry,Jurriën David Norman Timber-Jurriën David Norman Timber,3955793,Arsenal,Won,5,1,First half,1.3991956227101723,0.7782988231930956
Dribble,Jurriën David Norman Timber,3955793,Arsenal,Won,5,1,First half,1.3991956227101723,0.7782988231930956
Pressure,Jurriën David Norman Timber,3955793,Arsenal,Won,5,1,First half,1.3991956227101723,0.7782988231930956
Pressure,Bukayo Saka,3955793,Arsenal,Won,5,1,First half,1.3991956227101723,0.7782988231930956
Duel-Ball Recovery-Pressure,Jurriën David Norman Timber-Thomas Teye Partey-Thomas Teye Partey,3955793,Arsenal,Won,5,1,First half,1.3991956227101723,0.7782988231930956
