words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass,Amadou Onana,3955931,Aston Villa,Won,2,1,Second half,1.8321695354875442,0.6845923554885345
Pass-Ball Receipt-Carry-Miscontrol,Amadou Onana-Morgan Rogers-Morgan Rogers-Morgan Rogers,3955931,Aston Villa,Won,2,1,Second half,1.8321695354875442,0.6845923554885345
Pressure,Morgan Rogers,3955931,Aston Villa,Won,2,1,Second half,1.8321695354875442,0.6845923554885345
Ball Recovery-Carry-Dispossessed,Ian Maatsen-Ian Maatsen-Ian Maatsen,3955931,Aston Villa,Won,2,1,Second half,1.8321695354875442,0.6845923554885345
Pressure,Ian Maatsen,3955931,Aston Villa,Won,2,1,Second half,1.8321695354875442,0.6845923554885345
Pressure,Morgan Rogers,3955931,Aston Villa,Won,2,1,Second half,1.8321695354875442,0.6845923554885345
Block,Morgan Rogers,3955931,Aston Villa,Won,2,1,Second half,1.8321695354875442,0.6845923554885345
Shield,Ian Maatsen,3955931,Aston Villa,Won,2,1,Second half,1.8321695354875442,0.6845923554885345
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Axel Disasi-Damián Emiliano Martínez-Damián Emiliano Martínez-Axel Disasi-Axel Disasi-Axel Disasi-Amadou Onana-Amadou Onana,3955931,Aston Villa,Won,2,1,Second half,1.8321695354875442,0.6845923554885345
Pass-Ball Receipt-Carry-Pass,Amadou Onana-Andrés García Robledo-Andrés García Robledo-Andrés García Robledo,3955931,Aston Villa,Won,2,1,Second half,1.8321695354875442,0.6845923554885345
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Amadou Onana-Amadou Onana-Amadou Onana-Axel Disasi-Axel Disasi-Axel Disasi-Ollie Watkins-Ollie Watkins-Ollie Watkins,3955931,Aston Villa,Won,2,1,Second half,1.8321695354875442,0.6845923554885345
