words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Duel,Sepp van den Berg,3955932,Brentford,Drawn,0,0,Second half,1.4247786612486069,0.7489585639601003
Pressure,Kevin Schade,3955932,Brentford,Drawn,0,0,Second half,1.4247786612486069,0.7489585639601003
Foul Committed,Kevin Schade,3955932,Brentford,Drawn,0,0,Second half,1.4247786612486069,0.7489585639601003
Goal Keeper-Pass,Mark Flekken-Mark Flekken,3955932,Brentford,Drawn,0,0,Second half,1.4247786612486069,0.7489585639601003
Pass-Ball Receipt-Carry-Pass-Pressure,Nathan Michael Collins-Christian Nørgaard-Christian Nørgaard-Christian Nørgaard-Yoane Wissa,3955932,Brentford,Drawn,0,0,Second half,1.4247786612486069,0.7489585639601003
Pressure,Kristoffer Vassbakk Ajer,3955932,Brentford,Drawn,0,0,Second half,1.4247786612486069,0.7489585639601003
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Kristoffer Vassbakk Ajer-Christian Nørgaard-Christian Nørgaard-Nathan Michael Collins-Nathan Michael Collins-Nathan Michael Collins-Mark Flekken-Mark Flekken,3955932,Brentford,Drawn,0,0,Second half,1.4247786612486069,0.7489585639601003
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Mark Flekken-Ehor Yarmolyuk-Ehor Yarmolyuk-Ehor Yarmolyuk-Nathan Michael Collins-Nathan Michael Collins,3955932,Brentford,Drawn,0,0,Second half,1.4247786612486069,0.7489585639601003
Pass-Ball Receipt-Carry,Nathan Michael Collins-Mark Flekken-Mark Flekken,3955932,Brentford,Drawn,0,0,Second half,1.4247786612486069,0.7489585639601003
Pass-Ball Receipt-Carry-Pass-Ball Receipt,Mark Flekken-Nathan Michael Collins-Nathan Michael Collins-Nathan Michael Collins-Kevin Schade,3955932,Brentford,Drawn,0,0,Second half,1.4247786612486069,0.7489585639601003
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Shot,Keane Lewis-Potter-Keane Lewis-Potter-Keane Lewis-Potter-Bryan Mbeumo-Bryan Mbeumo-Bryan Mbeumo-Yoane Wissa-Yoane Wissa,3955932,Brentford,Drawn,0,0,Second half,1.4247786612486069,0.7489585639601003
Pressure,Yoane Wissa,3955932,Brentford,Drawn,0,0,Second half,1.4247786612486069,0.7489585639601003
Pass-Ball Receipt-Carry,Christian Nørgaard-Kevin Schade-Kevin Schade,3955932,Brentford,Drawn,0,0,Second half,1.4247786612486069,0.7489585639601003
Pass,Kevin Schade,3955932,Brentford,Drawn,0,0,Second half,1.4247786612486069,0.7489585639601003
Pass-Ball Receipt,Kristoffer Vassbakk Ajer-Yoane Wissa,3955932,Brentford,Drawn,0,0,Second half,1.4247786612486069,0.7489585639601003
Pressure,Nathan Michael Collins,3955932,Brentford,Drawn,0,0,Second half,1.4247786612486069,0.7489585639601003
Dribbled Past,Nathan Michael Collins,3955932,Brentford,Drawn,0,0,Second half,1.4247786612486069,0.7489585639601003
Pressure,Keane Lewis-Potter,3955932,Brentford,Drawn,0,0,Second half,1.4247786612486069,0.7489585639601003
Pass-Ball Receipt,Mark Flekken-Kristoffer Vassbakk Ajer,3955932,Brentford,Drawn,0,0,Second half,1.4247786612486069,0.7489585639601003
Pass,Kristoffer Vassbakk Ajer,3955932,Brentford,Drawn,0,0,Second half,1.4247786612486069,0.7489585639601003
Pass,Christian Nørgaard,3955932,Brentford,Drawn,0,0,Second half,1.4247786612486069,0.7489585639601003
Ball Receipt-Carry-Dispossessed,Bryan Mbeumo-Bryan Mbeumo-Bryan Mbeumo,3955932,Brentford,Drawn,0,0,Second half,1.4247786612486069,0.7489585639601003
