words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pressure,Pervis Josué Estupiñán Tenorio,3955732,Brighton & Hove Albion,Won,2,1,First half,0.7112680861718038,0.8512111366080785
Clearance,Igor Julio dos Santos de Paulo,3955732,Brighton & Hove Albion,Won,2,1,First half,0.7112680861718038,0.8512111366080785
Pressure,Kaoru Mitoma,3955732,Brighton & Hove Albion,Won,2,1,First half,0.7112680861718038,0.8512111366080785
Pressure,Yasin Abbas Ayari,3955732,Brighton & Hove Albion,Won,2,1,First half,0.7112680861718038,0.8512111366080785
Block,Yasin Abbas Ayari,3955732,Brighton & Hove Albion,Won,2,1,First half,0.7112680861718038,0.8512111366080785
Pressure-Foul Committed,Jan Paul van Hecke-Jan Paul van Hecke,3955732,Brighton & Hove Albion,Won,2,1,First half,0.7112680861718038,0.8512111366080785
Pressure,Jan Paul van Hecke,3955732,Brighton & Hove Albion,Won,2,1,First half,0.7112680861718038,0.8512111366080785
Pressure,Joël Veltman,3955732,Brighton & Hove Albion,Won,2,1,First half,0.7112680861718038,0.8512111366080785
Block,Simon Adingra,3955732,Brighton & Hove Albion,Won,2,1,First half,0.7112680861718038,0.8512111366080785
Ball Recovery-Carry,Georginio Rutter-Georginio Rutter,3955732,Brighton & Hove Albion,Won,2,1,First half,0.7112680861718038,0.8512111366080785
Pass-Ball Receipt-Carry-Miscontrol-Pressure,Georginio Rutter-Simon Adingra-Simon Adingra-Simon Adingra-Simon Adingra,3955732,Brighton & Hove Albion,Won,2,1,First half,0.7112680861718038,0.8512111366080785
Pressure,Kaoru Mitoma,3955732,Brighton & Hove Albion,Won,2,1,First half,0.7112680861718038,0.8512111366080785
Pressure,Daniel Nii Tackie Mensah Welbeck,3955732,Brighton & Hove Albion,Won,2,1,First half,0.7112680861718038,0.8512111366080785
Goal Keeper,Bart Verbruggen,3955732,Brighton & Hove Albion,Won,2,1,First half,0.7112680861718038,0.8512111366080785
Pressure,Georginio Rutter,3955732,Brighton & Hove Albion,Won,2,1,First half,0.7112680861718038,0.8512111366080785
Pressure,Kaoru Mitoma,3955732,Brighton & Hove Albion,Won,2,1,First half,0.7112680861718038,0.8512111366080785
Pressure,Pervis Josué Estupiñán Tenorio,3955732,Brighton & Hove Albion,Won,2,1,First half,0.7112680861718038,0.8512111366080785
Pressure,Yasin Abbas Ayari,3955732,Brighton & Hove Albion,Won,2,1,First half,0.7112680861718038,0.8512111366080785
Pressure,Daniel Nii Tackie Mensah Welbeck,3955732,Brighton & Hove Albion,Won,2,1,First half,0.7112680861718038,0.8512111366080785
Pressure,Yasin Abbas Ayari,3955732,Brighton & Hove Albion,Won,2,1,First half,0.7112680861718038,0.8512111366080785
Pressure,Kaoru Mitoma,3955732,Brighton & Hove Albion,Won,2,1,First half,0.7112680861718038,0.8512111366080785
Pressure,Daniel Nii Tackie Mensah Welbeck,3955732,Brighton & Hove Albion,Won,2,1,First half,0.7112680861718038,0.8512111366080785
Ball Recovery,Yasin Abbas Ayari,3955732,Brighton & Hove Albion,Won,2,1,First half,0.7112680861718038,0.8512111366080785
Pressure,Yasin Abbas Ayari,3955732,Brighton & Hove Albion,Won,2,1,First half,0.7112680861718038,0.8512111366080785
Pressure,Pervis Josué Estupiñán Tenorio,3955732,Brighton & Hove Albion,Won,2,1,First half,0.7112680861718038,0.8512111366080785
Pressure,Daniel Nii Tackie Mensah Welbeck,3955732,Brighton & Hove Albion,Won,2,1,First half,0.7112680861718038,0.8512111366080785
Pressure,Kaoru Mitoma,3955732,Brighton & Hove Albion,Won,2,1,First half,0.7112680861718038,0.8512111366080785
Pressure,Georginio Rutter,3955732,Brighton & Hove Albion,Won,2,1,First half,0.7112680861718038,0.8512111366080785
Pressure,Kaoru Mitoma,3955732,Brighton & Hove Albion,Won,2,1,First half,0.7112680861718038,0.8512111366080785
Pressure,Pervis Josué Estupiñán Tenorio,3955732,Brighton & Hove Albion,Won,2,1,First half,0.7112680861718038,0.8512111366080785
Dribbled Past-Foul Committed,Pervis Josué Estupiñán Tenorio-Pervis Josué Estupiñán Tenorio,3955732,Brighton & Hove Albion,Won,2,1,First half,0.7112680861718038,0.8512111366080785
Pressure,Jack Hinshelwood,3955732,Brighton & Hove Albion,Won,2,1,First half,0.7112680861718038,0.8512111366080785
Duel-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Jack Hinshelwood-Pervis Josué Estupiñán Tenorio-Igor Julio dos Santos de Paulo-Igor Julio dos Santos de Paulo-Igor Julio dos Santos de Paulo-Jack Hinshelwood-Jack Hinshelwood-Jack Hinshelwood-Kaoru Mitoma-Kaoru Mitoma,3955732,Brighton & Hove Albion,Won,2,1,First half,0.7112680861718038,0.8512111366080785
Dribble,Kaoru Mitoma,3955732,Brighton & Hove Albion,Won,2,1,First half,0.7112680861718038,0.8512111366080785
Pass-Block,Kaoru Mitoma-Kaoru Mitoma,3955732,Brighton & Hove Albion,Won,2,1,First half,0.7112680861718038,0.8512111366080785
Pressure-Pressure,Jack Hinshelwood-Yasin Abbas Ayari,3955732,Brighton & Hove Albion,Won,2,1,First half,0.7112680861718038,0.8512111366080785
