words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pressure,Pedro Lomba Neto,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Pass,Oluwatosin Adarabioyo,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Pass-Ball Receipt-Carry,Levi Colwill-Enzo Fernandez-Enzo Fernandez,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Pass,Enzo Fernandez,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Pass-Ball Receipt-Carry-Pass-Pressure-Ball Receipt,Levi Colwill-Marc Cucurella Saseta-Marc Cucurella Saseta-Marc Cucurella Saseta-Jadon Sancho-Jadon Sancho,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Miscontrol-Pressure,Marc Cucurella Saseta-Pedro Lomba Neto-Pedro Lomba Neto-Marc Cucurella Saseta-Marc Cucurella Saseta-Marc Cucurella Saseta-Cole Palmer-Cole Palmer-Cole Palmer-Cole Palmer,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Ball Recovery-Carry,Jadon Sancho-Jadon Sancho,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Dribble,Jadon Sancho,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Pass-Ball Receipt-Carry,Marc Cucurella Saseta-Jadon Sancho-Jadon Sancho,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Pass-Ball Receipt-Carry,Jadon Sancho-Moisés Isaac Caicedo Corozo-Moisés Isaac Caicedo Corozo,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Pass-Ball Receipt-Carry,Moisés Isaac Caicedo Corozo-Cole Palmer-Cole Palmer,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Dribble,Cole Palmer,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Pass-Ball Receipt-Pass,Pedro Lomba Neto-Cole Palmer-Cole Palmer,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Pass-Ball Receipt-Carry-Pass,Reece James-Moisés Isaac Caicedo Corozo-Moisés Isaac Caicedo Corozo-Moisés Isaac Caicedo Corozo,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Pressure,Moisés Isaac Caicedo Corozo,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Pass-Ball Receipt,Levi Colwill-Jadon Sancho,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Oluwatosin Adarabioyo-Oluwatosin Adarabioyo-Oluwatosin Adarabioyo-Robert Lynch Sanchez-Robert Lynch Sanchez-Robert Lynch Sanchez-Chukwunonso Madueke,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Pressure,Pedro Lomba Neto,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Pressure,Reece James,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Duel,Reece James,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Pressure,Marc Cucurella Saseta,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Pressure,Jadon Sancho,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Clearance,Levi Colwill,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Pressure-Pressure,Cole Palmer-Chukwunonso Madueke,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Duel,Chukwunonso Madueke,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Clearance,Cole Palmer,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Clearance-Clearance,Marc Cucurella Saseta-Jadon Sancho,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Pressure-Pressure,Cole Palmer-Marc Cucurella Saseta,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Dribbled Past-Pressure,Marc Cucurella Saseta-Moisés Isaac Caicedo Corozo,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Duel-Carry-Pass-Ball Receipt,Moisés Isaac Caicedo Corozo-Moisés Isaac Caicedo Corozo-Moisés Isaac Caicedo Corozo-Pedro Lomba Neto,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Pressure,Moisés Isaac Caicedo Corozo,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
50/50-Carry,Moisés Isaac Caicedo Corozo-Moisés Isaac Caicedo Corozo,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Foul Won-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Moisés Isaac Caicedo Corozo-Levi Colwill-Oluwatosin Adarabioyo-Oluwatosin Adarabioyo-Reece James-Reece James-Reece James-Chukwunonso Madueke-Chukwunonso Madueke,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Pass-Ball Receipt-Carry,Chukwunonso Madueke-Reece James-Reece James,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Pass-Ball Receipt-Carry,Reece James-Oluwatosin Adarabioyo-Oluwatosin Adarabioyo,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Oluwatosin Adarabioyo-Levi Colwill-Levi Colwill-Levi Colwill-Cole Palmer-Cole Palmer-Cole Palmer-Levi Colwill-Levi Colwill-Levi Colwill,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Ball Receipt-Carry-Pass,Robert Lynch Sanchez-Robert Lynch Sanchez-Robert Lynch Sanchez,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Oluwatosin Adarabioyo-Reece James-Reece James-Reece James-Enzo Fernandez-Enzo Fernandez,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Pass-Ball Receipt,Enzo Fernandez-Jadon Sancho,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Pressure,Pedro Lomba Neto,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Pressure,Marc Cucurella Saseta,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Clearance,Levi Colwill,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Clearance-Duel,Marc Cucurella Saseta-Enzo Fernandez,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Clearance-Pressure,Levi Colwill-Jadon Sancho,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Pass-Ball Receipt-Carry-Pass-Ball Receipt,Chukwunonso Madueke-Pedro Lomba Neto-Pedro Lomba Neto-Pedro Lomba Neto-Jadon Sancho,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Reece James-Chukwunonso Madueke-Chukwunonso Madueke-Chukwunonso Madueke-Reece James-Reece James,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Reece James-Moisés Isaac Caicedo Corozo-Moisés Isaac Caicedo Corozo-Moisés Isaac Caicedo Corozo-Reece James-Reece James-Reece James-Oluwatosin Adarabioyo-Oluwatosin Adarabioyo-Oluwatosin Adarabioyo-Levi Colwill-Levi Colwill-Levi Colwill-Cole Palmer-Cole Palmer,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Cole Palmer-Levi Colwill-Levi Colwill-Levi Colwill-Reece James-Reece James-Reece James-Chukwunonso Madueke-Chukwunonso Madueke-Chukwunonso Madueke-Enzo Fernandez,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Reece James-Chukwunonso Madueke-Chukwunonso Madueke-Chukwunonso Madueke-Reece James-Reece James-Reece James,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Pressure,Enzo Fernandez,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Pass,Reece James,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Ball Receipt-Carry-Pass,Chukwunonso Madueke-Chukwunonso Madueke-Chukwunonso Madueke,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Ball Receipt-Carry-Pass-Ball Receipt,Moisés Isaac Caicedo Corozo-Moisés Isaac Caicedo Corozo-Moisés Isaac Caicedo Corozo-Reece James,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Interception,Marc Cucurella Saseta,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Pass-Ball Receipt-Carry,Levi Colwill-Robert Lynch Sanchez-Robert Lynch Sanchez,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Pass-Ball Receipt,Robert Lynch Sanchez-Chukwunonso Madueke,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Duel,Chukwunonso Madueke,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Enzo Fernandez-Enzo Fernandez-Enzo Fernandez-Reece James-Reece James-Reece James-Chukwunonso Madueke-Chukwunonso Madueke,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Chukwunonso Madueke-Oluwatosin Adarabioyo-Oluwatosin Adarabioyo-Oluwatosin Adarabioyo-Levi Colwill-Levi Colwill-Levi Colwill-Cole Palmer-Cole Palmer,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Cole Palmer-Levi Colwill-Levi Colwill-Levi Colwill-Oluwatosin Adarabioyo-Oluwatosin Adarabioyo-Oluwatosin Adarabioyo-Reece James-Reece James-Reece James-Chukwunonso Madueke-Chukwunonso Madueke,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Dribble-Carry,Chukwunonso Madueke-Chukwunonso Madueke,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Chukwunonso Madueke-Pedro Lomba Neto-Pedro Lomba Neto-Pedro Lomba Neto-Enzo Fernandez-Enzo Fernandez-Enzo Fernandez,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Pass-Ball Receipt-Carry-Miscontrol,Levi Colwill-Enzo Fernandez-Enzo Fernandez-Enzo Fernandez,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Pass-Ball Receipt-Carry,Reece James-Chukwunonso Madueke-Chukwunonso Madueke,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Chukwunonso Madueke-Levi Colwill-Levi Colwill-Levi Colwill-Oluwatosin Adarabioyo-Oluwatosin Adarabioyo-Oluwatosin Adarabioyo-Levi Colwill-Levi Colwill-Levi Colwill-Oluwatosin Adarabioyo-Oluwatosin Adarabioyo-Oluwatosin Adarabioyo-Enzo Fernandez-Enzo Fernandez-Enzo Fernandez-Chukwunonso Madueke-Chukwunonso Madueke,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Shot,Chukwunonso Madueke,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
Ball Recovery-Carry,Jadon Sancho-Jadon Sancho,3956007,Chelsea,Won,1,0,Second half,1.3929192530904446,0.7469034090210934
