words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Duel,Eberechi Eze-Marc Guehi-Marc Guehi-Marc Guehi-Ismaïla Sarr-Ismaïla Sarr,3955694,Crystal Palace,Lost,0,1,First half,1.0177130830833827,0.7496412029772798
Duel,Adam Wharton,3955694,Crystal Palace,Lost,0,1,First half,1.0177130830833827,0.7496412029772798
Pressure-Pressure,Adam Wharton-Ismaïla Sarr,3955694,Crystal Palace,Lost,0,1,First half,1.0177130830833827,0.7496412029772798
Pressure,Daniel Muñoz Mejía,3955694,Crystal Palace,Lost,0,1,First half,1.0177130830833827,0.7496412029772798
Duel,Daniel Muñoz Mejía,3955694,Crystal Palace,Lost,0,1,First half,1.0177130830833827,0.7496412029772798
Pass,Jefferson Andrés Lerma Solís,3955694,Crystal Palace,Lost,0,1,First half,1.0177130830833827,0.7496412029772798
Ball Receipt-Carry-Pass-Ball Receipt-Carry,Eberechi Eze-Eberechi Eze-Eberechi Eze-Adam Wharton-Adam Wharton,3955694,Crystal Palace,Lost,0,1,First half,1.0177130830833827,0.7496412029772798
Pass,Adam Wharton,3955694,Crystal Palace,Lost,0,1,First half,1.0177130830833827,0.7496412029772798
Ball Receipt-Carry-Pass-Ball Receipt,Ismaïla Sarr-Ismaïla Sarr-Ismaïla Sarr-Edward Nketiah,3955694,Crystal Palace,Lost,0,1,First half,1.0177130830833827,0.7496412029772798
Pressure,Eberechi Eze,3955694,Crystal Palace,Lost,0,1,First half,1.0177130830833827,0.7496412029772798
Pressure,Maxence Lacroix,3955694,Crystal Palace,Lost,0,1,First half,1.0177130830833827,0.7496412029772798
Pressure,Jefferson Andrés Lerma Solís,3955694,Crystal Palace,Lost,0,1,First half,1.0177130830833827,0.7496412029772798
Dribbled Past-Pressure,Jefferson Andrés Lerma Solís-Adam Wharton,3955694,Crystal Palace,Lost,0,1,First half,1.0177130830833827,0.7496412029772798
Pressure,Tyrick Mitchell,3955694,Crystal Palace,Lost,0,1,First half,1.0177130830833827,0.7496412029772798
Duel-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Tyrick Mitchell-Marc Guehi-Eberechi Eze-Eberechi Eze-Eberechi Eze-Edward Nketiah-Edward Nketiah-Edward Nketiah-Ismaïla Sarr,3955694,Crystal Palace,Lost,0,1,First half,1.0177130830833827,0.7496412029772798
Block,Ismaïla Sarr,3955694,Crystal Palace,Lost,0,1,First half,1.0177130830833827,0.7496412029772798
Block,Ismaïla Sarr,3955694,Crystal Palace,Lost,0,1,First half,1.0177130830833827,0.7496412029772798
Ball Recovery,Maxence Lacroix,3955694,Crystal Palace,Lost,0,1,First half,1.0177130830833827,0.7496412029772798
Pressure,Edward Nketiah,3955694,Crystal Palace,Lost,0,1,First half,1.0177130830833827,0.7496412029772798
Block,Edward Nketiah,3955694,Crystal Palace,Lost,0,1,First half,1.0177130830833827,0.7496412029772798
Pressure,Edward Nketiah,3955694,Crystal Palace,Lost,0,1,First half,1.0177130830833827,0.7496412029772798
Pressure,Ismaïla Sarr,3955694,Crystal Palace,Lost,0,1,First half,1.0177130830833827,0.7496412029772798
Pressure,Jefferson Andrés Lerma Solís,3955694,Crystal Palace,Lost,0,1,First half,1.0177130830833827,0.7496412029772798
Pressure,Trevoh Chalobah,3955694,Crystal Palace,Lost,0,1,First half,1.0177130830833827,0.7496412029772798
Block-Pressure,Trevoh Chalobah-Jefferson Andrés Lerma Solís,3955694,Crystal Palace,Lost,0,1,First half,1.0177130830833827,0.7496412029772798
Pressure,Tyrick Mitchell,3955694,Crystal Palace,Lost,0,1,First half,1.0177130830833827,0.7496412029772798
Duel,Tyrick Mitchell,3955694,Crystal Palace,Lost,0,1,First half,1.0177130830833827,0.7496412029772798
Pressure,Tyrick Mitchell,3955694,Crystal Palace,Lost,0,1,First half,1.0177130830833827,0.7496412029772798
Pressure,Eberechi Eze,3955694,Crystal Palace,Lost,0,1,First half,1.0177130830833827,0.7496412029772798
Pressure,Daniel Muñoz Mejía,3955694,Crystal Palace,Lost,0,1,First half,1.0177130830833827,0.7496412029772798
Pressure,Daniel Muñoz Mejía,3955694,Crystal Palace,Lost,0,1,First half,1.0177130830833827,0.7496412029772798
Pressure,Edward Nketiah,3955694,Crystal Palace,Lost,0,1,First half,1.0177130830833827,0.7496412029772798
Pressure,Tyrick Mitchell,3955694,Crystal Palace,Lost,0,1,First half,1.0177130830833827,0.7496412029772798
Pressure,Daniel Muñoz Mejía,3955694,Crystal Palace,Lost,0,1,First half,1.0177130830833827,0.7496412029772798
Pressure,Ismaïla Sarr,3955694,Crystal Palace,Lost,0,1,First half,1.0177130830833827,0.7496412029772798
Interception,Trevoh Chalobah,3955694,Crystal Palace,Lost,0,1,First half,1.0177130830833827,0.7496412029772798
Pressure,Edward Nketiah,3955694,Crystal Palace,Lost,0,1,First half,1.0177130830833827,0.7496412029772798
Pressure,Eberechi Eze,3955694,Crystal Palace,Lost,0,1,First half,1.0177130830833827,0.7496412029772798
