words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Pass-Ball Receipt,Idrissa Gana Gueye-Jordan Pickford-Jordan Pickford-Jordan Pickford-Armando Broja,3955814,Everton,Lost,0,2,First half,1.3640426132820753,0.7575593670762569
Pass,Armando Broja,3955814,Everton,Lost,0,2,First half,1.3640426132820753,0.7575593670762569
Pass,Ashley Young,3955814,Everton,Lost,0,2,First half,1.3640426132820753,0.7575593670762569
Ball Receipt-Carry-Pass,Orel Mangala-Orel Mangala-Orel Mangala,3955814,Everton,Lost,0,2,First half,1.3640426132820753,0.7575593670762569
Ball Receipt-Carry-Pass-Ball Receipt-Carry,Jack Harrison-Jack Harrison-Jack Harrison-Idrissa Gana Gueye-Idrissa Gana Gueye,3955814,Everton,Lost,0,2,First half,1.3640426132820753,0.7575593670762569
Pass,Idrissa Gana Gueye,3955814,Everton,Lost,0,2,First half,1.3640426132820753,0.7575593670762569
Ball Receipt-Pass,Armando Broja-Armando Broja,3955814,Everton,Lost,0,2,First half,1.3640426132820753,0.7575593670762569
Ball Receipt-Carry,Jack Harrison-Jack Harrison,3955814,Everton,Lost,0,2,First half,1.3640426132820753,0.7575593670762569
Foul Won-Pass-Ball Receipt-Carry-Pass,Jack Harrison-Ashley Young-Jack Harrison-Jack Harrison-Jack Harrison,3955814,Everton,Lost,0,2,First half,1.3640426132820753,0.7575593670762569
Pass-Ball Receipt-Pass-Duel,Idrissa Gana Gueye-Orel Mangala-Orel Mangala-Abdoulaye Doucouré,3955814,Everton,Lost,0,2,First half,1.3640426132820753,0.7575593670762569
Duel,Armando Broja,3955814,Everton,Lost,0,2,First half,1.3640426132820753,0.7575593670762569
Pressure,Vitalii Mykolenko,3955814,Everton,Lost,0,2,First half,1.3640426132820753,0.7575593670762569
Pressure-Pressure,Idrissa Gana Gueye-Iliman Ndiaye,3955814,Everton,Lost,0,2,First half,1.3640426132820753,0.7575593670762569
Pass-Ball Receipt-Carry,Vitalii Mykolenko-Iliman Ndiaye-Iliman Ndiaye,3955814,Everton,Lost,0,2,First half,1.3640426132820753,0.7575593670762569
Pass-Ball Receipt-Carry-Pass,Iliman Ndiaye-James Tarkowski-James Tarkowski-James Tarkowski,3955814,Everton,Lost,0,2,First half,1.3640426132820753,0.7575593670762569
Ball Receipt-Pass,Ashley Young-Ashley Young,3955814,Everton,Lost,0,2,First half,1.3640426132820753,0.7575593670762569
Pass-Ball Receipt-Pass,Jarrad Branthwaite-Idrissa Gana Gueye-Idrissa Gana Gueye,3955814,Everton,Lost,0,2,First half,1.3640426132820753,0.7575593670762569
Ball Receipt-Duel,Ashley Young-Ashley Young,3955814,Everton,Lost,0,2,First half,1.3640426132820753,0.7575593670762569
Pass-Ball Receipt-Pass-Ball Receipt,Ashley Young-Jack Harrison-Jack Harrison-Armando Broja,3955814,Everton,Lost,0,2,First half,1.3640426132820753,0.7575593670762569
Pass-Ball Receipt-Carry,Ashley Young-Idrissa Gana Gueye-Idrissa Gana Gueye,3955814,Everton,Lost,0,2,First half,1.3640426132820753,0.7575593670762569
Pass,Idrissa Gana Gueye,3955814,Everton,Lost,0,2,First half,1.3640426132820753,0.7575593670762569
Pressure,Orel Mangala,3955814,Everton,Lost,0,2,First half,1.3640426132820753,0.7575593670762569
Pass-Ball Receipt-Carry,James Tarkowski-Jordan Pickford-Jordan Pickford,3955814,Everton,Lost,0,2,First half,1.3640426132820753,0.7575593670762569
Pass-Ball Receipt,Jordan Pickford-Jack Harrison,3955814,Everton,Lost,0,2,First half,1.3640426132820753,0.7575593670762569
