words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Clearance,Calvin Bassey Ughelumba,3955846,Fulham,Won,2,0,Second half,1.4244697960484016,0.7709124637364742
Clearance-Ball Recovery,Calvin Bassey Ughelumba-Alex Iwobi,3955846,Fulham,Won,2,0,Second half,1.4244697960484016,0.7709124637364742
Pressure,Antonee Robinson,3955846,Fulham,Won,2,0,Second half,1.4244697960484016,0.7709124637364742
Duel-Carry,Antonee Robinson-Antonee Robinson,3955846,Fulham,Won,2,0,Second half,1.4244697960484016,0.7709124637364742
Miscontrol,Antonee Robinson,3955846,Fulham,Won,2,0,Second half,1.4244697960484016,0.7709124637364742
Clearance-Clearance-Duel,Antonee Robinson-Raúl Alonso Jiménez Rodríguez-Emile Smith Rowe,3955846,Fulham,Won,2,0,Second half,1.4244697960484016,0.7709124637364742
Clearance-Clearance,Joachim Andersen-Saša Lukić,3955846,Fulham,Won,2,0,Second half,1.4244697960484016,0.7709124637364742
Pressure,Raúl Alonso Jiménez Rodríguez,3955846,Fulham,Won,2,0,Second half,1.4244697960484016,0.7709124637364742
Pressure,Calvin Bassey Ughelumba,3955846,Fulham,Won,2,0,Second half,1.4244697960484016,0.7709124637364742
Goal Keeper-Block,Bernd Leno-Calvin Bassey Ughelumba,3955846,Fulham,Won,2,0,Second half,1.4244697960484016,0.7709124637364742
Clearance-Ball Recovery,Calvin Bassey Ughelumba-Harry Wilson,3955846,Fulham,Won,2,0,Second half,1.4244697960484016,0.7709124637364742
Pressure,Saša Lukić,3955846,Fulham,Won,2,0,Second half,1.4244697960484016,0.7709124637364742
Duel,Harry Wilson,3955846,Fulham,Won,2,0,Second half,1.4244697960484016,0.7709124637364742
Pass,Joachim Andersen,3955846,Fulham,Won,2,0,Second half,1.4244697960484016,0.7709124637364742
Pressure,Saša Lukić,3955846,Fulham,Won,2,0,Second half,1.4244697960484016,0.7709124637364742
Pressure,Alex Iwobi,3955846,Fulham,Won,2,0,Second half,1.4244697960484016,0.7709124637364742
Pressure,Harry Wilson,3955846,Fulham,Won,2,0,Second half,1.4244697960484016,0.7709124637364742
