words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pressure,George Hirst,3955711,Ipswich Town,Lost,3,4,First half,1.363707899698139,0.7661615010730807
Pressure,Leif Davis,3955711,Ipswich Town,Lost,3,4,First half,1.363707899698139,0.7661615010730807
Block-Pass-Ball Receipt-Miscontrol,Leif Davis-Jens-Lys Michel Cajuste-George Hirst-George Hirst,3955711,Ipswich Town,Lost,3,4,First half,1.363707899698139,0.7661615010730807
Pressure,Leif Davis,3955711,Ipswich Town,Lost,3,4,First half,1.363707899698139,0.7661615010730807
Pressure,Cameron Burgess,3955711,Ipswich Town,Lost,3,4,First half,1.363707899698139,0.7661615010730807
Ball Recovery-Pressure,Conor Chaplin-Conor Chaplin,3955711,Ipswich Town,Lost,3,4,First half,1.363707899698139,0.7661615010730807
Duel-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Conor Chaplin-Jens-Lys Michel Cajuste-Cameron Burgess-Cameron Burgess-Cameron Burgess-Arijanet Murić-Arijanet Murić,3955711,Ipswich Town,Lost,3,4,First half,1.363707899698139,0.7661615010730807
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Arijanet Murić-Cameron Burgess-Cameron Burgess-Cameron Burgess-Leif Davis-Leif Davis-Leif Davis-George Hirst-George Hirst-George Hirst,3955711,Ipswich Town,Lost,3,4,First half,1.363707899698139,0.7661615010730807
Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Conor Chaplin-Conor Chaplin-Kalvin Phillips-Kalvin Phillips-Chiedozie Ogbene-Chiedozie Ogbene-Chiedozie Ogbene-Kalvin Phillips-Kalvin Phillips-Kalvin Phillips-Chiedozie Ogbene-Chiedozie Ogbene-Chiedozie Ogbene,3955711,Ipswich Town,Lost,3,4,First half,1.363707899698139,0.7661615010730807
Ball Receipt-Pass-Ball Receipt-Carry-Pass,Harrison Clarke-Harrison Clarke-Chiedozie Ogbene-Chiedozie Ogbene-Chiedozie Ogbene,3955711,Ipswich Town,Lost,3,4,First half,1.363707899698139,0.7661615010730807
Pass,Leif Davis,3955711,Ipswich Town,Lost,3,4,First half,1.363707899698139,0.7661615010730807
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Harrison Clarke-Leif Davis-Leif Davis-Leif Davis-Conor Chaplin-Conor Chaplin-Conor Chaplin,3955711,Ipswich Town,Lost,3,4,First half,1.363707899698139,0.7661615010730807
Ball Receipt-Miscontrol-Pressure,Samuel Szmodics-Samuel Szmodics-Samuel Szmodics,3955711,Ipswich Town,Lost,3,4,First half,1.363707899698139,0.7661615010730807
Pressure,Jens-Lys Michel Cajuste,3955711,Ipswich Town,Lost,3,4,First half,1.363707899698139,0.7661615010730807
Duel-Ball Recovery-Carry,Jens-Lys Michel Cajuste-George Hirst-George Hirst,3955711,Ipswich Town,Lost,3,4,First half,1.363707899698139,0.7661615010730807
Pass-Ball Receipt-Carry,George Hirst-Samuel Szmodics-Samuel Szmodics,3955711,Ipswich Town,Lost,3,4,First half,1.363707899698139,0.7661615010730807
Shot,Samuel Szmodics,3955711,Ipswich Town,Lost,3,4,First half,1.363707899698139,0.7661615010730807
Ball Recovery-Carry,Leif Davis-Leif Davis,3955711,Ipswich Town,Lost,3,4,First half,1.363707899698139,0.7661615010730807
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt,Leif Davis-Cameron Burgess-Cameron Burgess-Cameron Burgess-Leif Davis-Leif Davis-Leif Davis-George Hirst-George Hirst-Conor Chaplin,3955711,Ipswich Town,Lost,3,4,First half,1.363707899698139,0.7661615010730807
Pressure,Jens-Lys Michel Cajuste,3955711,Ipswich Town,Lost,3,4,First half,1.363707899698139,0.7661615010730807
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry,Kalvin Phillips-Arijanet Murić-Arijanet Murić-Cameron Burgess-Cameron Burgess-Cameron Burgess-Leif Davis-Leif Davis-Jens-Lys Michel Cajuste-Jens-Lys Michel Cajuste,3955711,Ipswich Town,Lost,3,4,First half,1.363707899698139,0.7661615010730807
Pass-Ball Receipt-Carry,Jens-Lys Michel Cajuste-Dara Joseph O'Shea-Dara Joseph O'Shea,3955711,Ipswich Town,Lost,3,4,First half,1.363707899698139,0.7661615010730807
Pass-Ball Receipt,Dara Joseph O'Shea-Chiedozie Ogbene,3955711,Ipswich Town,Lost,3,4,First half,1.363707899698139,0.7661615010730807
Ball Recovery-Carry,Dara Joseph O'Shea-Dara Joseph O'Shea,3955711,Ipswich Town,Lost,3,4,First half,1.363707899698139,0.7661615010730807
Pass-Ball Receipt-Carry,Dara Joseph O'Shea-Chiedozie Ogbene-Chiedozie Ogbene,3955711,Ipswich Town,Lost,3,4,First half,1.363707899698139,0.7661615010730807
Pass-Ball Receipt-Carry-Pass-Ball Receipt,Chiedozie Ogbene-Conor Chaplin-Conor Chaplin-Conor Chaplin-Leif Davis,3955711,Ipswich Town,Lost,3,4,First half,1.363707899698139,0.7661615010730807
Pass-Ball Receipt-Duel,Kalvin Phillips-Cameron Burgess-Cameron Burgess,3955711,Ipswich Town,Lost,3,4,First half,1.363707899698139,0.7661615010730807
Ball Recovery-Carry-Pass-Ball Receipt-Carry,Kalvin Phillips-Kalvin Phillips-Kalvin Phillips-Samuel Szmodics-Samuel Szmodics,3955711,Ipswich Town,Lost,3,4,First half,1.363707899698139,0.7661615010730807
Pass-Ball Receipt-Pass-Pressure-Ball Receipt,Samuel Szmodics-Leif Davis-Leif Davis-Conor Chaplin-Conor Chaplin,3955711,Ipswich Town,Lost,3,4,First half,1.363707899698139,0.7661615010730807
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Miscontrol-Pressure,Leif Davis-Kalvin Phillips-Kalvin Phillips-Kalvin Phillips-Jens-Lys Michel Cajuste-Jens-Lys Michel Cajuste-Jens-Lys Michel Cajuste-Dara Joseph O'Shea-Dara Joseph O'Shea-Dara Joseph O'Shea-Conor Chaplin-Conor Chaplin-Conor Chaplin,3955711,Ipswich Town,Lost,3,4,First half,1.363707899698139,0.7661615010730807
Pressure,Kalvin Phillips,3955711,Ipswich Town,Lost,3,4,First half,1.363707899698139,0.7661615010730807
Pressure,George Hirst,3955711,Ipswich Town,Lost,3,4,First half,1.363707899698139,0.7661615010730807
Pressure,George Hirst,3955711,Ipswich Town,Lost,3,4,First half,1.363707899698139,0.7661615010730807
Pressure,Conor Chaplin,3955711,Ipswich Town,Lost,3,4,First half,1.363707899698139,0.7661615010730807
Block,Jens-Lys Michel Cajuste,3955711,Ipswich Town,Lost,3,4,First half,1.363707899698139,0.7661615010730807
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Dara Joseph O'Shea-Kalvin Phillips-Kalvin Phillips-Kalvin Phillips-Leif Davis-Leif Davis-Leif Davis,3955711,Ipswich Town,Lost,3,4,First half,1.363707899698139,0.7661615010730807
Ball Receipt-Carry-Dispossessed,George Hirst-George Hirst-George Hirst,3955711,Ipswich Town,Lost,3,4,First half,1.363707899698139,0.7661615010730807
Pressure-Pressure-Pressure,Cameron Burgess-Dara Joseph O'Shea-Kalvin Phillips,3955711,Ipswich Town,Lost,3,4,First half,1.363707899698139,0.7661615010730807
Block-Goal Keeper,Cameron Burgess-Arijanet Murić,3955711,Ipswich Town,Lost,3,4,First half,1.363707899698139,0.7661615010730807
Ball Recovery-Carry-Dispossessed,Chiedozie Ogbene-Chiedozie Ogbene-Chiedozie Ogbene,3955711,Ipswich Town,Lost,3,4,First half,1.363707899698139,0.7661615010730807
Clearance,Harrison Clarke,3955711,Ipswich Town,Lost,3,4,First half,1.363707899698139,0.7661615010730807
Goal Keeper,Arijanet Murić,3955711,Ipswich Town,Lost,3,4,First half,1.363707899698139,0.7661615010730807
Pressure,Conor Chaplin,3955711,Ipswich Town,Lost,3,4,First half,1.363707899698139,0.7661615010730807
Block-Goal Keeper-Pressure,Jens-Lys Michel Cajuste-Arijanet Murić-Chiedozie Ogbene,3955711,Ipswich Town,Lost,3,4,First half,1.363707899698139,0.7661615010730807
Clearance,Dara Joseph O'Shea,3955711,Ipswich Town,Lost,3,4,First half,1.363707899698139,0.7661615010730807
Clearance-Clearance-Pressure,Cameron Burgess-Samuel Szmodics-Kalvin Phillips,3955711,Ipswich Town,Lost,3,4,First half,1.363707899698139,0.7661615010730807
Pass-Ball Receipt,Arijanet Murić-Chiedozie Ogbene,3955711,Ipswich Town,Lost,3,4,First half,1.363707899698139,0.7661615010730807
