words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Clearance,James Justin,3955797,Leicester City,Lost,0,3,First half,1.5661628529944807,0.7444328864363203
Pressure,Bilal El Khannous,3955797,Leicester City,Lost,0,3,First half,1.5661628529944807,0.7444328864363203
Block-Pass-Ball Receipt-Carry,Bilal El Khannous-Stephy Alvaro Mavididi-Bilal El Khannous-Bilal El Khannous,3955797,Leicester City,Lost,0,3,First half,1.5661628529944807,0.7444328864363203
Miscontrol,Bilal El Khannous,3955797,Leicester City,Lost,0,3,First half,1.5661628529944807,0.7444328864363203
Pass,Victor Bernth Kristansen,3955797,Leicester City,Lost,0,3,First half,1.5661628529944807,0.7444328864363203
Ball Receipt,Jordan Ayew,3955797,Leicester City,Lost,0,3,First half,1.5661628529944807,0.7444328864363203
Pass,Victor Bernth Kristansen,3955797,Leicester City,Lost,0,3,First half,1.5661628529944807,0.7444328864363203
Ball Receipt-Pass-Ball Receipt-Carry,Bilal El Khannous-Bilal El Khannous-Victor Bernth Kristansen-Victor Bernth Kristansen,3955797,Leicester City,Lost,0,3,First half,1.5661628529944807,0.7444328864363203
Pass,Victor Bernth Kristansen,3955797,Leicester City,Lost,0,3,First half,1.5661628529944807,0.7444328864363203
Ball Recovery-Carry,Jannik Vestergaard-Jannik Vestergaard,3955797,Leicester City,Lost,0,3,First half,1.5661628529944807,0.7444328864363203
Dribble-Carry,Jannik Vestergaard-Jannik Vestergaard,3955797,Leicester City,Lost,0,3,First half,1.5661628529944807,0.7444328864363203
Pass-Ball Receipt-Carry-Pass,Jannik Vestergaard-Victor Bernth Kristansen-Victor Bernth Kristansen-Victor Bernth Kristansen,3955797,Leicester City,Lost,0,3,First half,1.5661628529944807,0.7444328864363203
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Duel,James Justin-Oliver Skipp-Oliver Skipp-James Justin-James Justin-James Justin-Conor Coady-Conor Coady-Conor Coady-Jordan Ayew-Jordan Ayew,3955797,Leicester City,Lost,0,3,First half,1.5661628529944807,0.7444328864363203
Block-Duel,Jordan Ayew-Jamie Vardy,3955797,Leicester City,Lost,0,3,First half,1.5661628529944807,0.7444328864363203
Pressure,Jordan Ayew,3955797,Leicester City,Lost,0,3,First half,1.5661628529944807,0.7444328864363203
Block,Boubakary Soumaré,3955797,Leicester City,Lost,0,3,First half,1.5661628529944807,0.7444328864363203
Pressure,Victor Bernth Kristansen,3955797,Leicester City,Lost,0,3,First half,1.5661628529944807,0.7444328864363203
Pressure,Victor Bernth Kristansen,3955797,Leicester City,Lost,0,3,First half,1.5661628529944807,0.7444328864363203
Pass-Ball Receipt-Miscontrol,Victor Bernth Kristansen-Stephy Alvaro Mavididi-Stephy Alvaro Mavididi,3955797,Leicester City,Lost,0,3,First half,1.5661628529944807,0.7444328864363203
Pressure,Stephy Alvaro Mavididi,3955797,Leicester City,Lost,0,3,First half,1.5661628529944807,0.7444328864363203
Pressure,Jordan Ayew,3955797,Leicester City,Lost,0,3,First half,1.5661628529944807,0.7444328864363203
Pass-Ball Receipt-Carry,Conor Coady-Jordan Ayew-Jordan Ayew,3955797,Leicester City,Lost,0,3,First half,1.5661628529944807,0.7444328864363203
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Jordan Ayew-James Justin-James Justin-James Justin-Conor Coady-Conor Coady-Conor Coady-Daniel Ward-Daniel Ward,3955797,Leicester City,Lost,0,3,First half,1.5661628529944807,0.7444328864363203
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Daniel Ward-Victor Bernth Kristansen-Victor Bernth Kristansen-Victor Bernth Kristansen-Jannik Vestergaard-Jannik Vestergaard,3955797,Leicester City,Lost,0,3,First half,1.5661628529944807,0.7444328864363203
Pass-Ball Receipt-Pass-Ball Receipt-Carry,Jannik Vestergaard-Boubakary Soumaré-Boubakary Soumaré-Victor Bernth Kristansen-Victor Bernth Kristansen,3955797,Leicester City,Lost,0,3,First half,1.5661628529944807,0.7444328864363203
