words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pressure,Ryan Gravenberch,3955650,Liverpool,Won,2,0,First half,1.3330176651869223,0.7589726442746554
Ball Recovery-Carry-Dispossessed,Trent Alexander-Arnold-Trent Alexander-Arnold-Trent Alexander-Arnold,3955650,Liverpool,Won,2,0,First half,1.3330176651869223,0.7589726442746554
Pressure,Trent Alexander-Arnold,3955650,Liverpool,Won,2,0,First half,1.3330176651869223,0.7589726442746554
Pressure,Ryan Gravenberch,3955650,Liverpool,Won,2,0,First half,1.3330176651869223,0.7589726442746554
Pressure,Ryan Gravenberch,3955650,Liverpool,Won,2,0,First half,1.3330176651869223,0.7589726442746554
Block-Clearance,Ryan Gravenberch-Trent Alexander-Arnold,3955650,Liverpool,Won,2,0,First half,1.3330176651869223,0.7589726442746554
Pass-Ball Receipt-Pass,Diogo José Teixeira da Silva-Alexis Mac Allister-Alexis Mac Allister,3955650,Liverpool,Won,2,0,First half,1.3330176651869223,0.7589726442746554
Foul Won,Alexis Mac Allister,3955650,Liverpool,Won,2,0,First half,1.3330176651869223,0.7589726442746554
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Dominik Szoboszlai-Ibrahima Konaté-Ibrahima Konaté-Ibrahima Konaté-Ryan Gravenberch-Ryan Gravenberch-Ryan Gravenberch-Trent Alexander-Arnold-Trent Alexander-Arnold-Trent Alexander-Arnold-Ryan Gravenberch-Ryan Gravenberch,3955650,Liverpool,Won,2,0,First half,1.3330176651869223,0.7589726442746554
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Ryan Gravenberch-Virgil van Dijk-Virgil van Dijk-Virgil van Dijk-Ryan Gravenberch-Ryan Gravenberch-Virgil van Dijk-Virgil van Dijk-Virgil van Dijk-Ibrahima Konaté-Ibrahima Konaté-Ibrahima Konaté-Virgil van Dijk-Virgil van Dijk-Virgil van Dijk-Andrew Robertson-Andrew Robertson-Andrew Robertson-Virgil van Dijk-Virgil van Dijk-Virgil van Dijk-Andrew Robertson-Andrew Robertson-Andrew Robertson-Alexis Mac Allister-Alexis Mac Allister-Alexis Mac Allister-Andrew Robertson-Andrew Robertson,3955650,Liverpool,Won,2,0,First half,1.3330176651869223,0.7589726442746554
Pass-Ball Receipt-Carry,Andrew Robertson-Alisson Ramsés Becker-Alisson Ramsés Becker,3955650,Liverpool,Won,2,0,First half,1.3330176651869223,0.7589726442746554
Pass-Ball Receipt-Carry-Pass,Alisson Ramsés Becker-Ibrahima Konaté-Ibrahima Konaté-Ibrahima Konaté,3955650,Liverpool,Won,2,0,First half,1.3330176651869223,0.7589726442746554
Ball Receipt-Carry-Pass-Ball Receipt,Mohamed Salah-Mohamed Salah-Mohamed Salah-Luis Fernando Díaz Marulanda,3955650,Liverpool,Won,2,0,First half,1.3330176651869223,0.7589726442746554
Ball Recovery-Carry,Luis Fernando Díaz Marulanda-Luis Fernando Díaz Marulanda,3955650,Liverpool,Won,2,0,First half,1.3330176651869223,0.7589726442746554
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Luis Fernando Díaz Marulanda-Alexis Mac Allister-Alexis Mac Allister-Alexis Mac Allister-Luis Fernando Díaz Marulanda-Luis Fernando Díaz Marulanda-Luis Fernando Díaz Marulanda-Alexis Mac Allister-Alexis Mac Allister,3955650,Liverpool,Won,2,0,First half,1.3330176651869223,0.7589726442746554
Dispossessed,Alexis Mac Allister,3955650,Liverpool,Won,2,0,First half,1.3330176651869223,0.7589726442746554
Pressure,Alexis Mac Allister,3955650,Liverpool,Won,2,0,First half,1.3330176651869223,0.7589726442746554
Pass-Ball Receipt,Virgil van Dijk-Diogo José Teixeira da Silva,3955650,Liverpool,Won,2,0,First half,1.3330176651869223,0.7589726442746554
Pass-Ball Receipt-Pass-Ball Receipt-Carry,Diogo José Teixeira da Silva-Dominik Szoboszlai-Dominik Szoboszlai-Ryan Gravenberch-Ryan Gravenberch,3955650,Liverpool,Won,2,0,First half,1.3330176651869223,0.7589726442746554
Pass-Ball Receipt-Carry-Pass-Ball Receipt,Ryan Gravenberch-Andrew Robertson-Andrew Robertson-Andrew Robertson-Diogo José Teixeira da Silva,3955650,Liverpool,Won,2,0,First half,1.3330176651869223,0.7589726442746554
Pressure,Diogo José Teixeira da Silva,3955650,Liverpool,Won,2,0,First half,1.3330176651869223,0.7589726442746554
Pass-Ball Receipt-Pass,Ryan Gravenberch-Virgil van Dijk-Virgil van Dijk,3955650,Liverpool,Won,2,0,First half,1.3330176651869223,0.7589726442746554
Pressure-Foul Committed,Alexis Mac Allister-Alexis Mac Allister,3955650,Liverpool,Won,2,0,First half,1.3330176651869223,0.7589726442746554
