words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Clearance,Noussair Mazraoui,3955746,Manchester United,Drawn,1,1,First half,1.224064607554747,0.7798150896324451
Pass-Ball Receipt-Pass-Ball Receipt,Noussair Mazraoui-Christian Dannemann Eriksen-Christian Dannemann Eriksen-Carlos Henrique Casimiro,3955746,Manchester United,Drawn,1,1,First half,1.224064607554747,0.7798150896324451
Pressure,Carlos Henrique Casimiro,3955746,Manchester United,Drawn,1,1,First half,1.224064607554747,0.7798150896324451
Pressure,Noussair Mazraoui,3955746,Manchester United,Drawn,1,1,First half,1.224064607554747,0.7798150896324451
Block,Noussair Mazraoui,3955746,Manchester United,Drawn,1,1,First half,1.224064607554747,0.7798150896324451
Pass-Ball Receipt-Carry,Christian Dannemann Eriksen-Carlos Henrique Casimiro-Carlos Henrique Casimiro,3955746,Manchester United,Drawn,1,1,First half,1.224064607554747,0.7798150896324451
Pass-Ball Receipt-Pass-Ball Receipt-Pass-Pressure-Ball Receipt,Carlos Henrique Casimiro-Marcus Rashford-Marcus Rashford-Christian Dannemann Eriksen-Christian Dannemann Eriksen-Alejandro Garnacho Ferreyra-Alejandro Garnacho Ferreyra,3955746,Manchester United,Drawn,1,1,First half,1.224064607554747,0.7798150896324451
Ball Recovery-Carry-Pass-Ball Receipt-Carry,André Onana-André Onana-André Onana-Jonathan Grant Evans-Jonathan Grant Evans,3955746,Manchester United,Drawn,1,1,First half,1.224064607554747,0.7798150896324451
Pass-Ball Receipt-Carry,Jonathan Grant Evans-André Onana-André Onana,3955746,Manchester United,Drawn,1,1,First half,1.224064607554747,0.7798150896324451
Pass-Ball Receipt-Carry,André Onana-Noussair Mazraoui-Noussair Mazraoui,3955746,Manchester United,Drawn,1,1,First half,1.224064607554747,0.7798150896324451
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Noussair Mazraoui-Amad Diallo Traoré-Amad Diallo Traoré-Amad Diallo Traoré-Bruno Miguel Borges Fernandes-Bruno Miguel Borges Fernandes,3955746,Manchester United,Drawn,1,1,First half,1.224064607554747,0.7798150896324451
Pass-Ball Receipt-Carry,Bruno Miguel Borges Fernandes-Amad Diallo Traoré-Amad Diallo Traoré,3955746,Manchester United,Drawn,1,1,First half,1.224064607554747,0.7798150896324451
Dribble-Carry,Amad Diallo Traoré-Amad Diallo Traoré,3955746,Manchester United,Drawn,1,1,First half,1.224064607554747,0.7798150896324451
Pass-Shot-Ball Receipt,Amad Diallo Traoré-Marcus Rashford-Marcus Rashford,3955746,Manchester United,Drawn,1,1,First half,1.224064607554747,0.7798150896324451
Duel,Alejandro Garnacho Ferreyra,3955746,Manchester United,Drawn,1,1,First half,1.224064607554747,0.7798150896324451
Clearance,Jonathan Grant Evans,3955746,Manchester United,Drawn,1,1,First half,1.224064607554747,0.7798150896324451
Pressure,Marcus Rashford,3955746,Manchester United,Drawn,1,1,First half,1.224064607554747,0.7798150896324451
Pressure,Alejandro Garnacho Ferreyra,3955746,Manchester United,Drawn,1,1,First half,1.224064607554747,0.7798150896324451
Ball Recovery-Carry-Pass,Jonathan Grant Evans-Jonathan Grant Evans-Jonathan Grant Evans,3955746,Manchester United,Drawn,1,1,First half,1.224064607554747,0.7798150896324451
Ball Receipt-Carry-Pass-Ball Receipt-Carry,André Onana-André Onana-André Onana-Noussair Mazraoui-Noussair Mazraoui,3955746,Manchester United,Drawn,1,1,First half,1.224064607554747,0.7798150896324451
Pass,Noussair Mazraoui,3955746,Manchester United,Drawn,1,1,First half,1.224064607554747,0.7798150896324451
Ball Receipt-Pass,Amad Diallo Traoré-Amad Diallo Traoré,3955746,Manchester United,Drawn,1,1,First half,1.224064607554747,0.7798150896324451
Pressure,Alejandro Garnacho Ferreyra,3955746,Manchester United,Drawn,1,1,First half,1.224064607554747,0.7798150896324451
Pressure,Bruno Miguel Borges Fernandes,3955746,Manchester United,Drawn,1,1,First half,1.224064607554747,0.7798150896324451
Pressure,Christian Dannemann Eriksen,3955746,Manchester United,Drawn,1,1,First half,1.224064607554747,0.7798150896324451
Pressure,Alejandro Garnacho Ferreyra,3955746,Manchester United,Drawn,1,1,First half,1.224064607554747,0.7798150896324451
Dribbled Past,Alejandro Garnacho Ferreyra,3955746,Manchester United,Drawn,1,1,First half,1.224064607554747,0.7798150896324451
Pressure,Christian Dannemann Eriksen,3955746,Manchester United,Drawn,1,1,First half,1.224064607554747,0.7798150896324451
Pressure,Bruno Miguel Borges Fernandes,3955746,Manchester United,Drawn,1,1,First half,1.224064607554747,0.7798150896324451
Pressure,Alejandro Garnacho Ferreyra,3955746,Manchester United,Drawn,1,1,First half,1.224064607554747,0.7798150896324451
Block,Amad Diallo Traoré,3955746,Manchester United,Drawn,1,1,First half,1.224064607554747,0.7798150896324451
Clearance,Carlos Henrique Casimiro,3955746,Manchester United,Drawn,1,1,First half,1.224064607554747,0.7798150896324451
Clearance,Jonathan Grant Evans,3955746,Manchester United,Drawn,1,1,First half,1.224064607554747,0.7798150896324451
Pressure,Marcus Rashford,3955746,Manchester United,Drawn,1,1,First half,1.224064607554747,0.7798150896324451
Pressure,Bruno Miguel Borges Fernandes,3955746,Manchester United,Drawn,1,1,First half,1.224064607554747,0.7798150896324451
Pass-Ball Receipt-Carry,Christian Dannemann Eriksen-Bruno Miguel Borges Fernandes-Bruno Miguel Borges Fernandes,3955746,Manchester United,Drawn,1,1,First half,1.224064607554747,0.7798150896324451
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Bruno Miguel Borges Fernandes-Jonathan Grant Evans-Jonathan Grant Evans-Jonathan Grant Evans-Matthijs de Ligt-Matthijs de Ligt,3955746,Manchester United,Drawn,1,1,First half,1.224064607554747,0.7798150896324451
Pass-Ball Receipt-Carry,Matthijs de Ligt-Noussair Mazraoui-Noussair Mazraoui,3955746,Manchester United,Drawn,1,1,First half,1.224064607554747,0.7798150896324451
Pass-Ball Receipt-Carry,Noussair Mazraoui-Amad Diallo Traoré-Amad Diallo Traoré,3955746,Manchester United,Drawn,1,1,First half,1.224064607554747,0.7798150896324451
Pass-Ball Receipt-Carry,Amad Diallo Traoré-André Onana-André Onana,3955746,Manchester United,Drawn,1,1,First half,1.224064607554747,0.7798150896324451
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,André Onana-Jonathan Grant Evans-Jonathan Grant Evans-Jonathan Grant Evans-José Diogo Dalot Teixeira-José Diogo Dalot Teixeira,3955746,Manchester United,Drawn,1,1,First half,1.224064607554747,0.7798150896324451
Pass-Ball Receipt-Carry,José Diogo Dalot Teixeira-Bruno Miguel Borges Fernandes-Bruno Miguel Borges Fernandes,3955746,Manchester United,Drawn,1,1,First half,1.224064607554747,0.7798150896324451
Pass-Ball Receipt-Carry-Pass,Bruno Miguel Borges Fernandes-Amad Diallo Traoré-Amad Diallo Traoré-Amad Diallo Traoré,3955746,Manchester United,Drawn,1,1,First half,1.224064607554747,0.7798150896324451
Ball Receipt-Shot,Christian Dannemann Eriksen-Christian Dannemann Eriksen,3955746,Manchester United,Drawn,1,1,First half,1.224064607554747,0.7798150896324451
Pressure,Matthijs de Ligt,3955746,Manchester United,Drawn,1,1,First half,1.224064607554747,0.7798150896324451
