words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Duel,Jacob Murphy,3955695,Newcastle United,Drawn,0,0,First half,0.92695996518751,0.8386654120977369
Pressure-Pressure,Sandro Tonali-Bruno Guimarães Rodriguez Moura,3955695,Newcastle United,Drawn,0,0,First half,0.92695996518751,0.8386654120977369
Duel,Bruno Guimarães Rodriguez Moura,3955695,Newcastle United,Drawn,0,0,First half,0.92695996518751,0.8386654120977369
Pressure,Anthony Gordon,3955695,Newcastle United,Drawn,0,0,First half,0.92695996518751,0.8386654120977369
Pressure,Harvey Lewis Barnes,3955695,Newcastle United,Drawn,0,0,First half,0.92695996518751,0.8386654120977369
Pressure,Harvey Lewis Barnes,3955695,Newcastle United,Drawn,0,0,First half,0.92695996518751,0.8386654120977369
Duel-Pass-Ball Receipt,Harvey Lewis Barnes-Lewis Hall-Joelinton Cassio Apolinário de Lira,3955695,Newcastle United,Drawn,0,0,First half,0.92695996518751,0.8386654120977369
Ball Recovery-Carry,Lewis Hall-Lewis Hall,3955695,Newcastle United,Drawn,0,0,First half,0.92695996518751,0.8386654120977369
Pass-Ball Receipt,Lewis Hall-Fabian Lukas Schär,3955695,Newcastle United,Drawn,0,0,First half,0.92695996518751,0.8386654120977369
Pressure-Pressure,Lewis Hall-Sandro Tonali,3955695,Newcastle United,Drawn,0,0,First half,0.92695996518751,0.8386654120977369
Block,Jacob Murphy,3955695,Newcastle United,Drawn,0,0,First half,0.92695996518751,0.8386654120977369
50/50-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Sandro Tonali-Jacob Murphy-Kieran Trippier-Kieran Trippier-Kieran Trippier-Bruno Guimarães Rodriguez Moura-Bruno Guimarães Rodriguez Moura-Bruno Guimarães Rodriguez Moura-Sandro Tonali-Sandro Tonali,3955695,Newcastle United,Drawn,0,0,First half,0.92695996518751,0.8386654120977369
Foul Won-Pass-Ball Receipt-Duel,Sandro Tonali-Kieran Trippier-Dan Burn-Dan Burn,3955695,Newcastle United,Drawn,0,0,First half,0.92695996518751,0.8386654120977369
Pass,Sandro Tonali,3955695,Newcastle United,Drawn,0,0,First half,0.92695996518751,0.8386654120977369
Pressure,Joelinton Cassio Apolinário de Lira,3955695,Newcastle United,Drawn,0,0,First half,0.92695996518751,0.8386654120977369
Dribbled Past-Pressure,Joelinton Cassio Apolinário de Lira-Sandro Tonali,3955695,Newcastle United,Drawn,0,0,First half,0.92695996518751,0.8386654120977369
Pass,Bruno Guimarães Rodriguez Moura,3955695,Newcastle United,Drawn,0,0,First half,0.92695996518751,0.8386654120977369
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Kieran Trippier-Kieran Trippier-Kieran Trippier-Bruno Guimarães Rodriguez Moura-Bruno Guimarães Rodriguez Moura-Bruno Guimarães Rodriguez Moura-Lewis Hall-Lewis Hall-Lewis Hall-Fabian Lukas Schär-Fabian Lukas Schär-Fabian Lukas Schär-Lewis Hall-Lewis Hall,3955695,Newcastle United,Drawn,0,0,First half,0.92695996518751,0.8386654120977369
Pass-Ball Receipt,Lewis Hall-Joelinton Cassio Apolinário de Lira,3955695,Newcastle United,Drawn,0,0,First half,0.92695996518751,0.8386654120977369
Pressure,Anthony Gordon,3955695,Newcastle United,Drawn,0,0,First half,0.92695996518751,0.8386654120977369
Pressure,Anthony Gordon,3955695,Newcastle United,Drawn,0,0,First half,0.92695996518751,0.8386654120977369
Pressure,Anthony Gordon,3955695,Newcastle United,Drawn,0,0,First half,0.92695996518751,0.8386654120977369
Pressure,Kieran Trippier,3955695,Newcastle United,Drawn,0,0,First half,0.92695996518751,0.8386654120977369
Foul Committed,Kieran Trippier,3955695,Newcastle United,Drawn,0,0,First half,0.92695996518751,0.8386654120977369
Duel,Dan Burn,3955695,Newcastle United,Drawn,0,0,First half,0.92695996518751,0.8386654120977369
Goal Keeper-Pressure,Nick Pope-Anthony Gordon,3955695,Newcastle United,Drawn,0,0,First half,0.92695996518751,0.8386654120977369
Pressure,Lewis Hall,3955695,Newcastle United,Drawn,0,0,First half,0.92695996518751,0.8386654120977369
Duel-Pass-Ball Receipt,Lewis Hall-Harvey Lewis Barnes-Lewis Hall,3955695,Newcastle United,Drawn,0,0,First half,0.92695996518751,0.8386654120977369
50/50,Lewis Hall,3955695,Newcastle United,Drawn,0,0,First half,0.92695996518751,0.8386654120977369
Pass,Lewis Hall,3955695,Newcastle United,Drawn,0,0,First half,0.92695996518751,0.8386654120977369
Ball Receipt-Carry,Bruno Guimarães Rodriguez Moura-Bruno Guimarães Rodriguez Moura,3955695,Newcastle United,Drawn,0,0,First half,0.92695996518751,0.8386654120977369
Pass,Bruno Guimarães Rodriguez Moura,3955695,Newcastle United,Drawn,0,0,First half,0.92695996518751,0.8386654120977369
Ball Receipt-Pass,Lewis Hall-Lewis Hall,3955695,Newcastle United,Drawn,0,0,First half,0.92695996518751,0.8386654120977369
Pressure,Joelinton Cassio Apolinário de Lira,3955695,Newcastle United,Drawn,0,0,First half,0.92695996518751,0.8386654120977369
Pressure,Bruno Guimarães Rodriguez Moura,3955695,Newcastle United,Drawn,0,0,First half,0.92695996518751,0.8386654120977369
Pressure,Joelinton Cassio Apolinário de Lira,3955695,Newcastle United,Drawn,0,0,First half,0.92695996518751,0.8386654120977369
Pressure,Harvey Lewis Barnes,3955695,Newcastle United,Drawn,0,0,First half,0.92695996518751,0.8386654120977369
Pressure,Sandro Tonali,3955695,Newcastle United,Drawn,0,0,First half,0.92695996518751,0.8386654120977369
Pressure,Harvey Lewis Barnes,3955695,Newcastle United,Drawn,0,0,First half,0.92695996518751,0.8386654120977369
Pressure,Jacob Murphy,3955695,Newcastle United,Drawn,0,0,First half,0.92695996518751,0.8386654120977369
Pressure,Sandro Tonali,3955695,Newcastle United,Drawn,0,0,First half,0.92695996518751,0.8386654120977369
Pressure,Anthony Gordon,3955695,Newcastle United,Drawn,0,0,First half,0.92695996518751,0.8386654120977369
Pass,Kieran Trippier,3955695,Newcastle United,Drawn,0,0,First half,0.92695996518751,0.8386654120977369
Ball Receipt-Carry-Pass-Ball Receipt,Bruno Guimarães Rodriguez Moura-Bruno Guimarães Rodriguez Moura-Bruno Guimarães Rodriguez Moura-Sandro Tonali,3955695,Newcastle United,Drawn,0,0,First half,0.92695996518751,0.8386654120977369
