words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass,Ryan Yates,3955836,Nottingham Forest,Drawn,1,1,Second half,1.5249931489613098,0.737094883420434
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Miscontrol,Matz Sels-Matz Sels-Matz Sels-Anthony Elanga-Anthony Elanga-Anthony Elanga,3955836,Nottingham Forest,Drawn,1,1,Second half,1.5249931489613098,0.737094883420434
Pass,Chris Wood,3955836,Nottingham Forest,Drawn,1,1,Second half,1.5249931489613098,0.737094883420434
Ball Receipt-Carry,Morgan Gibbs-White-Morgan Gibbs-White,3955836,Nottingham Forest,Drawn,1,1,Second half,1.5249931489613098,0.737094883420434
Dispossessed,Morgan Gibbs-White,3955836,Nottingham Forest,Drawn,1,1,Second half,1.5249931489613098,0.737094883420434
Pressure,Ryan Yates,3955836,Nottingham Forest,Drawn,1,1,Second half,1.5249931489613098,0.737094883420434
Duel-50/50,Ryan Yates-Morgan Gibbs-White,3955836,Nottingham Forest,Drawn,1,1,Second half,1.5249931489613098,0.737094883420434
Pass-Ball Receipt-Duel,Temitayo Olufisayo Olaoluwa Aina-Chris Wood-Chris Wood,3955836,Nottingham Forest,Drawn,1,1,Second half,1.5249931489613098,0.737094883420434
Pass,Nikola Milenković,3955836,Nottingham Forest,Drawn,1,1,Second half,1.5249931489613098,0.737094883420434
Ball Receipt-Carry-Dispossessed,Temitayo Olufisayo Olaoluwa Aina-Temitayo Olufisayo Olaoluwa Aina-Temitayo Olufisayo Olaoluwa Aina,3955836,Nottingham Forest,Drawn,1,1,Second half,1.5249931489613098,0.737094883420434
Pressure,Chris Wood,3955836,Nottingham Forest,Drawn,1,1,Second half,1.5249931489613098,0.737094883420434
Pass-Ball Receipt-Pass-Ball Receipt-Carry,Murillo Santiago Costa dos Santos-Neco Williams-Neco Williams-Murillo Santiago Costa dos Santos-Murillo Santiago Costa dos Santos,3955836,Nottingham Forest,Drawn,1,1,Second half,1.5249931489613098,0.737094883420434
Pass,Murillo Santiago Costa dos Santos,3955836,Nottingham Forest,Drawn,1,1,Second half,1.5249931489613098,0.737094883420434
Ball Receipt-Carry-Miscontrol,Chris Wood-Chris Wood-Chris Wood,3955836,Nottingham Forest,Drawn,1,1,Second half,1.5249931489613098,0.737094883420434
Pass-Ball Receipt-Pass,Ryan Yates-Chris Wood-Chris Wood,3955836,Nottingham Forest,Drawn,1,1,Second half,1.5249931489613098,0.737094883420434
Ball Receipt,Morgan Gibbs-White,3955836,Nottingham Forest,Drawn,1,1,Second half,1.5249931489613098,0.737094883420434
Clearance,Murillo Santiago Costa dos Santos,3955836,Nottingham Forest,Drawn,1,1,Second half,1.5249931489613098,0.737094883420434
Block,Neco Williams,3955836,Nottingham Forest,Drawn,1,1,Second half,1.5249931489613098,0.737094883420434
Block-Goal Keeper,Nikola Milenković-Matz Sels,3955836,Nottingham Forest,Drawn,1,1,Second half,1.5249931489613098,0.737094883420434
Pass-Pressure-Ball Receipt,Nikola Milenković-Chris Wood-Chris Wood,3955836,Nottingham Forest,Drawn,1,1,Second half,1.5249931489613098,0.737094883420434
Pressure,Anthony Elanga,3955836,Nottingham Forest,Drawn,1,1,Second half,1.5249931489613098,0.737094883420434
Pressure,Neco Williams,3955836,Nottingham Forest,Drawn,1,1,Second half,1.5249931489613098,0.737094883420434
Clearance-Pressure,Elliot Anderson-Morgan Gibbs-White,3955836,Nottingham Forest,Drawn,1,1,Second half,1.5249931489613098,0.737094883420434
Clearance,Nikola Milenković,3955836,Nottingham Forest,Drawn,1,1,Second half,1.5249931489613098,0.737094883420434
Pass,Elliot Anderson,3955836,Nottingham Forest,Drawn,1,1,Second half,1.5249931489613098,0.737094883420434
