words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt,Taylor Harwood-Bellis-Paul Onuachu,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pass-Ball Receipt-Pass-Ball Receipt,Taylor Harwood-Bellis-Kamaldeen Sulemana-Kamaldeen Sulemana-Paul Onuachu,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pass-Ball Receipt-Carry,Mateus Gonçalo Espanha Fernandes-Kyle Walker-Peters-Kyle Walker-Peters,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pass,Kyle Walker-Peters,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Ball Receipt-Carry-Pass,Taylor Harwood-Bellis-Taylor Harwood-Bellis-Taylor Harwood-Bellis,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Ball Receipt-Carry,Paul Onuachu-Paul Onuachu,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Dribble,Paul Onuachu,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pass-Ball Receipt-Pass-Ball Receipt-Carry,Kyle Walker-Peters-Paul Onuachu-Paul Onuachu-Flynn Downes-Flynn Downes,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Dribble-Carry,Flynn Downes-Flynn Downes,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pass-Ball Receipt-Carry,Flynn Downes-Kyle Walker-Peters-Kyle Walker-Peters,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Kyle Walker-Peters-Mateus Gonçalo Espanha Fernandes-Mateus Gonçalo Espanha Fernandes-Mateus Gonçalo Espanha Fernandes-Jan Bednarek-Jan Bednarek-Jan Bednarek-Jack Stephens-Jack Stephens-Jack Stephens-Ryan Manning-Ryan Manning-Ryan Manning-Kamaldeen Sulemana,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pass-Ball Receipt,Ryan Manning-Paul Onuachu,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Jan Bednarek-Ryan Manning-Ryan Manning-Ryan Manning-Jan Bednarek-Jan Bednarek-Jan Bednarek-Kyle Walker-Peters-Kyle Walker-Peters,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Kyle Walker-Peters-Mateus Gonçalo Espanha Fernandes-Mateus Gonçalo Espanha Fernandes-Mateus Gonçalo Espanha Fernandes-Flynn Downes-Flynn Downes-Flynn Downes-Taylor Harwood-Bellis-Taylor Harwood-Bellis-Taylor Harwood-Bellis-Flynn Downes-Flynn Downes-Flynn Downes-Kamaldeen Sulemana,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pressure,Kamaldeen Sulemana,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pressure,Flynn Downes,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pressure,Mateus Gonçalo Espanha Fernandes,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Interception,Taylor Harwood-Bellis,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Ball Recovery-Carry-Dispossessed,Mateus Gonçalo Espanha Fernandes-Mateus Gonçalo Espanha Fernandes-Mateus Gonçalo Espanha Fernandes,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pressure-Foul Committed,Taylor Harwood-Bellis-Taylor Harwood-Bellis,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Interception,Flynn Downes,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Ball Recovery-Carry-Dribble,Kamaldeen Sulemana-Kamaldeen Sulemana-Kamaldeen Sulemana,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pressure,Jan Bednarek,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Goal Keeper,Aaron Ramsdale,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Ball Recovery-Pass-Ball Receipt-Duel,Aaron Ramsdale-Aaron Ramsdale-Paul Onuachu-Paul Onuachu,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Duel,Lesley Chimuanya Ugochukwu,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Duel-Carry,Flynn Downes-Flynn Downes,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pass-Ball Receipt-Carry,Flynn Downes-Lesley Chimuanya Ugochukwu-Lesley Chimuanya Ugochukwu,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Lesley Chimuanya Ugochukwu-Ryan Manning-Ryan Manning-Jack Stephens-Jack Stephens-Jack Stephens-Taylor Harwood-Bellis-Taylor Harwood-Bellis-Taylor Harwood-Bellis-Kyle Walker-Peters-Kyle Walker-Peters-Kyle Walker-Peters-Mateus Gonçalo Espanha Fernandes-Mateus Gonçalo Espanha Fernandes-Mateus Gonçalo Espanha Fernandes-Kyle Walker-Peters-Kyle Walker-Peters-Mateus Gonçalo Espanha Fernandes-Mateus Gonçalo Espanha Fernandes-Mateus Gonçalo Espanha Fernandes-Flynn Downes-Flynn Downes-Flynn Downes-Jan Bednarek-Jan Bednarek-Jack Stephens-Jack Stephens-Jack Stephens-Ryan Manning-Ryan Manning-Ryan Manning-Jack Stephens-Jack Stephens-Jack Stephens-Taylor Harwood-Bellis-Taylor Harwood-Bellis-Taylor Harwood-Bellis-Kyle Walker-Peters-Kyle Walker-Peters-Kyle Walker-Peters,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Ball Receipt-Carry-Pass,Paul Onuachu-Paul Onuachu-Paul Onuachu,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Flynn Downes-Flynn Downes-Mateus Gonçalo Espanha Fernandes-Mateus Gonçalo Espanha Fernandes-Mateus Gonçalo Espanha Fernandes-Paul Onuachu,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pressure,Kamaldeen Sulemana,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pressure,Kamaldeen Sulemana,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pressure,Jack Stephens,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pressure-Pressure,Kamaldeen Sulemana-Lesley Chimuanya Ugochukwu,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pass-Ball Receipt-Carry,Jan Bednarek-Lesley Chimuanya Ugochukwu-Lesley Chimuanya Ugochukwu,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Dribble-Carry,Lesley Chimuanya Ugochukwu-Lesley Chimuanya Ugochukwu,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Ball Recovery-Carry,Lesley Chimuanya Ugochukwu-Lesley Chimuanya Ugochukwu,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Foul Won-Pass-Ball Receipt,Lesley Chimuanya Ugochukwu-Aaron Ramsdale-Taylor Harwood-Bellis,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pass,Taylor Harwood-Bellis,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pressure,Kamaldeen Sulemana,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pass,Mateus Gonçalo Espanha Fernandes,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Ball Receipt-Pass-Ball Receipt-Duel,Flynn Downes-Flynn Downes-Kamaldeen Sulemana-Kamaldeen Sulemana,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pressure,Ryan Manning,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Interception,Jack Stephens,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pressure,Flynn Downes,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pressure,Flynn Downes,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pressure,Ryan Manning,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pass-Ball Receipt,Aaron Ramsdale-Paul Onuachu,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pass-Ball Receipt,Paul Onuachu-Kamaldeen Sulemana,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pressure,Lesley Chimuanya Ugochukwu,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pressure,Paul Onuachu,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Ball Recovery-Carry-Pass-Ball Receipt,Ryan Manning-Ryan Manning-Ryan Manning-Paul Onuachu,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pressure,Flynn Downes,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pressure,Mateus Gonçalo Espanha Fernandes,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pressure,Jack Stephens,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Clearance,Flynn Downes,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pass-Ball Receipt-Carry-Pass-Ball Receipt,Taylor Harwood-Bellis-Mateus Gonçalo Espanha Fernandes-Mateus Gonçalo Espanha Fernandes-Mateus Gonçalo Espanha Fernandes-Paul Onuachu,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pressure,Mateus Gonçalo Espanha Fernandes,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pressure,Jack Stephens,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pressure,Kamaldeen Sulemana,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pressure,Kamaldeen Sulemana,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pressure,Mateus Gonçalo Espanha Fernandes,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pressure,Kyle Walker-Peters,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pressure,Flynn Downes,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pressure,Mateus Gonçalo Espanha Fernandes,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pressure,Paul Onuachu,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pressure,Lesley Chimuanya Ugochukwu,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pass-Ball Receipt-Carry,Jack Stephens-Kamaldeen Sulemana-Kamaldeen Sulemana,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Miscontrol-Pressure,Kamaldeen Sulemana-Kamaldeen Sulemana,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pressure,Mateus Gonçalo Espanha Fernandes,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pressure,Lesley Chimuanya Ugochukwu,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pass,Jan Bednarek,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Ball Receipt-Carry-Pass,Jack Stephens-Jack Stephens-Jack Stephens,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pressure,Jack Stephens,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pressure,Kyle Walker-Peters,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Block-Ball Recovery-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Miscontrol,Jan Bednarek-Aaron Ramsdale-Aaron Ramsdale-Lesley Chimuanya Ugochukwu-Lesley Chimuanya Ugochukwu-Jack Stephens-Jack Stephens-Lesley Chimuanya Ugochukwu-Lesley Chimuanya Ugochukwu-Lesley Chimuanya Ugochukwu-Flynn Downes-Flynn Downes-Taylor Harwood-Bellis-Taylor Harwood-Bellis-Taylor Harwood-Bellis-Mateus Gonçalo Espanha Fernandes-Mateus Gonçalo Espanha Fernandes-Kyle Walker-Peters-Kyle Walker-Peters-Kyle Walker-Peters-Mateus Gonçalo Espanha Fernandes-Mateus Gonçalo Espanha Fernandes-Mateus Gonçalo Espanha Fernandes,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pressure,Flynn Downes,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pressure,Kyle Walker-Peters,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pass-Ball Receipt-Carry,Jack Stephens-Aaron Ramsdale-Aaron Ramsdale,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Aaron Ramsdale-Jan Bednarek-Jan Bednarek-Jan Bednarek-Taylor Harwood-Bellis-Taylor Harwood-Bellis-Taylor Harwood-Bellis-Kyle Walker-Peters-Kyle Walker-Peters-Kyle Walker-Peters-Flynn Downes-Flynn Downes-Flynn Downes-Lesley Chimuanya Ugochukwu-Lesley Chimuanya Ugochukwu-Lesley Chimuanya Ugochukwu-Jack Stephens-Jack Stephens-Jack Stephens-Jan Bednarek-Jan Bednarek-Jan Bednarek-Taylor Harwood-Bellis-Taylor Harwood-Bellis-Taylor Harwood-Bellis-Jan Bednarek-Jan Bednarek-Jan Bednarek-Jack Stephens-Jack Stephens-Jack Stephens-Ryan Manning-Ryan Manning,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Ryan Manning-Aaron Ramsdale-Aaron Ramsdale-Aaron Ramsdale-Taylor Harwood-Bellis-Taylor Harwood-Bellis-Taylor Harwood-Bellis-Jan Bednarek-Jan Bednarek-Jan Bednarek-Jack Stephens-Jack Stephens-Jack Stephens-Taylor Harwood-Bellis-Taylor Harwood-Bellis-Taylor Harwood-Bellis-Kyle Walker-Peters-Kyle Walker-Peters-Kyle Walker-Peters-Flynn Downes-Flynn Downes,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pass-Ball Receipt-Carry,Flynn Downes-Mateus Gonçalo Espanha Fernandes-Mateus Gonçalo Espanha Fernandes,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pass-Ball Receipt-Carry-Shot,Mateus Gonçalo Espanha Fernandes-Kamaldeen Sulemana-Kamaldeen Sulemana-Kamaldeen Sulemana,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pass,Ryan Manning,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pass-Ball Receipt-Carry,Jack Stephens-Kamaldeen Sulemana-Kamaldeen Sulemana,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pass-Ball Receipt-Carry,Kamaldeen Sulemana-Ryan Manning-Ryan Manning,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pass-Ball Receipt-Carry-Pass-Ball Receipt,Ryan Manning-Mateus Gonçalo Espanha Fernandes-Mateus Gonçalo Espanha Fernandes-Mateus Gonçalo Espanha Fernandes-Taylor Harwood-Bellis,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pass,Lesley Chimuanya Ugochukwu,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Pressure,Lesley Chimuanya Ugochukwu,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Interception-Carry-Pass,Taylor Harwood-Bellis-Taylor Harwood-Bellis-Taylor Harwood-Bellis,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
Ball Receipt-Carry,Ryan Manning-Ryan Manning,3955960,Southampton,Drawn,1,1,Second half,1.3105001266926901,0.7703125406135085
