words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Archie Gray-Pedro Antonio Porro Sauceda-Pedro Antonio Porro Sauceda-Pedro Antonio Porro Sauceda-Kevin Danso-Kevin Danso,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Pass,Kevin Danso,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Pressure,Mathys Tel,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Pressure,Archie Gray,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Pressure,Dominic Solanke,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Pressure,Dominic Solanke,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Rodrigo Bentancur Colmán-Micky van de Ven-Micky van de Ven-Guglielmo Vicario-Guglielmo Vicario-Guglielmo Vicario-Kevin Danso-Kevin Danso,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Pass-Ball Receipt-Carry-Pass-Pressure-Ball Receipt,Kevin Danso-Pedro Antonio Porro Sauceda-Pedro Antonio Porro Sauceda-Pedro Antonio Porro Sauceda-Dominic Solanke-Dominic Solanke,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Pressure,Pape Matar Sarr,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Duel,Pape Matar Sarr,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Injury Stoppage-Referee Ball-Drop,Guglielmo Vicario-Unknown,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Pressure,Micky van de Ven,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Goal Keeper-Pass-Ball Receipt-Pass,Guglielmo Vicario-Micky van de Ven-Guglielmo Vicario-Guglielmo Vicario,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Ball Recovery-Carry,Mathys Tel-Mathys Tel,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Dribble-Carry,Mathys Tel-Mathys Tel,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Dribble,Mathys Tel,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Iyenoma Destiny Udogie-Micky van de Ven-Micky van de Ven-Guglielmo Vicario-Guglielmo Vicario-Guglielmo Vicario-Kevin Danso-Kevin Danso,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Pass,Kevin Danso,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Ball Receipt-Carry,Pedro Antonio Porro Sauceda-Pedro Antonio Porro Sauceda,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Foul Won-Miscontrol-Ball Recovery-Carry-Pass-Ball Receipt-Carry,Pedro Antonio Porro Sauceda-Pedro Antonio Porro Sauceda-Kevin Danso-Kevin Danso-Kevin Danso-Archie Gray-Archie Gray,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Archie Gray-Brennan Johnson-Brennan Johnson-Brennan Johnson-Archie Gray-Archie Gray,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Dribble,Archie Gray,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Pressure,Archie Gray,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Pressure,Iyenoma Destiny Udogie,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Pressure-Foul Committed,Mathys Tel-Mathys Tel,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Pressure,Dominic Solanke,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Pressure,Dominic Solanke,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Pressure,Dominic Solanke,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Interception-Carry,Rodrigo Bentancur Colmán-Rodrigo Bentancur Colmán,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Pass-Ball Receipt-Carry-Pass,Rodrigo Bentancur Colmán-Mathys Tel-Mathys Tel-Mathys Tel,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Pass,Mathys Tel,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Pressure,Dominic Solanke,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Duel,Micky van de Ven,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Pass-Ball Receipt-Carry-Pass,Iyenoma Destiny Udogie-Micky van de Ven-Micky van de Ven-Micky van de Ven,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Ball Receipt-Carry-Pass,Guglielmo Vicario-Guglielmo Vicario-Guglielmo Vicario,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry,Rodrigo Bentancur Colmán-Rodrigo Bentancur Colmán-Rodrigo Bentancur Colmán-Guglielmo Vicario-Guglielmo Vicario-Micky van de Ven-Micky van de Ven,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Pass,Micky van de Ven,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Pressure,Dominic Solanke,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Interception,Iyenoma Destiny Udogie,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
50/50-Ball Recovery-Carry,Archie Gray-Mathys Tel-Mathys Tel,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Shot,Mathys Tel,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Ball Recovery-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Iyenoma Destiny Udogie-Iyenoma Destiny Udogie-Iyenoma Destiny Udogie-Rodrigo Bentancur Colmán-Rodrigo Bentancur Colmán-Micky van de Ven-Micky van de Ven-Micky van de Ven-Kevin Danso-Kevin Danso-Kevin Danso-Micky van de Ven-Micky van de Ven,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Pass-Ball Receipt-Carry,Micky van de Ven-Iyenoma Destiny Udogie-Iyenoma Destiny Udogie,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Iyenoma Destiny Udogie-Guglielmo Vicario-Guglielmo Vicario-Guglielmo Vicario-Kevin Danso-Kevin Danso-Kevin Danso-Guglielmo Vicario-Guglielmo Vicario-Guglielmo Vicario-Kevin Danso-Kevin Danso-Kevin Danso-Pedro Antonio Porro Sauceda-Pedro Antonio Porro Sauceda,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Pass-Ball Receipt-Carry-Pass,Pedro Antonio Porro Sauceda-Brennan Johnson-Brennan Johnson-Brennan Johnson,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Pedro Antonio Porro Sauceda-Pedro Antonio Porro Sauceda-Pedro Antonio Porro Sauceda-Mathys Tel-Mathys Tel-Mathys Tel,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Dribble-Carry,Pape Matar Sarr-Pape Matar Sarr,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt,Pape Matar Sarr-Iyenoma Destiny Udogie-Micky van de Ven-Micky van de Ven-Kevin Danso,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Kevin Danso-Guglielmo Vicario-Guglielmo Vicario-Guglielmo Vicario-Pedro Antonio Porro Sauceda-Pedro Antonio Porro Sauceda-Pedro Antonio Porro Sauceda-Micky van de Ven-Micky van de Ven-Micky van de Ven-Pedro Antonio Porro Sauceda-Pedro Antonio Porro Sauceda,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Pass,Pedro Antonio Porro Sauceda,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Ball Receipt-Carry-Pass-Ball Receipt-Duel,Guglielmo Vicario-Guglielmo Vicario-Guglielmo Vicario-Dominic Solanke-Dominic Solanke,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Pressure,Brennan Johnson,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Pressure,Archie Gray,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Clearance-Pass-Ball Receipt-Carry,Micky van de Ven-Pape Matar Sarr-Rodrigo Bentancur Colmán-Rodrigo Bentancur Colmán,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Pass-Ball Receipt-Carry,Rodrigo Bentancur Colmán-Mathys Tel-Mathys Tel,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Dispossessed,Mathys Tel,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Pass-Ball Receipt-Carry,Pape Matar Sarr-Iyenoma Destiny Udogie-Iyenoma Destiny Udogie,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Pass-Ball Receipt-Carry,Iyenoma Destiny Udogie-Pape Matar Sarr-Pape Matar Sarr,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Pass,Pape Matar Sarr,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Ball Receipt-Carry-Pass-Ball Receipt-Carry,Guglielmo Vicario-Guglielmo Vicario-Guglielmo Vicario-Archie Gray-Archie Gray,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Pass-Ball Receipt-Carry,Archie Gray-Brennan Johnson-Brennan Johnson,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Brennan Johnson-Pedro Antonio Porro Sauceda-Pedro Antonio Porro Sauceda-Pedro Antonio Porro Sauceda-Guglielmo Vicario-Guglielmo Vicario-Guglielmo Vicario-Micky van de Ven-Micky van de Ven-Micky van de Ven-Iyenoma Destiny Udogie-Iyenoma Destiny Udogie-Iyenoma Destiny Udogie-Mathys Tel,3956009,Tottenham Hotspur,Lost,1,4,Second half,1.269863268476984,0.7675910444554994
